op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For rent,Bolderāja,Stagaru 4,2,50.0,2,5,Specpr.,Panel,All amenities,260.0,57.02965155,24.035975194523694
For sale,Purvciems,Dzelzavas 13,2,44.0,4,5,Hrušč.,Brick,Without amenities,39000.0,56.9636785,24.170616738324554
For rent,centrs,Čaka 33,2,40.0,4,6,P. kara,Masonry,All amenities,395.0,56.9521436,24.1276865
For rent,centrs,Bruņinieku 115,2,45.0,2,4,Renov.,Masonry,All amenities,350.0,56.949971000000005,24.144142335231727
For rent,Grīziņkalns,Alauksta 4a,1,26.0,2,3,Renov.,Wood,All amenities,345.0,56.9610304,24.1476406
For rent,Ziepniekkalns,Kartupeļu 47,2,56.0,8,9,Specpr.,Brick,All amenities,250.0,56.91095995,24.110000456931473
For rent,Bolderāja,Gobas 16,1,34.0,3,5,103.,Brick-Panel,All amenities,210.0,57.03135185,24.050864684267722
For sale,Dreiliņi,Valtera 5,4,78.0,1,9,602.,Panel,All amenities,91000.0,56.94692714999999,24.236511356252745
For sale,Ķengarags,Prūšu 22,2,42.0,3,5,Hrušč.,Brick,All amenities,45900.0,56.9134761,24.18677075
For sale,Pļavnieki,Dzeņu 12,1,35.0,1,9,602.,Brick-Panel,All amenities,37000.0,56.9397226,24.21262436641396
For rent,Dzegužkalns,Purva 25,1,29.0,4,5,LT proj.,Panel,All amenities,240.0,56.95770335,24.05052070142095
For rent,Imanta,Slokas 130a,2,60.0,3,8,Jaun.,Masonry,All amenities,580.0,56.96485355,24.015749485110053
For sale,Imanta,Slokas 130a,2,62.0,3,5,Jaun.,Masonry,All amenities,120000.0,56.96485355,24.015749485110053
For rent,centrs,Indrānu 13,1,34.0,5,5,LT proj.,Brick-Panel,All amenities,320.0,56.9685959,24.145257169252524
For sale,Ķengarags,Festivāla 1,3,55.0,3,5,Specpr.,Brick,All amenities,43000.0,56.90348845,24.203697950000002
For rent,Purvciems,Ieriķu 58,1,43.0,9,9,Specpr.,Brick,All amenities,25.0,56.9655674,24.183004313625375
For rent,Ķīpsala,Balasta d. 72,2,86.0,2,4,Jaun.,Masonry,All amenities,1200.0,56.9489344,24.0882804
For rent,centrs,Barona 14,1,40.0,4,5,Renov.,Masonry,All amenities,600.0,56.9506147,24.1212313
For rent,centrs,Bruņinieku 64,2,36.0,3,3,P. kara,Brick,All amenities,250.0,56.9530706,24.1376419
For sale,centrs,Tērbatas 46,3,85.0,3,6,P. kara,Brick,All amenities,170000.0,56.9559527,24.1267505
For sale,Teika,Brīvības gatve 313,3,79.0,3,5,Specpr.,Brick-Panel,All amenities,85000.0,56.982792450000005,24.19636687544211
For sale,Jugla,Murjāņu 38,2,45.0,2,5,Hrušč.,Panel,All amenities,40000.0,56.97808055,24.247249000000004
Buying,Pļavnieki,,Citi,,,,,,,,46.3144754,11.0480288
For rent,centrs,Republikas laukums 3,1,46.0,4,7,Jaun.,Masonry,All amenities,39.0,56.955252200000004,24.0999991251943
For rent,Purvciems,Ieriķu 58,1,40.0,2,5,Specpr.,Brick-Panel,All amenities,235.0,56.9655674,24.183004313625375
For rent,centrs,Asara 15,1,38.0,5,2,Specpr.,Brick,All amenities,280.0,56.95636735,24.155689863891233
For rent,Purvciems,Pūces 19,2,46.0,2,5,Jaun.,Panel,All amenities,430.0,56.95632235,24.18597855896561
For rent,Krasta r-ns,Lubānas 56,1,36.0,6,9,602.,Panel,All amenities,290.0,56.93144315,24.175756900229658
Buying,Ķengarags,,2,,12,7,,,All amenities,,46.3144754,11.0480288
Buying,Vecmīlgrāvis,,,9.0,99,9,,,,,46.3144754,11.0480288
For rent,Mangaļi,Ezera 6,2,40.0,1,2,Renov.,Wood,All amenities,220.0,57.0196416,24.126994032173137
Buying,Pļavnieki,,Citi,,,,,,,,46.3144754,11.0480288
For rent,Jugla,Baltezera 1,2,49.0,2,5,LT proj.,Brick-Panel,All amenities,300.0,56.992700299999996,24.2400597
For rent,centrs,Asara 12,3,50.0,4,5,Renov.,Masonry,All amenities,450.0,56.9553833,24.1488881
For rent,Klīversala,Klīveru 1,1,26.0,4,4,P. kara,Masonry,All amenities,245.0,56.943062850000004,24.091277114616958
For sale,centrs,Tērbatas 65,3,91.0,4,6,P. kara,Masonry,All amenities,150000.0,56.9581924,24.1306619
For sale,centrs,Artilērijas 1,3,96.0,3,6,P. kara,Masonry,All amenities,100000.0,56.9579533,24.1425116
For rent,Vecmīlgrāvis,Rīnūžu 11,2,53.0,5,5,103.,Brick-Panel,All amenities,270.0,57.037882100000004,24.089677959205556
For sale,Āgenskalns,Kalnciema 106a,2,68.0,2,4,Jaun.,Masonry,All amenities,105000.0,56.93662655,24.043335653298612
For sale,Zasulauks,Kalnciema 106a,2,68.0,2,4,Jaun.,Masonry,All amenities,105000.0,56.93662655,24.043335653298612
For rent,Pļavnieki,Jasmuižas 15,1,32.0,2,9,602.,Panel,All amenities,220.0,56.93685365,24.213177111898098
For sale,Pļavnieki,Salnas 22,1,40.0,4,5,M. ģim.,Panel,All amenities,33000.0,56.941776250000004,24.2254638
For sale,Mežaparks,Viestura pr. 47,1,27.0,7,9,Specpr.,Brick,All amenities,27500.0,NaN,NaN
For sale,centrs,Bruņinieku 147,5,83.0,1,2,P. kara,Wood,Partial amenities,27890.0,56.9599542,24.1248268
For sale,Āgenskalns,Kuldīgas 10,1,17.5,1,2,P. kara,Wood,Partial amenities,9890.0,56.9517628,24.067348709240818
For sale,Jugla,Kvēles 27,2,45.0,1,5,LT proj.,Panel,All amenities,41000.0,56.9820393,24.246020693013463
For rent,centrs,Pērnavas 10,1,32.0,5,5,Hrušč.,Brick,All amenities,255.0,56.9647239,24.1477109
For rent,Purvciems,Sesku 26,1,42.0,3,5,M. ģim.,Brick-Panel,All amenities,270.0,56.9449076,24.17802943789207
For sale,Imanta,Kurzemes pr. 102,2,48.0,1,5,LT proj.,Panel,All amenities,44000.0,NaN,NaN
For sale,Čiekurkalns,Čiekurkalna 2. l. 28,1,24.0,2,2,P. kara,Wood,Partial amenities,6790.0,NaN,NaN
For sale,Ziepniekkalns,Valdeķu 53,3,75.0,9,10,119.,Panel,All amenities,72000.0,56.90154795,24.09246740734249
For rent,Ziepniekkalns,Ozolciema 18,1,50.0,3,9,119.,Panel,All amenities,29.0,56.89859735,24.08767079999982
For rent,Ziepniekkalns,Bērzupes 23,1,31.0,2,5,LT proj.,Panel-Brick,All amenities,250.0,56.9151751,24.09305733190283
For sale,Pļavnieki,Lubānas 129,1,41.0,1,9,M. ģim.,Panel,All amenities,34000.0,56.93257265,24.2080293
For sale,Āgenskalns,Grīna bulv. 13,2,47.0,3,5,Specpr.,Brick,All amenities,45500.0,NaN,NaN
For sale,centrs,Pētersalas 2,5,144.0,1,5,Specpr.,Masonry,All amenities,74800.0,56.9678993,24.105037934152882
For rent,Mežaparks,Viestura pr. 95,2,42.0,8,11,Jaun.,Brick,All amenities,450.0,NaN,NaN
For sale,centrs,Ādmiņu 6,2,36.0,2,2,P. kara,Masonry,Partial amenities,25000.0,56.949362,24.140523174794517
For rent,Jugla,Veldres 32,1,33.0,12,12,Specpr.,Brick-Panel,All amenities,230.0,56.9764669,24.24432072931075
For rent,Sarkandaugava,Tilta 5,Citi,76.0,2,4,P. kara,Masonry,All amenities,295.0,56.9950728,24.1273961
Renting,Āgenskalns,,4,,,,,,All amenities,,46.3144754,11.0480288
Renting,Dzegužkalns,,2,,,,,,All amenities,,46.3144754,11.0480288
For rent,Maskavas priekšpilsēta,Daugavpils 76,1,25.0,5,6,P. kara,Brick,All amenities,250.0,56.946430899999996,24.14139621313611
For rent,Āgenskalns,Kristapa 8,1,18.0,1,4,M. ģim.,Brick,All amenities,220.0,56.942865499999996,24.060963208642875
For sale,Daugavgrīva,Slimnīcas 6,2,53.0,2,5,103.,Brick-Panel,All amenities,31900.0,57.040866699999995,24.03274137094086
For rent,centrs,Barona 76,3,67.0,2,6,Renov.,Masonry,All amenities,750.0,56.95643795,24.132572982155622
For rent,centrs,Tallinas 65,3,83.0,5,5,Renov.,Masonry,All amenities,900.0,56.95878525,24.144589118130806
For rent,Ķengarags,Prūšu 3,1,30.0,5,5,LT proj.,Panel,All amenities,220.0,56.916944,24.184230045589548
For sale,centrs,Avotu 4,2,41.0,4,5,Renov.,Masonry,All amenities,57500.0,56.9508163,24.1271389
For rent,centrs,Klijānu 2e,1,30.0,2,9,Renov.,Brick-Panel,All amenities,270.0,56.974699,24.1449329
For rent,Āgenskalns,Āgenskalna 22,2,41.0,3,5,Hrušč.,Brick,All amenities,330.0,56.9456104,24.0623652
For sale,Bolderāja,Silikātu 1/2,2,41.77,1,3,Hrušč.,Brick,All amenities,39000.0,NaN,NaN
For rent,centrs,Čaka 96,2,62.0,3,5,Jaun.,Brick-Panel,All amenities,700.0,56.9571813,24.139466793963695
For rent,centrs,Ausekļa 7,2,77.0,3,6,Renov.,Brick,All amenities,600.0,56.96104425,24.099655755347378
For sale,Imanta,Anniņmuižas bulvāris 38,2,60.0,2,17,Jaun.,Masonry,All amenities,88000.0,56.96112105,24.018216795250048
Buying,Vecmīlgrāvis,,,,,,,,,,46.3144754,11.0480288
For sale,Āgenskalns,Mārupes 47,3,68.0,3,5,Specpr.,Brick-Panel,All amenities,89000.0,56.9271624,24.076977177644544
For rent,Imanta,M. Krūmu 6,1,29.0,4,5,LT proj.,Panel,All amenities,230.0,56.958455799999996,24.002856101952545
For sale,Dreiliņi,Kaivas 33/1,3,86.0,4,4,Jaun.,Panel-Brick,All amenities,130000.0,56.9541725,24.2443253
For rent,centrs,Lāčplēša 147,1,20.0,2,4,Jaun.,Brick,All amenities,210.0,56.9468471,24.133767
For rent,Purvciems,Marsa g. 12,1,26.0,3,5,LT proj.,Panel,All amenities,240.0,56.9518384,24.1999196
For sale,Iļģuciems,Grīvas 11,3,55.0,3,5,Hrušč.,Brick,All amenities,63000.0,56.9654887,24.049987950000002
For sale,Sarkandaugava,Sarkandaugavas 11,2,50.0,6,9,602.,Panel,All amenities,47000.0,56.99898215,24.12328767499813
For sale,Imanta,Jūrmalas g. 99,3,63.0,5,9,602.,Panel,All amenities,50000.0,56.952975,24.0166971
For sale,Ziepniekkalns,Ozolciema 32/3,2,50.0,1,9,602.,Panel,All amenities,49000.0,56.8990307,24.0785989
For rent,centrs,Grostonas 17,3,88.0,7,8,Jaun.,Masonry,All amenities,890.0,56.96998705,24.12421088272788
For rent,centrs,Ģertrūdes 84,2,53.0,3,6,P. kara,Masonry,All amenities,350.0,56.9471865,24.1411337
For sale,Berģi,Berģu 9,3,58.0,1,4,Hrušč.,Brick,Partial amenities,60000.0,56.997867150000005,24.277341526994306
For sale,Bolderāja,Silikātu 1k2,2,44.0,1,3,Hrušč.,Brick,All amenities,35400.0,57.0272671,24.0389108
For sale,Ziepniekkalns,Staburaga 3,2,48.0,3,3,Hrušč.,Brick,All amenities,65000.0,56.91116745,24.116319750000002
For rent,Krasta r-ns,Maskavas 237,1,30.0,5,5,Hrušč.,Brick,All amenities,260.0,56.9275041,24.167067392822737
For sale,Ķengarags,Maskavas 279,3,55.0,5,5,LT proj.,Brick,All amenities,43000.0,56.91925545,24.173829491186872
For sale,Purvciems,Madonas 19,1,46.0,6,9,119.,Panel,All amenities,43500.0,56.960434649999996,24.170486020781528
For rent,Imanta,Anniņmuižas bulvāris 43,2,45.0,9,24,Jaun.,Brick-Panel,All amenities,50.0,56.959030600000006,24.013887042853
For rent,Dzegužkalns,Dzirciema 33,3,61.0,4,5,LT proj.,Panel,All amenities,340.0,56.9562173,24.05205275
For rent,Pļavnieki,Zemes 9,1,36.0,1,9,M. ģim.,Panel,All amenities,240.0,56.9422955,24.19988595647548
For sale,Purvciems,Brantkalna 12,3,76.0,8,9,119.,Panel,All amenities,88000.0,56.9491644,24.193975199999997
For sale,Purvciems,Nīcgales 36,3,82.0,4,5,Jaun.,Masonry,All amenities,98000.0,56.9505884,24.1734239
For rent,Pļavnieki,Ilūkstes 55,1,24.0,2,1,Priv. m.,Masonry,All amenities,220.0,56.9403842,24.194600573345287
For rent,Ziepniekkalns,Valdeķu 53,2,55.0,1,9,119.,Panel,All amenities,330.0,56.90154795,24.09246740734249
For sale,Šķirotava,Krustpils 75,2,49.0,3,3,Specpr.,Brick,All amenities,35000.0,56.912057649999994,24.206367299999993
For sale,Dārzciems,Lubānas 56,3,61.0,7,9,467.,Panel,All amenities,59500.0,56.93144315,24.175756900229658
For rent,Zolitūde,Ruses 3,2,58.0,2,9,119.,Panel,All amenities,260.0,56.9484028,24.00206886443955
For rent,centrs,Elizabetes 10c,1,45.0,1,3,Jaun.,Masonry,All amenities,400.0,56.95752295,24.11061548424572
For sale,Sarkandaugava,Viestura pr. 95,2,43.0,5,11,Jaun.,Brick-Panel,All amenities,74900.0,NaN,NaN
For rent,Ziepniekkalns,Graudu 30,1,36.0,1,2,Renov.,Masonry,All amenities,250.0,56.9085595,24.09788138920388
For rent,centrs,Eksporta 8,5,150.0,1,2,Jaun.,Masonry,All amenities,1700.0,56.956763,24.0954531
For rent,Vecmīlgrāvis,Emmas 19,2,48.0,4,5,LT proj.,Panel,All amenities,220.0,57.0300401,24.111049444536526
For rent,Grīziņkalns,Terēzes 2,1,30.0,1,3,Staļina,Masonry,All amenities,270.0,56.9624743,24.149289204300047
For sale,Ziepniekkalns,Valdeķu 54,3,62.0,8,9,602.,Panel,All amenities,75000.0,56.9094064,24.0954157
For sale,Pļavnieki,Dravnieku 13,3,64.0,7,9,602.,Panel,All amenities,59000.0,56.94404435,24.21522315
For sale,Ķengarags,Maskavas 260,2,47.0,4,5,LT proj.,Panel,All amenities,41000.0,56.8597884,24.3083417
For rent,Daugavgrīva,Zvīņu 6,1,28.0,3,5,LT proj.,Brick,All amenities,220.0,57.0374654,24.0247952
For sale,centrs,Valdemāra 89,3,104.0,5,5,P. kara,Masonry,All amenities,130000.0,56.96383885,24.125864667915476
For sale,Sarkandaugava,Limbažu 4/1,2,45.6,5,5,Hrušč.,Panel,All amenities,51500.0,57.0004355,24.1207347
For sale,Imanta,Dumbrāja 18,3,68.0,3,4,Jaun.,Panel,All amenities,110000.0,56.95698695,24.0186127580713
For rent,Purvciems,Vējavas 12,1,39.0,4,5,M. ģim.,Brick-Panel,All amenities,230.0,56.95697915,24.169464661675498
For sale,centrs,Čaka 33,2,47.0,6,7,Renov.,Masonry,All amenities,95000.0,56.9521436,24.1276865
Buying,Pļavnieki,,,123.0,10,1,,,,,46.3144754,11.0480288
Buying,Ķengarags,,1,,21,12,,,Without amenities,,46.3144754,11.0480288
Buying,Imanta,,1,,99,9,,,,,46.3144754,11.0480288
Buying,Āgenskalns,,,8.0,88,8,,,,,46.3144754,11.0480288
Buying,centrs,,,9.0,9,9,,,,,46.3144754,11.0480288
For sale,Purvciems,Purvciema 26,3,79.0,9,9,119.,Panel,All amenities,71000.0,56.953430850000004,24.173465900000004
For rent,Ziepniekkalns,Ozolciema 32,2,50.0,8,9,602.,Panel,All amenities,270.0,56.89979805,24.098350150000005
For sale,Teika,Vidrižu 4,4,95.0,1,9,Specpr.,Brick-Panel,All amenities,85000.0,56.9788671,24.1774824079002
For rent,Ziepniekkalns,Vadakstes 1,2,47.0,1,1,Priv. m.,Masonry,All amenities,450.0,56.9135113,24.094025
For sale,Dzegužkalns,Jaunsaules 18,2,48.0,2,5,LT proj.,Panel,All amenities,42000.0,56.954766649999996,24.04792874999999
Buying,Ziepniekkalns,,Citi,,,,,,,,46.3144754,11.0480288
For rent,Pļavnieki,Ilūkstes 39,1,40.0,3,5,Specpr.,Brick-Panel,All amenities,300.0,56.93801605,24.19441854108878
Buying,Dārzciems,,2,,,,,,,,46.3144754,11.0480288
For rent,centrs,Grostonas 17,3,88.0,7,7,Jaun.,Brick-Panel,All amenities,990.0,56.96998705,24.12421088272788
For rent,centrs,Brīvības 115,1,28.0,2,3,P. kara,Masonry,All amenities,220.0,56.962966300000005,24.135624950000008
For rent,centrs,Sapieru 3b,1,21.0,3,5,Jaun.,Panel,All amenities,340.0,56.9630577,24.1531056
For sale,Pļavnieki,Jasmuižas 13,4,75.0,3,8,467.,Panel,All amenities,69950.0,56.9367253,24.2129281
For rent,Pļavnieki,Jasmuižas 24,1,22.0,1,3,Jaun.,Panel,All amenities,235.0,56.937026450000005,24.21531651010885
For rent,centrs,Tērbatas 78,1,33.0,2,5,P. kara,Masonry,All amenities,315.0,56.9611541,24.1376555
For sale,Ziepniekkalns,Bērzlapu 2,2,57.0,3,16,104.,Panel,All amenities,70000.0,56.9052096,24.084553450861748
For sale,Čiekurkalns,Čiekurkalna 5. šķ l. 1,1,29.6,2,2,Priv. m.,Wood,All amenities,22000.0,NaN,NaN
For rent,Zolitūde,Gramzdas 80,2,55.0,1,4,Jaun.,Panel,All amenities,500.0,56.94145735,24.003018839234613
For rent,Iļģuciems,Baltā 17,3,62.0,1,5,LT proj.,Panel,All amenities,350.0,56.9699771,24.0655410145407
For sale,Mežciems,Celmu 5,2,50.0,3,5,LT proj.,Panel,All amenities,49800.0,56.9736358,24.233530915029384
For sale,centrs,Brīvības iela 136,2,43.0,1,5,P. kara,Masonry,All amenities,48000.0,56.9636061,24.1388658
For rent,Ķengarags,Maskavas 381/7,2,49.0,3,3,Staļina,Brick,All amenities,240.0,56.9445851,24.1127805007715
For rent,Mežciems,Hipokrāta 41,1,32.0,8,9,602.,Panel,All amenities,260.0,56.9596666,24.236478297859165
For rent,Purvciems,Andromedas g. 12,2,51.0,3,5,LT proj.,Panel,All amenities,300.0,56.9604259,24.201209
For rent,Āgenskalns,Mūkusalas 29,2,79.0,4,4,Jaun.,Masonry,All amenities,850.0,56.936939550000005,24.101932363123677
For rent,Āgenskalns,Talsu 9,2,44.0,3,6,P. kara,Masonry,Partial amenities,280.0,56.9383464,24.071392
For rent,Āgenskalns,Kalnciema 20,1,36.0,2,2,P. kara,Brick,All amenities,250.0,56.9384531,24.0507266
For rent,centrs,Sadovņikova 39a,1,30.0,3,5,P. kara,Brick,All amenities,260.0,56.9420237,24.135420241619393
For sale,Dārzciems,Stopiņu 12,1,37.0,1,1,Priv. m.,Brick,All amenities,22000.0,56.9485324,24.1730688
For rent,centrs,Vesetas 30,2,42.0,4,6,Hrušč.,Brick,All amenities,275.0,56.97172205,24.1301309
For rent,centrs,Sadovņikova 21,1,40.0,2,4,P. kara,Brick,All amenities,240.0,56.9421434,24.1326836
For sale,centrs,Vārnu 8,2,56.0,1,6,P. kara,Brick,All amenities,78800.0,56.95811035,24.148761165178563
For rent,centrs,Klusā 21,1,24.0,2,5,Renov.,Brick-Panel,All amenities,250.0,56.975889800000004,24.145391383510937
For rent,Bolderāja,Lemešu 9,1,34.0,1,9,602.,Panel,All amenities,190.0,57.0333528,24.055377249503106
For sale,Vecrīga,Kungu 25,3,138.0,3,6,Jaun.,Masonry,All amenities,275000.0,56.945338199999995,24.10946395330882
For rent,Ķengarags,Maskavas 313,1,38.0,8,12,Čehu pr.,Brick,All amenities,200.0,56.8597884,24.3083417
For sale,Zolitūde,Priedaines 13,1,56.0,1,4,Jaun.,Brick-Panel,All amenities,78000.0,56.9425813,24.01565897529245
For rent,centrs,Teātra 2,3,98.0,4,6,Jaun.,Brick,All amenities,1100.0,56.9481417,24.1115806
For rent,Vecrīga,Teātra 2,3,98.0,4,6,Jaun.,Brick,All amenities,1100.0,56.9481417,24.1115806
For rent,Āgenskalns,Valguma 35,2,40.0,1,5,Staļina,Brick,All amenities,390.0,56.943490350000005,24.090443955501723
For rent,centrs,Lugažu 14,1,30.0,1,3,Staļina,Brick,All amenities,270.0,56.97501495,24.106644609247997
For rent,Imanta,Kurzemes pr. 2,1,28.0,1,4,602.,Brick-Panel,All amenities,220.0,NaN,NaN
For sale,Daugavgrīva,Lēpju 13,2,54.0,3,5,103.,Brick-Panel,All amenities,34000.0,57.038959,24.022054838957786
For sale,Bieriņi,Spirgus 4,2,47.0,2,2,Renov.,Wood,All amenities,75000.0,56.9214827,24.0696882
For rent,centrs,Klijānu 12,2,32.0,1,3,Jaun.,Brick,All amenities,27.0,56.9731957,24.1490465
For rent,centrs,Vesetas 26,2,43.0,4,9,Jaun.,Panel-Brick,All amenities,50.0,56.9628209,24.1203782
For rent,centrs,Bruņinieku 72,1,49.0,3,3,Jaun.,Masonry,All amenities,550.0,56.9524426,24.138755914213895
For rent,Dārzciems,Nīcgales 52,1,35.0,2,5,103.,Brick,All amenities,250.0,56.9505884,24.1734239
For rent,Purvciems,Nīcgales 52,1,35.0,2,5,103.,Brick,All amenities,250.0,56.9505884,24.1734239
For sale,Purvciems,Nīcgales 4,2,50.0,4,9,602.,Panel,All amenities,59500.0,56.95855255,24.17531632757911
For rent,centrs,Dzirnavu 6,3,60.0,3,5,Renov.,Masonry,All amenities,700.0,56.9612002,24.107539410990753
Renting,centrs,Raiņa bulv. 1,2,50.0,1,5,P. kara,Brick-Panel,All amenities,500.0,NaN,NaN
Renting,Vecrīga,,2,50.0,1,3,P. kara,Brick-Panel,All amenities,,46.3144754,11.0480288
For sale,Mežaparks,Viestura pr. 16,3,60.0,3,9,467.,Panel,All amenities,65000.0,NaN,NaN
Buying,Dzegužkalns,Dzirciema,1,,,,103.,Brick,,,56.95557155,24.053909376142045
For rent,centrs,Barona 28,3,93.0,5,5,P. kara,Masonry,All amenities,465.0,56.952144,24.1234383
For rent,centrs,Lāčplēša 70,3,85.0,3,5,P. kara,Brick,All amenities,600.0,56.9505257,24.1319905
For rent,Jugla,Brīvības gatve 365,2,40.0,1,5,Hrušč.,Brick,All amenities,280.0,56.98777415,24.219018050000003
For sale,centrs,Birznieka-Upīša 18a,3,70.0,3,7,Renov.,Masonry,All amenities,155000.0,56.9491897,24.1285
For sale,centrs,Rūdolfa 1,1,30.0,3,6,P. kara,Brick,All amenities,58000.0,56.962022399999995,24.152193947726147
For rent,centrs,Tomsona 30,2,55.0,5,9,Jaun.,Panel,All amenities,500.0,56.9665863,24.1282258
Renting,Ziepniekkalns,,3,,1,3,,,All amenities,,46.3144754,11.0480288
For rent,Jugla,Brīvības gatve 405/1,2,46.0,2,5,Hrušč.,Brick,All amenities,340.0,56.9730973,24.1660728
For sale,Berģi,Berģu 17,2,51.0,1,2,Jaun.,Masonry,All amenities,75900.0,56.9997624,24.2761911
For sale,Dzegužkalns,Lielezeres 10,3,65.0,5,5,Jaun.,Masonry,All amenities,94000.0,56.95924805,24.055202274196077
For sale,Dzegužkalns,Lielezeres 10,3,62.0,5,5,Jaun.,Masonry,All amenities,93150.0,56.95924805,24.055202274196077
For sale,Dzegužkalns,Lielezeres 10,3,85.0,5,5,Jaun.,Masonry,All amenities,117000.0,56.95924805,24.055202274196077
For sale,Dzegužkalns,Lielezeres 10,2,58.0,5,5,Jaun.,Masonry,All amenities,87000.0,56.95924805,24.055202274196077
For rent,Ziepniekkalns,Ozolciema 18,2,58.0,8,9,119.,Panel,All amenities,265.0,56.89859735,24.08767079999982
For sale,centrs,Lugažu 14,1,24.0,3,3,Staļina,Brick,All amenities,22500.0,56.97501495,24.106644609247997
For rent,Ziepniekkalns,Graudu 13,4,223.0,2,2,Priv. m.,Brick-Panel,All amenities,1000.0,56.9088093,24.0913836
For sale,centrs,Klijānu 6,3,52.0,6,9,Jaun.,Panel-Brick,All amenities,79800.0,56.972655700000004,24.149311721285123
For rent,centrs,Lāčplēša 77,1,31.0,2,2,P. kara,Wood,All amenities,220.0,56.949692999999996,24.13322336744632
For rent,Čiekurkalns,Čiekurkalna 2. l. 1,1,23.0,1,2,P. kara,Masonry,All amenities,270.0,NaN,NaN
For rent,centrs,Pulkv. Brieža 21,2,83.0,3,7,Jaun.,Panel,All amenities,950.0,NaN,NaN
For sale,Purvciems,Ieriķu 33,3,60.0,5,5,LT proj.,Panel,All amenities,55499.0,56.96662215,24.178668525371137
For sale,Ķengarags,Maskavas 250/6,3,60.0,2,5,LT proj.,Panel,All amenities,40000.0,56.887204,24.2335864
For sale,Ķengarags,Lokomotīves 88,3,61.0,4,5,LT proj.,Panel,All amenities,49200.0,56.901934100000005,24.213842727808466
For rent,Purvciems,Dzelzavas 53,1,34.0,5,9,467.,Panel,All amenities,260.0,56.9571336,24.1909674
For sale,Mežciems,Kaivas 50/1,3,74.0,1,5,Jaun.,Brick-Panel,All amenities,92750.0,56.9541725,24.2443253
For sale,Mežciems,Kaivas 50/1,4,113.0,3,5,Jaun.,Brick-Panel,All amenities,141375.0,56.9541725,24.2443253
For sale,centrs,Valdemāra 37,3,78.0,4,6,Renov.,Masonry,All amenities,159732.0,56.958482,24.116859
For rent,centrs,Stabu 94,3,97.0,6,6,Renov.,Masonry,All amenities,700.0,56.9499165,24.14129861229236
For sale,Pļavnieki,Dzeņu 8,1,41.0,3,5,M. ģim.,Panel,All amenities,30500.0,56.9396024,24.21101315
For rent,Sarkandaugava,Ganību d. 31b,2,39.0,2,5,Specpr.,Brick-Panel,All amenities,350.0,NaN,NaN
For rent,Sarkandaugava,Ganību d. 31b,1,30.0,4,5,Renov.,Brick-Panel,All amenities,260.0,NaN,NaN
For sale,centrs,Blaumaņa 12,3,63.2,2,6,Renov.,Masonry,All amenities,164320.0,56.9548306,24.1221141
