NAME,CONTRACT_START,CONTRACT_END,AVG_SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Alec Burks,2015,2018,10375000.0,23.0,27.0,9.0,18.0,899.0,374.0,121.0,300.0,40.3,26.0,68.0,38.2,106.0,129.0,82.2,19.0,95.0,114.0,82.0,52.0,17.0,5.0,64.0,-129.0
Thabo Sefolosha,2017,2018,5250000.0,33.0,62.0,32.0,30.0,1596.0,444.0,174.0,395.0,44.1,41.0,120.0,34.2,55.0,75.0,73.3,54.0,216.0,270.0,107.0,58.0,96.0,31.0,97.0,-65.0
Goran Dragic,2015,2019,17000450.0,29.0,78.0,41.0,37.0,2640.0,1275.0,502.0,1002.0,50.1,90.0,259.0,34.7,181.0,234.0,77.4,81.0,193.0,274.0,350.0,173.0,78.0,15.0,195.0,20.0
Nicolas Batum,2016,2020,23217391.5,27.0,70.0,41.0,29.0,2448.0,1046.0,372.0,873.0,42.6,139.0,399.0,34.8,163.0,192.0,84.9,55.0,373.0,428.0,403.0,205.0,65.0,43.0,114.0,211.0
Austin Rivers,2019,2020,2174310.0,26.0,76.0,45.0,31.0,2028.0,618.0,232.0,572.0,40.6,104.0,327.0,31.8,50.0,95.0,52.6,25.0,137.0,162.0,167.0,68.0,47.0,23.0,207.0,104.0
Julius Randle,2018,2019,13320500.0,23.0,82.0,35.0,47.0,2190.0,1323.0,504.0,904.0,55.8,10.0,45.0,22.2,305.0,425.0,71.8,181.0,473.0,654.0,210.0,213.0,43.0,45.0,274.0,-81.0
Garrett Temple,2016,2018,8000000.0,30.0,80.0,40.0,40.0,1951.0,582.0,201.0,505.0,39.8,89.0,258.0,34.5,91.0,125.0,72.8,36.0,176.0,212.0,140.0,64.0,69.0,18.0,195.0,-38.0
Montrezl Harrell,2018,2019,6000000.0,24.0,76.0,39.0,37.0,1293.0,836.0,348.0,548.0,63.5,1.0,7.0,14.3,139.0,222.0,62.6,103.0,203.0,306.0,74.0,68.0,36.0,52.0,143.0,53.0
Kentavious Caldwell-Pope,2019,2020,8139282.0,26.0,82.0,37.0,45.0,2035.0,938.0,325.0,756.0,43.0,151.0,435.0,34.7,137.0,158.0,86.7,48.0,190.0,238.0,110.0,65.0,73.0,13.0,137.0,-156.0
Patrick McCaw,2018,2019,2482052.0,22.0,57.0,41.0,16.0,961.0,229.0,92.0,225.0,40.9,19.0,80.0,23.8,26.0,34.0,76.5,16.0,66.0,82.0,81.0,41.0,43.0,10.0,67.0,-85.0
JaMychal Green,2017,2018,8300000.0,27.0,77.0,40.0,37.0,2101.0,689.0,250.0,500.0,50.0,55.0,145.0,37.9,134.0,167.0,80.2,167.0,377.0,544.0,84.0,94.0,47.0,34.0,248.0,-28.0
Eric Bledsoe,2014,2018,14000000.0,24.0,43.0,28.0,15.0,1416.0,763.0,265.0,556.0,47.7,50.0,140.0,35.7,183.0,237.0,77.2,27.0,175.0,202.0,235.0,143.0,69.0,14.0,99.0,136.0
E'Twaun Moore,2012,2013,823244.0,23.0,38.0,24.0,14.0,331.0,110.0,43.0,113.0,38.1,17.0,45.0,37.8,7.0,7.0,100.0,4.0,29.0,33.0,34.0,21.0,11.0,3.0,33.0,31.0
Al Horford,2011,2015,12000000.0,25.0,77.0,41.0,36.0,2704.0,1178.0,513.0,921.0,55.7,2.0,4.0,50.0,150.0,188.0,79.8,182.0,536.0,718.0,266.0,119.0,59.0,80.0,193.0,44.0
Kawhi Leonard,2015,2019,21754050.8,24.0,64.0,46.0,18.0,2033.0,1057.0,394.0,822.0,47.9,67.0,192.0,34.9,202.0,252.0,80.2,85.0,376.0,461.0,161.0,97.0,148.0,48.0,128.0,440.0
JaVale McGee,2012,2015,11317741.0,24.0,61.0,22.0,39.0,1535.0,691.0,307.0,552.0,55.6,0.0,0.0,0.0,77.0,167.0,46.1,163.0,314.0,477.0,31.0,87.0,35.0,132.0,166.0,-305.0
James Johnson,2014,2015,2500000.0,27.0,52.0,33.0,19.0,956.0,384.0,143.0,308.0,46.4,22.0,87.0,25.3,76.0,90.0,84.4,60.0,106.0,166.0,111.0,66.0,42.0,57.0,102.0,96.0
Kevin Love,2012,2014,14693906.333333334,23.0,55.0,24.0,31.0,2145.0,1432.0,474.0,1059.0,44.8,105.0,282.0,37.2,379.0,460.0,82.4,226.0,508.0,734.0,111.0,128.0,47.0,28.0,152.0,26.0
John Wall,2014,2018,16284036.4,23.0,82.0,44.0,38.0,2980.0,1583.0,579.0,1337.0,43.3,108.0,308.0,35.1,317.0,394.0,80.5,38.0,295.0,333.0,721.0,295.0,149.0,40.0,219.0,196.0
Tyson Chandler,2011,2014,13852362.75,28.0,74.0,54.0,20.0,2059.0,748.0,266.0,407.0,65.4,0.0,0.0,0.0,216.0,295.0,73.2,206.0,486.0,692.0,32.0,88.0,36.0,80.0,240.0,295.0
Matthew Dellavedova,2016,2019,9607500.0,25.0,76.0,54.0,22.0,1867.0,569.0,207.0,511.0,40.5,98.0,239.0,41.0,57.0,66.0,86.4,33.0,129.0,162.0,337.0,116.0,44.0,9.0,178.0,381.0
Avery Bradley,2014,2017,8000000.0,23.0,60.0,19.0,41.0,1855.0,891.0,361.0,825.0,43.8,79.0,200.0,39.5,90.0,112.0,80.4,48.0,178.0,226.0,85.0,96.0,63.0,11.0,145.0,-127.0
Will Barton,2015,2017,3533333.0,24.0,58.0,30.0,28.0,984.0,397.0,150.0,353.0,42.5,23.0,85.0,27.1,74.0,94.0,78.7,26.0,136.0,162.0,81.0,61.0,48.0,19.0,70.0,-29.0
Cory Joseph,2015,2018,7472500.0,23.0,79.0,53.0,26.0,1444.0,535.0,207.0,411.0,50.4,16.0,44.0,36.4,105.0,143.0,73.4,44.0,148.0,192.0,188.0,67.0,46.0,17.0,105.0,173.0
Jonas Valanciunas,2016,2019,15595506.0,24.0,60.0,40.0,20.0,1557.0,768.0,303.0,536.0,56.5,0.0,0.0,0.0,162.0,213.0,76.1,184.0,363.0,547.0,42.0,85.0,25.0,80.0,158.0,147.0
Paul George,2014,2018,20132140.0,24.0,80.0,54.0,26.0,2898.0,1737.0,577.0,1362.0,42.4,182.0,500.0,36.4,401.0,464.0,86.4,64.0,478.0,542.0,283.0,224.0,151.0,22.0,198.0,371.0
Quinn Cook,2017,2018,867391.5,24.0,14.0,9.0,5.0,187.0,79.0,33.0,66.0,50.0,11.0,26.0,42.3,2.0,5.0,40.0,1.0,6.0,7.0,26.0,13.0,4.0,0.0,13.0,-41.0
Rudy Gay,2017,2018,9246600.0,30.0,30.0,11.0,19.0,1013.0,562.0,201.0,442.0,45.5,42.0,113.0,37.2,118.0,138.0,85.5,35.0,155.0,190.0,83.0,74.0,44.0,26.0,79.0,66.0
Kent Bazemore,2016,2019,17500000.0,26.0,75.0,44.0,31.0,2083.0,872.0,320.0,725.0,44.1,109.0,305.0,35.7,123.0,151.0,81.5,28.0,351.0,379.0,171.0,138.0,98.0,38.0,176.0,76.0
Dwight Howard,2016,2018,23752241.666666668,30.0,71.0,34.0,37.0,2280.0,976.0,372.0,600.0,62.0,0.0,6.0,0.0,232.0,474.0,48.9,238.0,597.0,835.0,98.0,166.0,69.0,113.0,219.0,18.0
Paul Millsap,2017,2019,30116666.666666668,32.0,69.0,40.0,29.0,2343.0,1246.0,430.0,972.0,44.2,75.0,241.0,31.1,311.0,405.0,76.8,111.0,422.0,533.0,252.0,158.0,90.0,62.0,186.0,135.0
Rodney Hood,2019,2020,5718000.0,26.0,72.0,29.0,43.0,1893.0,805.0,292.0,671.0,43.5,84.0,236.0,35.6,137.0,155.0,88.4,25.0,132.0,157.0,126.0,55.0,59.0,12.0,146.0,-273.0
LaMarcus Aldridge,2015,2018,21018007.5,29.0,71.0,48.0,23.0,2512.0,1661.0,659.0,1415.0,46.6,37.0,105.0,35.2,306.0,362.0,84.5,177.0,549.0,726.0,124.0,122.0,48.0,68.0,125.0,338.0
Al Horford,2016,2019,27800803.75,30.0,82.0,48.0,34.0,2631.0,1249.0,529.0,1048.0,50.5,88.0,256.0,34.4,103.0,129.0,79.8,148.0,448.0,596.0,263.0,107.0,68.0,121.0,163.0,231.0
Marc Gasol,2015,2019,22642350.0,30.0,81.0,55.0,26.0,2687.0,1413.0,530.0,1072.0,49.4,3.0,17.0,17.6,350.0,440.0,79.5,115.0,515.0,630.0,307.0,176.0,70.0,131.0,208.0,225.0
Goran Dragic,2012,2015,9320750.0,26.0,66.0,34.0,32.0,1752.0,775.0,277.0,600.0,46.2,68.0,202.0,33.7,153.0,190.0,80.5,53.0,115.0,168.0,351.0,157.0,85.0,10.0,166.0,69.0
Danny Green,2015,2018,10000000.0,28.0,81.0,55.0,26.0,2311.0,946.0,322.0,738.0,43.6,191.0,457.0,41.8,111.0,127.0,87.4,54.0,289.0,343.0,158.0,93.0,101.0,87.0,163.0,430.0
Gordon Hayward,2014,2017,18989152.5,24.0,77.0,23.0,54.0,2800.0,1248.0,426.0,1032.0,41.3,85.0,280.0,30.4,311.0,381.0,81.6,62.0,329.0,391.0,400.0,212.0,110.0,40.0,155.0,-395.0
Austin Rivers,2016,2018,11993441.333333334,23.0,67.0,42.0,25.0,1464.0,593.0,226.0,516.0,43.8,62.0,185.0,33.5,79.0,116.0,68.1,22.0,108.0,130.0,99.0,61.0,48.0,9.0,137.0,-162.0
Spencer Dinwiddie,2016,2017,1125488.5,23.0,12.0,5.0,7.0,159.0,58.0,19.0,54.0,35.2,1.0,10.0,10.0,19.0,33.0,57.6,4.0,13.0,17.0,22.0,7.0,3.0,0.0,20.0,-56.0
Rajon Rondo,2019,2020,2564753.0,33.0,46.0,19.0,27.0,1369.0,424.0,175.0,432.0,40.5,51.0,142.0,35.9,23.0,36.0,63.9,34.0,209.0,243.0,367.0,127.0,57.0,7.0,100.0,-245.0
Jimmy Butler,2015,2019,21048050.8,25.0,65.0,40.0,25.0,2513.0,1301.0,421.0,912.0,46.2,73.0,193.0,37.8,386.0,463.0,83.4,114.0,265.0,379.0,212.0,93.0,114.0,36.0,108.0,238.0
Mike Conley,2011,2015,8026314.2,23.0,81.0,46.0,35.0,2872.0,1107.0,423.0,953.0,44.4,80.0,217.0,36.9,181.0,247.0,73.3,32.0,215.0,247.0,528.0,176.0,144.0,18.0,182.0,297.0
Joe Harris,2016,2017,1252368.0,24.0,5.0,5.0,0.0,15.0,3.0,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,-21.0
George Hill,2012,2016,8000000.0,26.0,50.0,35.0,15.0,1274.0,481.0,168.0,380.0,44.2,54.0,147.0,36.7,91.0,117.0,77.8,31.0,120.0,151.0,145.0,52.0,42.0,17.0,98.0,77.0
Mike Muscala,2017,2018,5000000.0,25.0,70.0,36.0,34.0,1237.0,435.0,170.0,337.0,50.4,46.0,110.0,41.8,49.0,64.0,76.6,76.0,164.0,240.0,95.0,55.0,30.0,41.0,97.0,-76.0
Jeremy Lamb,2016,2018,7000000.0,24.0,66.0,40.0,26.0,1227.0,580.0,230.0,510.0,45.1,56.0,181.0,30.9,64.0,88.0,72.7,44.0,208.0,252.0,77.0,50.0,42.0,30.0,105.0,152.0
Spencer Dinwiddie,2016,2018,1302356.3333333333,23.0,12.0,5.0,7.0,159.0,58.0,19.0,54.0,35.2,1.0,10.0,10.0,19.0,33.0,57.6,4.0,13.0,17.0,22.0,7.0,3.0,0.0,20.0,-56.0
Devin Harris,2014,2017,4140721.0,31.0,40.0,24.0,16.0,818.0,315.0,96.0,254.0,37.8,31.0,101.0,30.7,92.0,115.0,80.0,8.0,77.0,85.0,178.0,59.0,28.0,2.0,72.0,156.0
Jahlil Okafor,2018,2019,1634746.5,22.0,28.0,7.0,21.0,353.0,176.0,77.0,138.0,55.8,1.0,4.0,25.0,21.0,29.0,72.4,21.0,64.0,85.0,12.0,21.0,3.0,18.0,51.0,-163.0
Wilson Chandler,2015,2018,11625000.0,28.0,78.0,28.0,50.0,2471.0,1085.0,418.0,975.0,42.9,139.0,406.0,34.2,110.0,142.0,77.5,96.0,379.0,475.0,134.0,110.0,58.0,29.0,231.0,-217.0
Paul Millsap,2013,2014,9500000.0,28.0,78.0,41.0,37.0,2375.0,1135.0,429.0,875.0,49.0,13.0,39.0,33.3,264.0,356.0,74.2,177.0,377.0,554.0,201.0,138.0,102.0,80.0,232.0,4.0
Kent Bazemore,2014,2015,2000000.0,24.0,67.0,35.0,32.0,911.0,403.0,147.0,343.0,42.9,43.0,128.0,33.6,66.0,109.0,60.6,10.0,107.0,117.0,91.0,79.0,43.0,13.0,102.0,-251.0
Russell Westbrook,2016,2018,30168166.333333332,27.0,80.0,55.0,25.0,2749.0,1878.0,656.0,1444.0,45.4,101.0,341.0,29.6,465.0,573.0,81.2,145.0,481.0,626.0,834.0,342.0,163.0,20.0,200.0,634.0
Nerlens Noel,2018,2019,1820148.0,24.0,30.0,6.0,24.0,472.0,131.0,55.0,105.0,52.4,0.0,1.0,0.0,21.0,28.0,75.0,48.0,120.0,168.0,20.0,26.0,31.0,22.0,59.0,-119.0
Kevin Love,2015,2019,23311776.0,26.0,75.0,50.0,25.0,2532.0,1228.0,413.0,952.0,43.4,144.0,392.0,36.7,258.0,321.0,80.4,142.0,589.0,731.0,168.0,122.0,51.0,39.0,140.0,399.0
Tobias Harris,2015,2018,16000000.0,22.0,68.0,20.0,48.0,2369.0,1164.0,442.0,949.0,46.6,87.0,239.0,36.4,193.0,245.0,78.8,73.0,357.0,430.0,124.0,115.0,69.0,36.0,134.0,-294.0
Bismack Biyombo,2015,2016,9907000.0,22.0,64.0,26.0,38.0,1243.0,304.0,101.0,186.0,54.3,0.0,0.0,0.0,102.0,175.0,58.3,159.0,248.0,407.0,16.0,52.0,18.0,99.0,140.0,-31.0
Terrence Ross,2016,2018,10333333.333333334,25.0,73.0,53.0,20.0,1747.0,720.0,270.0,626.0,43.1,131.0,339.0,38.6,49.0,62.0,79.0,21.0,164.0,185.0,56.0,46.0,54.0,25.0,120.0,243.0
Enes Kanter,2015,2018,17675529.25,23.0,75.0,32.0,43.0,2136.0,1163.0,482.0,928.0,51.9,16.0,45.0,35.6,183.0,234.0,78.2,277.0,394.0,671.0,55.0,145.0,36.0,29.0,189.0,-34.0
Dwight Powell,2016,2019,9317187.5,24.0,69.0,35.0,34.0,992.0,399.0,146.0,296.0,49.3,2.0,16.0,12.5,105.0,142.0,73.9,84.0,189.0,273.0,44.0,40.0,36.0,24.0,118.0,-81.0
Kevin Durant,2016,2017,25770050.0,27.0,72.0,52.0,20.0,2578.0,2029.0,698.0,1381.0,50.5,186.0,481.0,38.7,447.0,498.0,89.8,45.0,544.0,589.0,361.0,250.0,69.0,85.0,137.0,646.0
Langston Galloway,2016,2017,5933333.5,24.0,82.0,32.0,50.0,2033.0,625.0,231.0,588.0,39.3,77.0,224.0,34.4,86.0,114.0,75.4,43.0,245.0,288.0,207.0,61.0,77.0,22.0,177.0,-104.0
Russell Westbrook,2012,2016,17473207.2,23.0,66.0,47.0,19.0,2331.0,1558.0,578.0,1266.0,45.7,62.0,196.0,31.6,340.0,413.0,82.3,96.0,205.0,301.0,362.0,239.0,112.0,21.0,147.0,368.0
Jeff Teague,2017,2019,19000000.0,29.0,82.0,42.0,40.0,2657.0,1254.0,402.0,909.0,44.2,90.0,252.0,35.7,360.0,415.0,86.7,33.0,297.0,330.0,639.0,216.0,100.0,32.0,165.0,49.0
Kenneth Faried,2015,2018,12619684.25,25.0,75.0,30.0,45.0,2086.0,946.0,373.0,736.0,50.7,1.0,8.0,12.5,199.0,288.0,69.1,242.0,426.0,668.0,89.0,118.0,62.0,57.0,211.0,-38.0
Ben McLemore,2017,2018,5330000.0,24.0,61.0,27.0,34.0,1176.0,495.0,180.0,419.0,43.0,65.0,170.0,38.2,70.0,93.0,75.3,19.0,110.0,129.0,51.0,62.0,29.0,6.0,108.0,-135.0
Elfrid Payton,2019,2020,8000000.0,25.0,42.0,18.0,24.0,1250.0,446.0,179.0,412.0,43.4,33.0,105.0,31.4,55.0,74.0,74.3,49.0,171.0,220.0,320.0,112.0,44.0,17.0,81.0,-69.0
Reggie Jackson,2015,2019,12485153.0,25.0,77.0,37.0,40.0,2268.0,1117.0,432.0,996.0,43.4,72.0,241.0,29.9,181.0,218.0,83.0,56.0,271.0,327.0,462.0,186.0,62.0,9.0,167.0,113.0
Wesley Matthews,2015,2018,17699435.25,28.0,60.0,41.0,19.0,2024.0,956.0,337.0,752.0,44.8,173.0,445.0,38.9,109.0,145.0,75.2,38.0,184.0,222.0,139.0,81.0,77.0,10.0,132.0,272.0
James Harden,2016,2019,30902124.75,26.0,82.0,41.0,41.0,3125.0,2376.0,710.0,1617.0,43.9,236.0,657.0,35.9,720.0,837.0,86.0,63.0,438.0,501.0,612.0,374.0,139.0,51.0,229.0,124.0
Bryn Forbes,2018,2019,3000000.0,24.0,80.0,46.0,34.0,1517.0,555.0,209.0,497.0,42.1,89.0,228.0,39.0,48.0,72.0,66.7,12.0,98.0,110.0,80.0,37.0,28.0,2.0,108.0,122.0
Al-Farouq Aminu,2015,2018,7500000.0,24.0,74.0,45.0,29.0,1366.0,412.0,147.0,357.0,41.2,34.0,124.0,27.4,84.0,118.0,71.2,114.0,228.0,342.0,59.0,55.0,70.0,62.0,137.0,105.0
Mason Plumlee,2017,2019,13666666.666666666,27.0,81.0,38.0,43.0,2148.0,842.0,334.0,623.0,53.6,0.0,6.0,0.0,174.0,300.0,58.0,170.0,435.0,605.0,284.0,134.0,69.0,92.0,226.0,-1.0
Jrue Holiday,2013,2016,11000000.0,23.0,78.0,34.0,44.0,2926.0,1383.0,555.0,1288.0,43.1,91.0,247.0,36.8,182.0,242.0,75.2,89.0,240.0,329.0,625.0,292.0,123.0,32.0,170.0,-127.0
Dwight Howard,2013,2016,21952203.25,27.0,76.0,42.0,34.0,2722.0,1296.0,470.0,813.0,57.8,1.0,6.0,16.7,355.0,721.0,49.2,251.0,694.0,945.0,108.0,225.0,84.0,186.0,291.0,138.0
Derrick Rose,2012,2016,18862876.0,23.0,39.0,32.0,7.0,1374.0,852.0,302.0,695.0,43.5,54.0,173.0,31.2,194.0,239.0,81.2,26.0,105.0,131.0,307.0,119.0,35.0,28.0,52.0,290.0
E'Twaun Moore,2016,2019,8680000.0,27.0,59.0,29.0,30.0,1263.0,443.0,187.0,389.0,48.1,47.0,104.0,45.2,22.0,35.0,62.9,19.0,114.0,133.0,99.0,53.0,37.0,18.0,103.0,-37.0
Paul Millsap,2015,2017,23170974.333333332,30.0,73.0,55.0,18.0,2390.0,1218.0,443.0,930.0,47.6,77.0,216.0,35.6,255.0,337.0,75.7,139.0,431.0,570.0,223.0,166.0,130.0,69.0,201.0,408.0
Willie Cauley-Stein,2019,2020,2177483.0,25.0,81.0,39.0,42.0,2213.0,965.0,412.0,741.0,55.6,1.0,2.0,50.0,140.0,254.0,55.1,181.0,497.0,678.0,194.0,84.0,96.0,51.0,227.0,54.0
Raul Neto,2018,2019,1918572.5,26.0,41.0,28.0,13.0,498.0,183.0,69.0,151.0,45.7,19.0,47.0,40.4,26.0,35.0,74.3,7.0,42.0,49.0,75.0,36.0,13.0,4.0,38.0,119.0
Kevin Durant,2018,2019,33599500.0,29.0,68.0,49.0,19.0,2325.0,1792.0,630.0,1222.0,51.6,173.0,413.0,41.9,359.0,404.0,88.9,31.0,433.0,464.0,366.0,207.0,50.0,119.0,133.0,351.0
Bojan Bogdanovic,2017,2018,10500000.0,28.0,81.0,23.0,58.0,2083.0,1113.0,376.0,845.0,44.5,144.0,392.0,36.7,217.0,243.0,89.3,37.0,240.0,277.0,111.0,131.0,34.0,7.0,146.0,-264.0
Carmelo Anthony,2014,2018,19706085.6,30.0,77.0,35.0,42.0,2982.0,2112.0,743.0,1643.0,45.2,167.0,415.0,40.2,459.0,541.0,84.8,145.0,477.0,622.0,242.0,198.0,95.0,51.0,224.0,104.0
Jose Calderon,2013,2016,7250000.0,31.0,73.0,23.0,50.0,2159.0,826.0,312.0,635.0,49.1,130.0,282.0,46.1,72.0,80.0,90.0,20.0,156.0,176.0,518.0,126.0,58.0,8.0,99.0,-251.0
Edmond Sumner,2018,2019,1224897.0,22.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-6.0
Zaza Pachulia,2013,2015,5200000.0,29.0,52.0,29.0,23.0,1134.0,306.0,114.0,241.0,47.3,0.0,3.0,0.0,78.0,103.0,75.7,132.0,204.0,336.0,79.0,70.0,35.0,12.0,128.0,-26.0
Quincy Pondexter,2014,2017,3500000.0,26.0,15.0,7.0,8.0,270.0,94.0,31.0,79.0,39.2,11.0,34.0,32.4,21.0,26.0,80.8,10.0,16.0,26.0,20.0,15.0,5.0,1.0,18.0,-106.0
Shaquille Harrison,2018,2019,1473047.5,24.0,23.0,3.0,20.0,384.0,152.0,59.0,124.0,47.6,6.0,26.0,23.1,28.0,38.0,73.7,9.0,52.0,61.0,55.0,22.0,26.0,7.0,42.0,47.0
Nicolas Batum,2012,2015,11530375.0,23.0,59.0,27.0,32.0,1791.0,818.0,289.0,641.0,45.1,107.0,274.0,39.1,133.0,159.0,83.6,81.0,190.0,271.0,84.0,90.0,57.0,60.0,105.0,-59.0
Kyle Lowry,2014,2017,16225926.0,28.0,79.0,45.0,34.0,2862.0,1417.0,457.0,1080.0,42.3,190.0,500.0,38.0,313.0,385.0,81.3,88.0,281.0,369.0,586.0,194.0,121.0,15.0,267.0,269.0
DeAndre Jordan,2015,2018,21598556.25,26.0,82.0,56.0,26.0,2820.0,946.0,379.0,534.0,71.0,1.0,4.0,25.0,187.0,471.0,39.7,397.0,829.0,1226.0,61.0,109.0,81.0,183.0,245.0,622.0
Garrett Temple,2014,2015,1040843.0,28.0,75.0,40.0,35.0,638.0,138.0,51.0,141.0,36.2,6.0,29.0,20.7,30.0,43.0,69.8,21.0,47.0,68.0,72.0,42.0,35.0,11.0,72.0,-86.0
Jordan Clarkson,2016,2019,12500000.0,24.0,79.0,17.0,62.0,2552.0,1225.0,475.0,1098.0,43.3,111.0,320.0,34.7,164.0,204.0,80.4,93.0,220.0,313.0,192.0,135.0,88.0,7.0,168.0,-628.0
Chris Paul,2013,2017,21468695.0,28.0,70.0,50.0,20.0,2335.0,1186.0,412.0,856.0,48.1,76.0,232.0,32.8,286.0,323.0,88.5,53.0,209.0,262.0,678.0,159.0,169.0,10.0,143.0,432.0
Patrick Patterson,2014,2016,6050000.333333333,25.0,65.0,37.0,28.0,1532.0,555.0,225.0,489.0,46.0,55.0,151.0,36.4,50.0,71.0,70.4,117.0,225.0,342.0,78.0,65.0,55.0,37.0,159.0,168.0
Robin Lopez,2015,2018,13503875.0,27.0,59.0,38.0,21.0,1638.0,566.0,234.0,437.0,53.5,0.0,1.0,0.0,98.0,127.0,77.2,190.0,204.0,394.0,55.0,73.0,16.0,84.0,122.0,146.0
Robert Covington,2014,2017,4928449.75,23.0,7.0,4.0,3.0,34.0,16.0,6.0,14.0,42.9,4.0,11.0,36.4,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,2.0,0.0,3.0,17.0
