,date,firm,Ticker,Research Development,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Net Income From Continuing Ops,Net Income Applicable To Common Shares
10,2021-03-31,A. O. Smith,AOS,,126100000.0,97700000.0,166500000.0,288600000.0,122100000.0,122100000.0,-1000000.0,28400000.0,769000000.0,646900000.0,480400000.0,4000000.0,97700000.0,97700000.0
11,2020-12-31,A. O. Smith,AOS,,151900000.0,120000000.0,184700000.0,324100000.0,139400000.0,139400000.0,-1000000.0,31900000.0,834500000.0,695100000.0,510400000.0,12500000.0,120000000.0,120000000.0
12,2021-09-30,Abbott Laboratories,ABT,672000000.0,2493000000.0,2100000000.0,2699000000.0,6505000000.0,2614000000.0,2614000000.0,-133000000.0,393000000.0,10928000000.0,8314000000.0,4423000000.0,-121000000.0,2100000000.0,2092000000.0
13,2021-06-30,Abbott Laboratories,ABT,654000000.0,1348000000.0,1189000000.0,2658000000.0,5786000000.0,1970000000.0,1970000000.0,-134000000.0,159000000.0,10223000000.0,8253000000.0,4437000000.0,-622000000.0,1189000000.0,1184000000.0
14,2021-03-31,Abbott Laboratories,ABT,654000000.0,2043000000.0,1793000000.0,2716000000.0,6056000000.0,2177000000.0,2177000000.0,-135000000.0,250000000.0,10456000000.0,8279000000.0,4400000000.0,-134000000.0,1793000000.0,1785000000.0
15,2020-12-31,Abbott Laboratories,ABT,643000000.0,2388000000.0,2162000000.0,2525000000.0,6207000000.0,2531000000.0,2531000000.0,-136000000.0,230000000.0,10701000000.0,8170000000.0,4494000000.0,-143000000.0,2158000000.0,2151000000.0
16,2021-09-30,AbbVie,ABBV,1655000000.0,3688000000.0,3179000000.0,2946000000.0,9998000000.0,4897000000.0,4897000000.0,-596000000.0,508000000.0,14342000000.0,9445000000.0,4344000000.0,-1209000000.0,3180000000.0,3158000000.0
17,2021-06-30,AbbVie,ABBV,1784000000.0,1163000000.0,766000000.0,3049000000.0,9461000000.0,4696000000.0,4696000000.0,-615000000.0,394000000.0,13959000000.0,9263000000.0,4498000000.0,-3533000000.0,769000000.0,751000000.0
18,2021-03-31,AbbVie,ABBV,1731000000.0,3867000000.0,3553000000.0,2741000000.0,8818000000.0,4346000000.0,4346000000.0,-632000000.0,312000000.0,13010000000.0,8664000000.0,4192000000.0,-479000000.0,3555000000.0,3536000000.0
19,2020-12-31,AbbVie,ABBV,1821000000.0,-1507000000.0,36000000.0,3099000000.0,10448000000.0,5528000000.0,5528000000.0,-629000000.0,-1545000000.0,13858000000.0,8330000000.0,3410000000.0,-7035000000.0,38000000.0,20000000.0
20,2021-09-30,Abiomed,ABMD,41041000.0,67271000.0,56953000.0,102779000.0,204256000.0,60436000.0,60436000.0,,10318000.0,248142000.0,187706000.0,43886000.0,6835000.0,56953000.0,56953000.0
21,2021-06-30,Abiomed,ABMD,36837000.0,-9350000.0,-26525000.0,103484000.0,207397000.0,67076000.0,67076000.0,,17175000.0,252585000.0,185509000.0,45188000.0,-76426000.0,-26525000.0,-26525000.0
22,2021-03-31,Abiomed,ABMD,32599000.0,73494000.0,56856000.0,100374000.0,195167000.0,62194000.0,62194000.0,,16638000.0,241245000.0,179051000.0,46078000.0,11300000.0,56856000.0,56856000.0
23,2020-12-31,Abiomed,ABMD,32105000.0,80735000.0,61868000.0,86198000.0,190553000.0,72250000.0,72250000.0,,18867000.0,231663000.0,159413000.0,41110000.0,8485000.0,61868000.0,61868000.0
24,2021-08-31,Accenture,ACN,,1917805000.0,1416248000.0,2507527000.0,4466216000.0,1958689000.0,1958689000.0,-12977000.0,480382000.0,13419284000.0,11460595000.0,8953068000.0,-40884000.0,1437423000.0,1416248000.0
25,2021-05-31,Accenture,ACN,,2094001000.0,1549426000.0,2285728000.0,4404384000.0,2118656000.0,2118656000.0,-28739000.0,524429000.0,13263795000.0,11145139000.0,8859411000.0,-24655000.0,1569572000.0,1549426000.0
26,2021-02-28,Accenture,ACN,,1762443000.0,1440859000.0,1941717000.0,3595232000.0,1653515000.0,1653515000.0,-8922000.0,300950000.0,12088125000.0,10434610000.0,8492893000.0,108928000.0,1461493000.0,1440859000.0
27,2020-11-30,Accenture,ACN,,1986867000.0,1500276000.0,2007627000.0,3898296000.0,1890669000.0,1890669000.0,-8854000.0,464810000.0,11762185000.0,9871516000.0,7863889000.0,96198000.0,1522057000.0,1500276000.0
28,2021-09-30,Activision Blizzard,ATVI,329000000.0,759000000.0,639000000.0,387000000.0,1543000000.0,827000000.0,827000000.0,-27000000.0,120000000.0,2070000000.0,1243000000.0,527000000.0,-68000000.0,639000000.0,639000000.0
29,2021-06-30,Activision Blizzard,ATVI,335000000.0,1002000000.0,876000000.0,434000000.0,1741000000.0,972000000.0,972000000.0,-27000000.0,126000000.0,2296000000.0,1324000000.0,555000000.0,30000000.0,876000000.0,876000000.0
30,2021-03-31,Activision Blizzard,ATVI,353000000.0,765000000.0,619000000.0,519000000.0,1697000000.0,825000000.0,825000000.0,-28000000.0,146000000.0,2275000000.0,1450000000.0,578000000.0,-60000000.0,619000000.0,619000000.0
31,2020-12-31,Activision Blizzard,ATVI,348000000.0,563000000.0,509000000.0,597000000.0,1595000000.0,650000000.0,650000000.0,-27000000.0,54000000.0,2412000000.0,1762000000.0,817000000.0,-87000000.0,509000000.0,509000000.0
32,2021-09-30,ADM,ADM,,653000000.0,526000000.0,716000000.0,1326000000.0,607000000.0,607000000.0,-61000000.0,120000000.0,20340000000.0,19733000000.0,19014000000.0,46000000.0,533000000.0,526000000.0
33,2021-06-30,ADM,ADM,,825000000.0,712000000.0,815000000.0,1463000000.0,642000000.0,642000000.0,-40000000.0,113000000.0,22926000000.0,22284000000.0,21463000000.0,183000000.0,712000000.0,712000000.0
34,2021-03-31,ADM,ADM,,824000000.0,689000000.0,697000000.0,1548000000.0,843000000.0,843000000.0,-87000000.0,131000000.0,18893000000.0,18050000000.0,17345000000.0,-19000000.0,693000000.0,689000000.0
35,2020-12-31,ADM,ADM,,756000000.0,687000000.0,720000000.0,1352000000.0,615000000.0,615000000.0,-69000000.0,63000000.0,17978000000.0,17363000000.0,16626000000.0,141000000.0,693000000.0,687000000.0
36,2021-09-03,Adobe,ADBE,651000000.0,1418000000.0,1212000000.0,1333000000.0,3468000000.0,1441000000.0,1441000000.0,-27000000.0,206000000.0,3935000000.0,2494000000.0,467000000.0,-23000000.0,1212000000.0,1212000000.0
37,2021-06-04,Adobe,ADBE,612000000.0,1386000000.0,1116000000.0,1329000000.0,3391000000.0,1406000000.0,1406000000.0,-28000000.0,270000000.0,3835000000.0,2429000000.0,444000000.0,-20000000.0,1116000000.0,1116000000.0
38,2021-03-05,Adobe,ADBE,620000000.0,1433000000.0,1261000000.0,1339000000.0,3458000000.0,1454000000.0,1454000000.0,-30000000.0,172000000.0,3905000000.0,2451000000.0,447000000.0,-21000000.0,1261000000.0,1261000000.0
39,2020-11-27,Adobe,ADBE,558000000.0,1197000000.0,2250000000.0,1184000000.0,2996000000.0,1215000000.0,1215000000.0,-27000000.0,-1053000000.0,3424000000.0,2209000000.0,428000000.0,-18000000.0,2250000000.0,2250000000.0
40,2021-07-17,Advance Auto Parts,AAP,,237765000.0,178696000.0,932793000.0,1189416000.0,256623000.0,256623000.0,-8306000.0,59069000.0,2649415000.0,2392792000.0,1459999000.0,-18858000.0,178696000.0,178696000.0
41,2021-07-17,Advance Auto Parts,AAP,,237765000.0,178696000.0,932793000.0,1189416000.0,256623000.0,256623000.0,-8306000.0,0.0,2649415000.0,0.0,0.0,0.0,178696000.0,178696000.0
42,2021-04-24,Advance Auto Parts,AAP,,245774000.0,185930000.0,1200138000.0,1487229000.0,287091000.0,287091000.0,-11191000.0,59844000.0,3330370000.0,3043279000.0,1843141000.0,-41317000.0,185930000.0,185930000.0
43,2021-04-17,Advance Auto Parts,AAP,,245774000.0,182313000.0,1200138000.0,1338322500.0,271856500.0,287091000.0,-9748500.0,0.0,2989892500.0,0.0,0.0,0.0,185930000.0,185930000.0
44,2021-09-25,Advanced Micro Devices,AMD,765000000.0,1005000000.0,923000000.0,368000000.0,2086000000.0,956000000.0,956000000.0,-7000000.0,82000000.0,4313000000.0,3357000000.0,2227000000.0,49000000.0,923000000.0,923000000.0
45,2021-06-26,Advanced Micro Devices,AMD,659000000.0,823000000.0,710000000.0,331000000.0,1830000000.0,841000000.0,841000000.0,-10000000.0,113000000.0,3850000000.0,3009000000.0,2020000000.0,-18000000.0,710000000.0,710000000.0
46,2021-03-27,Advanced Micro Devices,AMD,610000000.0,644000000.0,555000000.0,304000000.0,1587000000.0,677000000.0,677000000.0,-9000000.0,89000000.0,3445000000.0,2768000000.0,1858000000.0,-33000000.0,555000000.0,555000000.0
47,2020-12-26,Advanced Micro Devices,AMD,573000000.0,549000000.0,1781000000.0,308000000.0,1451000000.0,570000000.0,570000000.0,-9000000.0,-1232000000.0,3244000000.0,2674000000.0,1793000000.0,-21000000.0,1781000000.0,1781000000.0
48,2021-09-30,AES Corp,AES,,611000000.0,343000000.0,39000000.0,760000000.0,721000000.0,721000000.0,-242000000.0,126000000.0,3036000000.0,2315000000.0,2276000000.0,-110000000.0,485000000.0,343000000.0
49,2021-06-30,AES Corp,AES,,-140000000.0,28000000.0,45000000.0,728000000.0,683000000.0,683000000.0,-237000000.0,-59000000.0,2700000000.0,2017000000.0,1972000000.0,-823000000.0,-81000000.0,28000000.0
50,2021-03-31,AES Corp,AES,,-21000000.0,-148000000.0,46000000.0,664000000.0,618000000.0,618000000.0,-190000000.0,8000000.0,2635000000.0,2017000000.0,1971000000.0,-639000000.0,-29000000.0,-148000000.0
51,2020-12-31,AES Corp,AES,,562000000.0,318000000.0,47000000.0,724000000.0,677000000.0,677000000.0,-297000000.0,161000000.0,2560000000.0,1883000000.0,1836000000.0,-115000000.0,401000000.0,318000000.0
52,2021-09-30,Aflac,AFL,,1113000000.0,888000000.0,869000000.0,2039000000.0,1170000000.0,1170000000.0,-57000000.0,225000000.0,5237000000.0,4067000000.0,3198000000.0,-57000000.0,888000000.0,888000000.0
53,2021-06-30,Aflac,AFL,,1373000000.0,1105000000.0,881000000.0,2316000000.0,1435000000.0,1435000000.0,-62000000.0,268000000.0,5564000000.0,4129000000.0,3248000000.0,-62000000.0,1105000000.0,1105000000.0
54,2021-03-31,Aflac,AFL,,1603000000.0,1293000000.0,832000000.0,2497000000.0,1665000000.0,1665000000.0,-62000000.0,310000000.0,5869000000.0,4204000000.0,3372000000.0,-62000000.0,1293000000.0,1293000000.0
55,2020-12-31,Aflac,AFL,,1217000000.0,952000000.0,1038000000.0,2316000000.0,1278000000.0,1278000000.0,-61000000.0,265000000.0,5913000000.0,4635000000.0,3597000000.0,-61000000.0,952000000.0,952000000.0
56,2021-07-31,Agilent Technologies,A,113000000.0,327000000.0,264000000.0,390000000.0,852000000.0,349000000.0,349000000.0,-21000000.0,63000000.0,1586000000.0,1237000000.0,734000000.0,-22000000.0,264000000.0,264000000.0
57,2021-04-30,Agilent Technologies,A,109000000.0,273000000.0,216000000.0,420000000.0,817000000.0,288000000.0,288000000.0,-20000000.0,57000000.0,1525000000.0,1237000000.0,708000000.0,-15000000.0,216000000.0,216000000.0
58,2021-01-31,Agilent Technologies,A,103000000.0,312000000.0,288000000.0,398000000.0,838000000.0,337000000.0,337000000.0,-19000000.0,24000000.0,1548000000.0,1211000000.0,710000000.0,-25000000.0,288000000.0,288000000.0
59,2020-10-31,Agilent Technologies,A,102000000.0,283000000.0,222000000.0,342000000.0,788000000.0,344000000.0,344000000.0,-19000000.0,61000000.0,1483000000.0,1139000000.0,695000000.0,-61000000.0,222000000.0,222000000.0
60,2021-09-30,Air Products & Chemicals,APD,25700000.0,692300000.0,610400000.0,202100000.0,834800000.0,616700000.0,616700000.0,-33400000.0,125300000.0,2841100000.0,2224400000.0,2006300000.0,75600000.0,567000000.0,610400000.0
61,2021-06-30,Air Products & Chemicals,APD,23200000.0,625800000.0,533600000.0,192600000.0,802800000.0,598400000.0,598400000.0,-35600000.0,101700000.0,2604700000.0,2006300000.0,1801900000.0,27400000.0,524100000.0,533600000.0
62,2021-03-31,Air Products & Chemicals,APD,21100000.0,599000000.0,473100000.0,189100000.0,756500000.0,555800000.0,555800000.0,-36100000.0,121900000.0,2502000000.0,1946200000.0,1745500000.0,43200000.0,477100000.0,473100000.0
63,2020-12-31,Air Products & Chemicals,APD,23500000.0,590300000.0,482000000.0,182100000.0,742800000.0,562500000.0,562500000.0,-36700000.0,113900000.0,2375200000.0,1812700000.0,1632400000.0,27800000.0,476400000.0,482000000.0
64,2021-09-30,Akamai Technologies,AKAM,82899000.0,192564000.0,178916000.0,241463000.0,543467000.0,207146000.0,207146000.0,-18144000.0,13648000.0,860333000.0,653187000.0,316866000.0,-14582000.0,178916000.0,178916000.0
65,2021-06-30,Akamai Technologies,AKAM,77255000.0,174506000.0,156497000.0,246049000.0,532824000.0,197460000.0,197460000.0,-18037000.0,18009000.0,852824000.0,655364000.0,320000000.0,-22954000.0,156497000.0,156497000.0
66,2021-03-31,Akamai Technologies,AKAM,82045000.0,167593000.0,155695000.0,253005000.0,536021000.0,189544000.0,189544000.0,-17834000.0,11898000.0,842708000.0,653164000.0,306687000.0,-21951000.0,155695000.0,155695000.0
67,2020-12-31,Akamai Technologies,AKAM,67228000.0,117528000.0,113370000.0,298739000.0,542440000.0,165579000.0,165579000.0,-17342000.0,4158000.0,846287000.0,680708000.0,303847000.0,-48051000.0,113370000.0,113370000.0
68,2021-09-30,Alaska Air Group,ALB,13289000.0,-489103000.0,-392781000.0,95699000.0,249273000.0,140285000.0,140285000.0,-5136000.0,-114670000.0,830566000.0,690281000.0,581293000.0,-629388000.0,-374433000.0,-392781000.0
69,2021-06-30,Alaska Air Group,ALB,13976000.0,553193000.0,424600000.0,113393000.0,248417000.0,121048000.0,121048000.0,-5952000.0,106985000.0,773896000.0,652848000.0,525479000.0,432145000.0,446208000.0,424600000.0
70,2021-03-31,Alaska Air Group,ALB,14636000.0,139805000.0,95677000.0,85589000.0,263687000.0,163462000.0,163462000.0,-16084000.0,22107000.0,829291000.0,665829000.0,565604000.0,-23657000.0,117698000.0,95677000.0
71,2020-12-31,Alaska Air Group,ALB,15375000.0,92076000.0,84635000.0,115008000.0,266720000.0,136337000.0,136337000.0,-19152000.0,-10101000.0,879147000.0,742810000.0,612427000.0,-44261000.0,102177000.0,84635000.0
72,2021-09-30,Albemarle Corporation,ALK,,245000000.0,194000000.0,49000000.0,562000000.0,257000000.0,257000000.0,-27000000.0,51000000.0,1953000000.0,1696000000.0,1391000000.0,-12000000.0,194000000.0,194000000.0
73,2021-06-30,Albemarle Corporation,ALK,,528000000.0,397000000.0,41000000.0,246000000.0,-36000000.0,-36000000.0,-36000000.0,131000000.0,1527000000.0,1563000000.0,1281000000.0,564000000.0,397000000.0,397000000.0
74,2021-03-31,Albemarle Corporation,ALK,,-173000000.0,-131000000.0,33000000.0,-312000000.0,-573000000.0,-573000000.0,-29000000.0,-42000000.0,797000000.0,1370000000.0,1109000000.0,400000000.0,-131000000.0,-131000000.0
75,2020-12-31,Albemarle Corporation,ALK,,-643000000.0,-447000000.0,18000000.0,-213000000.0,-449000000.0,-449000000.0,-31000000.0,-196000000.0,808000000.0,1257000000.0,1021000000.0,-194000000.0,-447000000.0,-447000000.0
76,2021-09-30,Alexandria Real Estate Equities,ARE,,124433000.0,103147000.0,37931000.0,384855000.0,136082000.0,136082000.0,-35678000.0,0.0,550850000.0,414768000.0,165995000.0,-11649000.0,124433000.0,101264000.0
77,2021-06-30,Alexandria Real Estate Equities,ARE,,404520000.0,385084000.0,37880000.0,368273000.0,140341000.0,140341000.0,-35158000.0,0.0,512228000.0,371887000.0,143955000.0,264179000.0,404520000.0,380563000.0
78,2021-03-31,Alexandria Real Estate Equities,ARE,,25533000.0,8121000.0,33996000.0,345498000.0,130589000.0,130589000.0,-36467000.0,0.0,483386000.0,352797000.0,137888000.0,-105056000.0,25533000.0,7979000.0
79,2020-12-31,Alexandria Real Estate Equities,ARE,,457133000.0,441484000.0,32690000.0,330546000.0,120106000.0,120106000.0,-37538000.0,0.0,467313000.0,347207000.0,136767000.0,337027000.0,457133000.0,436620000.0
80,2021-09-30,Align Technology,ALGN,65587000.0,261988000.0,180969000.0,428409000.0,755156000.0,261160000.0,261160000.0,,81019000.0,1015906000.0,754746000.0,260750000.0,828000.0,180969000.0,180969000.0
81,2021-06-30,Align Technology,ALGN,57715000.0,268802000.0,199714000.0,431921000.0,758538000.0,268902000.0,268902000.0,,69088000.0,1010808000.0,741906000.0,252270000.0,-100000.0,199714000.0,199714000.0
82,2021-03-31,Align Technology,ALGN,54537000.0,261621000.0,200376000.0,397115000.0,677098000.0,225446000.0,225446000.0,,61245000.0,894771000.0,669325000.0,217673000.0,36175000.0,200376000.0,200376000.0
83,2020-12-31,Align Technology,ALGN,48887000.0,214542000.0,158988000.0,348392000.0,610463000.0,213184000.0,213184000.0,,55554000.0,834520000.0,621336000.0,224057000.0,1358000.0,158988000.0,158988000.0
84,2021-09-30,Allegion,ALLE,,140800000.0,143500000.0,160000000.0,300500000.0,140500000.0,140500000.0,-12300000.0,-2800000.0,717000000.0,576500000.0,416500000.0,300000.0,143600000.0,143500000.0
85,2021-06-30,Allegion,ALLE,,136200000.0,118700000.0,173100000.0,320500000.0,147400000.0,147400000.0,-12400000.0,17400000.0,746900000.0,599500000.0,426400000.0,-11200000.0,118800000.0,118700000.0
86,2021-03-31,Allegion,ALLE,,122500000.0,108000000.0,164200000.0,297400000.0,133200000.0,133200000.0,-12300000.0,14300000.0,694300000.0,561100000.0,396900000.0,-10700000.0,108200000.0,108000000.0
87,2020-12-31,Allegion,ALLE,,105800000.0,93300000.0,156600000.0,320700000.0,164100000.0,164100000.0,-12300000.0,12400000.0,727300000.0,563200000.0,406600000.0,-58300000.0,93400000.0,93300000.0
88,2021-09-30,Alliant Energy,LNT,,235000000.0,256000000.0,,480000000.0,289000000.0,289000000.0,-71000000.0,-21000000.0,1024000000.0,735000000.0,544000000.0,-54000000.0,256000000.0,256000000.0
89,2021-06-30,Alliant Energy,LNT,,127000000.0,144000000.0,,367000000.0,176000000.0,176000000.0,-71000000.0,-17000000.0,817000000.0,641000000.0,450000000.0,-49000000.0,144000000.0,144000000.0
90,2021-03-31,Alliant Energy,LNT,,143000000.0,171000000.0,,388000000.0,198000000.0,198000000.0,-72000000.0,-28000000.0,901000000.0,703000000.0,513000000.0,-55000000.0,171000000.0,171000000.0
91,2020-12-31,Alliant Energy,LNT,,54000000.0,64000000.0,24000000.0,299000000.0,88000000.0,88000000.0,-70000000.0,-10000000.0,817000000.0,729000000.0,518000000.0,-34000000.0,64000000.0,64000000.0
92,2021-09-30,Allstate Corp,ALL,,226000000.0,538000000.0,1930000000.0,2357000000.0,318000000.0,318000000.0,-69000000.0,20000000.0,12480000000.0,12162000000.0,10123000000.0,-92000000.0,206000000.0,508000000.0
93,2021-06-30,Allstate Corp,ALL,,1797000000.0,1625000000.0,1549000000.0,3642000000.0,1988000000.0,1988000000.0,-91000000.0,362000000.0,12646000000.0,10658000000.0,9004000000.0,-191000000.0,1435000000.0,1595000000.0
94,2021-03-31,Allstate Corp,ALL,,3032000000.0,-1381000000.0,1399000000.0,4643000000.0,3191000000.0,3191000000.0,-86000000.0,626000000.0,12451000000.0,9260000000.0,7808000000.0,-159000000.0,2406000000.0,-1408000000.0
95,2020-12-31,Allstate Corp,ALL,,3310000000.0,2624000000.0,1131000000.0,4590000000.0,3429000000.0,3429000000.0,-80000000.0,686000000.0,12018000000.0,8589000000.0,7428000000.0,-119000000.0,2624000000.0,2598000000.0
96,2021-06-30,Alphabet (Class A),GOOGL,7675000000.0,21985000000.0,18525000000.0,8617000000.0,35653000000.0,19361000000.0,19361000000.0,-76000000.0,3460000000.0,61880000000.0,42519000000.0,26227000000.0,2624000000.0,18525000000.0,18525000000.0
97,2021-03-31,Alphabet (Class A),GOOGL,7485000000.0,21283000000.0,17930000000.0,7289000000.0,31211000000.0,16437000000.0,16437000000.0,-76000000.0,3353000000.0,55314000000.0,38877000000.0,24103000000.0,4846000000.0,17930000000.0,17930000000.0
98,2020-12-31,Alphabet (Class A),GOOGL,7022000000.0,18689000000.0,15227000000.0,8145000000.0,30818000000.0,15651000000.0,15651000000.0,-53000000.0,3462000000.0,56898000000.0,41247000000.0,26080000000.0,3038000000.0,15227000000.0,15227000000.0
99,2020-09-30,Alphabet (Class A),GOOGL,6856000000.0,13359000000.0,11247000000.0,6987000000.0,25056000000.0,11213000000.0,11213000000.0,-48000000.0,2112000000.0,46173000000.0,34960000000.0,21117000000.0,2146000000.0,11247000000.0,11247000000.0
100,2021-06-30,Alphabet (Class C),GOOG,7675000000.0,21985000000.0,18525000000.0,8617000000.0,35653000000.0,19361000000.0,19361000000.0,-76000000.0,3460000000.0,61880000000.0,42519000000.0,26227000000.0,2624000000.0,18525000000.0,18525000000.0
101,2021-03-31,Alphabet (Class C),GOOG,7485000000.0,21283000000.0,17930000000.0,7289000000.0,31211000000.0,16437000000.0,16437000000.0,-76000000.0,3353000000.0,55314000000.0,38877000000.0,24103000000.0,4846000000.0,17930000000.0,17930000000.0
102,2020-12-31,Alphabet (Class C),GOOG,7022000000.0,18689000000.0,15227000000.0,8145000000.0,30818000000.0,15651000000.0,15651000000.0,-53000000.0,3462000000.0,56898000000.0,41247000000.0,26080000000.0,3038000000.0,15227000000.0,15227000000.0
103,2020-09-30,Alphabet (Class C),GOOG,6856000000.0,13359000000.0,11247000000.0,6987000000.0,25056000000.0,11213000000.0,11213000000.0,-48000000.0,2112000000.0,46173000000.0,34960000000.0,21117000000.0,2146000000.0,11247000000.0,11247000000.0
104,2021-06-30,Altria Group,MO,,2909000000.0,2149000000.0,492000000.0,3732000000.0,3240000000.0,3240000000.0,-297000000.0,759000000.0,5614000000.0,2374000000.0,1882000000.0,-331000000.0,2150000000.0,2146000000.0
105,2021-03-31,Altria Group,MO,,1937000000.0,1424000000.0,467000000.0,3273000000.0,2806000000.0,2806000000.0,-313000000.0,516000000.0,4880000000.0,2074000000.0,1607000000.0,-869000000.0,1421000000.0,1421000000.0
106,2020-12-31,Altria Group,MO,,2541000000.0,1924000000.0,434000000.0,3166000000.0,2732000000.0,2732000000.0,-336000000.0,619000000.0,5055000000.0,2323000000.0,1889000000.0,-191000000.0,1922000000.0,1922000000.0
107,2020-09-30,Altria Group,MO,,-324000000.0,-952000000.0,520000000.0,3718000000.0,3198000000.0,3198000000.0,-318000000.0,632000000.0,5678000000.0,2480000000.0,1960000000.0,-3522000000.0,-956000000.0,-953000000.0
108,2021-06-30,Amazon,AMZN,11794000000.0,8646000000.0,7778000000.0,29397000000.0,48904000000.0,7702000000.0,7702000000.0,-435000000.0,868000000.0,113080000000.0,105378000000.0,64176000000.0,944000000.0,7778000000.0,7778000000.0
109,2021-03-31,Amazon,AMZN,10584000000.0,10263000000.0,8107000000.0,26628000000.0,46115000000.0,8865000000.0,8865000000.0,-399000000.0,2156000000.0,108518000000.0,99653000000.0,62403000000.0,1398000000.0,8107000000.0,8107000000.0
110,2020-12-31,Amazon,AMZN,16466000000.0,7787000000.0,7222000000.0,23428000000.0,46271000000.0,6873000000.0,6873000000.0,-414000000.0,565000000.0,125555000000.0,118682000000.0,79284000000.0,914000000.0,7222000000.0,7222000000.0
111,2020-09-30,Amazon,AMZN,9334000000.0,6900000000.0,6331000000.0,23449000000.0,39039000000.0,6194000000.0,6194000000.0,-428000000.0,569000000.0,96145000000.0,89951000000.0,57106000000.0,706000000.0,6331000000.0,6331000000.0
112,2021-06-30,Amcor,AMCR,26000000.0,333000000.0,255000000.0,327000000.0,745000000.0,456000000.0,456000000.0,-40000000.0,74000000.0,3454000000.0,2998000000.0,2709000000.0,-123000000.0,259000000.0,254000000.0
113,2021-03-31,Amcor,AMCR,25000000.0,341000000.0,267000000.0,321000000.0,682000000.0,350000000.0,350000000.0,-36000000.0,71000000.0,3207000000.0,2857000000.0,2525000000.0,-9000000.0,270000000.0,267000000.0
114,2020-12-31,Amcor,AMCR,23000000.0,277000000.0,219000000.0,305000000.0,651000000.0,327000000.0,327000000.0,-37000000.0,55000000.0,3103000000.0,2776000000.0,2452000000.0,-50000000.0,222000000.0,219000000.0
115,2020-09-30,Amcor,AMCR,26000000.0,261000000.0,198000000.0,326000000.0,654000000.0,305000000.0,305000000.0,-44000000.0,61000000.0,3097000000.0,2792000000.0,2443000000.0,-44000000.0,200000000.0,198000000.0
116,2021-06-30,Ameren Corp,AEE,,239000000.0,207000000.0,-34000000.0,693000000.0,320000000.0,320000000.0,-96000000.0,31000000.0,1410000000.0,1090000000.0,717000000.0,-81000000.0,208000000.0,207000000.0
117,2021-03-31,Ameren Corp,AEE,,262000000.0,233000000.0,-34000000.0,725000000.0,350000000.0,350000000.0,-100000000.0,27000000.0,1496000000.0,1146000000.0,771000000.0,-88000000.0,235000000.0,233000000.0
