Date,Sales_USD_cumsum,Number_of_Sales_cumsum,Active_Market_Wallets_cumsum,Primary_Sales_cumsum,Secondary_Sales_cumsum,AverageUSD_cum,Sales_USD,Number_of_Sales,Active_Market_Wallets,Primary_Sales
2017-07-25,93077.94,717,101.0,0,8.0,129.82,1769.4700000000012,8.0,2.0,0.0
2017-07-26,93392.45,722,102.0,0,5.0,129.35,314.50999999999476,5.0,1.0,0.0
2017-07-27,93504.21,724,103.0,0,2.0,129.15,111.76000000000931,2.0,1.0,0.0
2017-07-28,93878.21,729,104.0,0,5.0,128.78,374.0,5.0,1.0,0.0
2017-07-29,94885.01,737,105.0,0,8.0,128.74,1006.7999999999884,8.0,1.0,0.0
2017-07-30,96364.0,753,105.0,0,16.0,127.97,1478.9900000000052,16.0,0.0,0.0
2017-07-31,96577.45,755,106.0,0,2.0,127.92,213.4499999999971,2.0,1.0,0.0
2017-08-01,96686.45,757,106.0,0,2.0,127.72,109.0,2.0,0.0,0.0
2017-08-02,97212.19,758,106.0,0,1.0,128.25,525.7400000000052,1.0,0.0,0.0
2017-08-03,101812.09,779,109.0,0,21.0,130.7,4599.899999999994,21.0,3.0,0.0
2017-08-04,101812.09,779,109.0,0,0.0,130.7,0.0,0.0,0.0,0.0
2017-08-05,103331.02,781,110.0,0,2.0,132.31,1518.9300000000076,2.0,1.0,0.0
2017-08-06,103331.02,781,110.0,0,0.0,132.31,0.0,0.0,0.0,0.0
2017-08-07,103407.54,782,110.0,0,1.0,132.23,76.51999999998952,1.0,0.0,0.0
2017-08-08,104405.14,787,112.0,0,5.0,132.66,997.6000000000058,5.0,2.0,0.0
2017-08-09,104672.5,790,112.0,0,3.0,132.5,267.3600000000006,3.0,0.0,0.0
2017-08-10,104853.54,792,112.0,0,2.0,132.39,181.0399999999936,2.0,0.0,0.0
2017-08-11,105512.91,800,114.0,0,8.0,131.89,659.3700000000099,8.0,2.0,0.0
2017-08-12,106551.43,817,116.0,0,17.0,130.42,1038.5199999999895,17.0,2.0,0.0
2017-08-13,107356.72,824,117.0,0,7.0,130.29,805.2900000000081,7.0,1.0,0.0
2017-08-14,107860.59,827,118.0,0,3.0,130.42,503.86999999999534,3.0,1.0,0.0
2017-08-15,108121.48,831,118.0,0,4.0,130.11,260.8899999999994,4.0,0.0,0.0
2017-08-16,108331.51,833,118.0,0,2.0,130.05,210.02999999999884,2.0,0.0,0.0
2017-08-17,108481.79,835,118.0,0,2.0,129.92,150.27999999999884,2.0,0.0,0.0
2017-08-18,108570.63,836,118.0,0,1.0,129.87,88.84000000001106,1.0,0.0,0.0
2017-08-19,108689.28,837,119.0,0,1.0,129.86,118.64999999999418,1.0,1.0,0.0
2017-08-20,108851.62,838,119.0,0,1.0,129.89,162.3399999999965,1.0,0.0,0.0
2017-08-21,109644.24,846,120.0,0,8.0,129.6,792.6200000000099,8.0,1.0,0.0
2017-08-22,109731.65,847,120.0,0,1.0,129.55,87.40999999998894,1.0,0.0,0.0
2017-08-23,109886.87,849,121.0,0,2.0,129.43,155.22000000000116,2.0,1.0,0.0
2017-08-24,109886.87,849,121.0,0,0.0,129.43,0.0,0.0,0.0,0.0
2017-08-25,110143.51,852,122.0,0,3.0,129.28,256.6399999999994,3.0,1.0,0.0
2017-08-26,110242.47,853,122.0,0,1.0,129.24,98.9600000000064,1.0,0.0,0.0
2017-08-27,110242.47,853,122.0,0,0.0,129.24,0.0,0.0,0.0,0.0
2017-08-28,111388.32,862,124.0,0,9.0,129.22,1145.8500000000058,9.0,2.0,0.0
2017-08-29,111480.02,863,124.0,0,1.0,129.18,91.69999999999709,1.0,0.0,0.0
2017-08-30,111654.32,865,125.0,0,2.0,129.08,174.3000000000029,2.0,1.0,0.0
2017-08-31,111757.71,866,125.0,0,1.0,129.05,103.38999999999942,1.0,0.0,0.0
2017-09-01,112263.82,871,125.0,0,5.0,128.89,506.1100000000006,5.0,0.0,0.0
2017-09-02,112333.1,874,126.0,0,3.0,128.53,69.27999999999884,3.0,1.0,0.0
2017-09-03,112333.1,874,126.0,0,0.0,128.53,0.0,0.0,0.0,0.0
2017-09-04,112647.8,877,128.0,0,3.0,128.45,314.6999999999971,3.0,2.0,0.0
2017-09-05,112647.8,877,128.0,0,0.0,128.45,0.0,0.0,0.0,0.0
2017-09-06,112647.8,877,128.0,0,0.0,128.45,0.0,0.0,0.0,0.0
2017-09-07,112647.8,877,128.0,0,0.0,128.45,0.0,0.0,0.0,0.0
2017-09-08,112723.92,878,129.0,0,1.0,128.39,76.11999999999534,1.0,1.0,0.0
2017-09-09,112723.92,878,129.0,0,0.0,128.39,0.0,0.0,0.0,0.0
2017-09-10,112925.94,881,129.0,0,3.0,128.18,202.02000000000407,3.0,0.0,0.0
2017-09-11,113065.28,883,129.0,0,2.0,128.05,139.3399999999965,2.0,0.0,0.0
2017-09-12,113146.65,885,129.0,0,2.0,127.85,81.36999999999534,2.0,0.0,0.0
2017-09-13,113146.65,885,129.0,0,0.0,127.85,0.0,0.0,0.0,0.0
2017-09-14,113146.65,885,129.0,0,0.0,127.85,0.0,0.0,0.0,0.0
2017-09-15,113146.65,885,129.0,0,0.0,127.85,0.0,0.0,0.0,0.0
2017-09-16,113217.64,886,129.0,0,1.0,127.79,70.99000000000524,1.0,0.0,0.0
2017-09-17,113351.36,888,130.0,0,2.0,127.65,133.72000000000116,2.0,1.0,0.0
2017-09-18,113414.71,889,131.0,0,1.0,127.58,63.35000000000582,1.0,1.0,0.0
2017-09-19,113793.31,893,132.0,0,4.0,127.43,378.59999999999127,4.0,1.0,0.0
2017-09-20,114166.06,896,132.0,0,3.0,127.42,372.75,3.0,0.0,0.0
2017-09-21,114374.6,900,134.0,0,4.0,127.08,208.54000000000815,4.0,2.0,0.0
2017-09-22,114445.74,901,134.0,0,1.0,127.02,71.13999999999942,1.0,0.0,0.0
2017-09-23,114689.31,905,135.0,0,4.0,126.73,243.56999999999243,4.0,1.0,0.0
2017-09-24,114745.45,906,135.0,0,1.0,126.65,56.13999999999942,1.0,0.0,0.0
2017-09-25,114745.45,906,135.0,0,0.0,126.65,0.0,0.0,0.0,0.0
2017-09-26,114745.45,906,135.0,0,0.0,126.65,0.0,0.0,0.0,0.0
2017-09-27,115168.46,910,136.0,0,4.0,126.56,423.0100000000093,4.0,1.0,0.0
2017-09-28,115204.66,911,137.0,0,1.0,126.46,36.19999999999709,1.0,1.0,0.0
2017-09-29,115519.01,918,137.0,0,7.0,125.84,314.34999999999127,7.0,0.0,0.0
2017-09-30,115679.53,928,137.0,0,10.0,124.65,160.52000000000407,10.0,0.0,0.0
2017-10-01,116129.05,929,138.0,0,1.0,125.0,449.5200000000041,1.0,1.0,0.0
2017-10-02,116129.05,929,138.0,0,0.0,125.0,0.0,0.0,0.0,0.0
2017-10-03,116129.05,929,138.0,0,0.0,125.0,0.0,0.0,0.0,0.0
2017-10-04,116187.65,930,138.0,0,1.0,124.93,58.59999999999127,1.0,0.0,0.0
2017-10-05,116187.65,930,138.0,0,0.0,124.93,0.0,0.0,0.0,0.0
2017-10-06,116187.65,930,138.0,0,0.0,124.93,0.0,0.0,0.0,0.0
2017-10-07,116187.65,930,138.0,0,0.0,124.93,0.0,0.0,0.0,0.0
2017-10-08,116280.69,931,138.0,0,1.0,124.9,93.04000000000815,1.0,0.0,0.0
2017-10-09,116307.32,932,138.0,0,1.0,124.79,26.630000000004657,1.0,0.0,0.0
2017-10-10,116307.32,932,138.0,0,0.0,124.79,0.0,0.0,0.0,0.0
2017-10-11,116374.04,933,138.0,0,1.0,124.73,66.71999999998661,1.0,0.0,0.0
2017-10-12,116413.3,934,138.0,0,1.0,124.64,39.26000000000931,1.0,0.0,0.0
2017-10-13,116768.15,938,140.0,0,4.0,124.49,354.84999999999127,4.0,2.0,0.0
2017-10-14,117023.01,942,140.0,0,4.0,124.23,254.86000000000058,4.0,0.0,0.0
2017-10-15,117200.76,945,140.0,0,3.0,124.02,177.75,3.0,0.0,0.0
2017-10-16,117380.03,947,140.0,0,2.0,123.95,179.27000000000407,2.0,0.0,0.0
2017-10-17,117380.03,947,140.0,0,0.0,123.95,0.0,0.0,0.0,0.0
2017-10-18,117380.03,947,140.0,0,0.0,123.95,0.0,0.0,0.0,0.0
2017-10-19,117407.79,948,140.0,0,1.0,123.85,27.75999999999476,1.0,0.0,0.0
2017-10-20,117504.54,949,141.0,0,1.0,123.82,96.75,1.0,1.0,0.0
2017-10-21,117582.72,950,141.0,0,1.0,123.77,78.18000000000757,1.0,0.0,0.0
2017-10-22,117582.72,950,141.0,0,0.0,123.77,0.0,0.0,0.0,0.0
2017-10-23,117582.72,950,141.0,0,0.0,123.77,0.0,0.0,0.0,0.0
2017-10-24,117582.72,950,141.0,0,0.0,123.77,0.0,0.0,0.0,0.0
2017-10-25,117627.5,951,141.0,0,1.0,123.69,44.779999999998836,1.0,0.0,0.0
2017-10-26,117896.42,958,141.0,0,7.0,123.07,268.91999999999825,7.0,0.0,0.0
2017-10-27,118075.17,964,141.0,0,6.0,122.48,178.75,6.0,0.0,0.0
2017-10-28,118253.05,970,141.0,0,6.0,121.91,177.88000000000466,6.0,0.0,0.0
2017-10-29,118274.31,971,141.0,0,1.0,121.81,21.25999999999476,1.0,0.0,0.0
2017-10-30,118491.75,974,142.0,0,3.0,121.65,217.44000000000233,3.0,1.0,0.0
2017-10-31,118713.34,980,143.0,0,6.0,121.14,221.5899999999965,6.0,1.0,0.0
2017-11-01,118824.42,984,144.0,0,4.0,120.76,111.08000000000175,4.0,1.0,0.0
2017-11-02,118936.38,987,146.0,0,3.0,120.5,111.9600000000064,3.0,2.0,0.0
2017-11-03,118936.38,987,146.0,0,0.0,120.5,0.0,0.0,0.0,0.0
2017-11-04,119023.37,990,147.0,0,3.0,120.23,86.98999999999069,3.0,1.0,0.0
2017-11-05,119023.37,990,147.0,0,0.0,120.23,0.0,0.0,0.0,0.0
2017-11-06,119023.37,990,147.0,0,0.0,120.23,0.0,0.0,0.0,0.0
2017-11-07,119289.08,991,148.0,0,1.0,120.37,265.7100000000064,1.0,1.0,0.0
2017-11-08,119289.08,991,148.0,0,0.0,120.37,0.0,0.0,0.0,0.0
2017-11-09,119437.35,993,148.0,0,2.0,120.28,148.27000000000407,2.0,0.0,0.0
2017-11-10,119437.35,993,148.0,0,0.0,120.28,0.0,0.0,0.0,0.0
2017-11-11,119437.35,993,148.0,0,0.0,120.28,0.0,0.0,0.0,0.0
2017-11-12,119528.46,994,148.0,0,1.0,120.25,91.11000000000058,1.0,0.0,0.0
2017-11-13,119591.53,996,150.0,0,2.0,120.07,63.06999999999243,2.0,2.0,0.0
2017-11-14,119659.31,997,150.0,0,1.0,120.02,67.77999999999884,1.0,0.0,0.0
2017-11-15,119796.37,999,151.0,0,2.0,119.92,137.05999999999767,2.0,1.0,0.0
2017-11-16,119796.37,999,151.0,0,0.0,119.92,0.0,0.0,0.0,0.0
2017-11-17,119796.37,999,151.0,0,0.0,119.92,0.0,0.0,0.0,0.0
2017-11-18,119796.37,999,151.0,0,0.0,119.92,0.0,0.0,0.0,0.0
2017-11-19,119868.29,1001,153.0,0,2.0,119.75,71.91999999999825,2.0,2.0,0.0
2017-11-20,119978.03,1004,155.0,0,3.0,119.5,109.74000000000524,3.0,2.0,0.0
2017-11-21,120359.15,1114,185.0,105,5.0,108.04,381.11999999999534,110.0,30.0,105.0
2017-11-22,121053.73,1171,190.0,141,21.0,103.38,694.5800000000017,57.0,5.0,36.0
2017-11-23,124682.12,2287,252.0,1077,180.0,54.52,3628.3899999999994,1116.0,62.0,936.0
2017-11-24,131611.57,5305,319.0,3628,467.0,24.81,6929.450000000012,3018.0,67.0,2551.0
2017-11-25,133837.07,7246,342.0,5392,177.0,18.47,2225.5,1941.0,23.0,1764.0
2017-11-26,136682.15,8466,348.0,6475,137.0,16.14,2845.079999999987,1220.0,6.0,1083.0
2017-11-27,138303.71,9434,366.0,7284,159.0,14.66,1621.5599999999977,968.0,18.0,809.0
2017-11-28,143410.29,11162,502.0,8427,585.0,12.85,5106.580000000016,1728.0,136.0,1143.0
2017-11-29,173615.62,16740,878.0,12174,1831.0,10.37,30205.329999999987,5578.0,376.0,3747.0
2017-11-30,197276.98,24900,1153.0,18470,1864.0,7.92,23661.360000000015,8160.0,275.0,6296.0
2017-12-01,234124.33,32787,1550.0,24206,2151.0,7.14,36847.34999999998,7887.0,397.0,5736.0
2017-12-02,502403.0,46552,2365.0,33276,4695.0,10.79,268278.67000000004,13765.0,815.0,9070.0
2017-12-03,1599738.38,76317,5049.0,49822,13219.0,20.96,1097335.38,29765.0,2684.0,16546.0
2017-12-04,4032236.53,115308,8796.0,73474,15339.0,34.97,2432498.15,38991.0,3747.0,23652.0
2017-12-05,6363849.6,156833,13445.0,98671,16328.0,40.58,2331613.07,41525.0,4649.0,25197.0
2017-12-06,8266232.12,189193,16914.0,118599,12432.0,43.69,1902382.5200000005,32360.0,3469.0,19928.0
2017-12-07,10072689.12,227386,21209.0,140695,16097.0,44.3,1806456.999999999,38193.0,4295.0,22096.0
2017-12-08,12209686.0,272593,25680.0,167745,18157.0,44.79,2136996.880000001,45207.0,4471.0,27050.0
2017-12-09,14056240.95,323607,29770.0,198581,20178.0,43.44,1846554.9499999993,51014.0,4090.0,30836.0
2017-12-10,15434077.92,375641,33565.0,230365,20250.0,41.09,1377836.9700000007,52034.0,3795.0,31784.0
2017-12-11,16572006.76,422708,36744.0,258439,18993.0,39.2,1137928.8399999999,47067.0,3179.0,28074.0
2017-12-12,17400529.19,460103,39096.0,282397,13437.0,37.82,828522.4300000016,37395.0,2352.0,23958.0
2017-12-13,18034254.58,489799,41406.0,299635,12458.0,36.82,633725.3899999969,29696.0,2310.0,17238.0
2017-12-14,18642696.79,520734,43140.0,319772,10798.0,35.8,608442.2100000009,30935.0,1734.0,20137.0
2017-12-15,19103173.27,543764,44550.0,334483,8319.0,35.13,460476.48000000045,23030.0,1410.0,14711.0
2017-12-16,20154520.15,570959,45971.0,353264,8414.0,35.3,1051346.879999999,27195.0,1421.0,18781.0
2017-12-17,20825134.62,592114,47178.0,367064,7355.0,35.17,670614.4700000025,21155.0,1207.0,13800.0
2017-12-18,21337256.73,611175,48429.0,378869,7256.0,34.91,512122.1099999994,19061.0,1251.0,11805.0
2017-12-19,21759847.87,625222,49098.0,388058,4858.0,34.8,422591.1400000006,14047.0,669.0,9189.0
2017-12-20,22685558.66,646005,50008.0,398204,10637.0,35.12,925710.7899999991,20783.0,910.0,10146.0
2017-12-21,23855008.94,661808,50835.0,408694,5313.0,36.05,1169450.2800000012,15803.0,827.0,10490.0
2017-12-22,25828464.11,678090,51500.0,421261,3715.0,38.09,1973455.169999998,16282.0,665.0,12567.0
2017-12-23,27973984.11,692687,52328.0,431856,4002.0,40.38,2145520.0,14597.0,828.0,10595.0
2017-12-24,29617165.13,705268,53054.0,440539,3898.0,41.99,1643181.0199999996,12581.0,726.0,8683.0
2017-12-25,31448628.59,715090,53466.0,447188,3173.0,43.98,1831463.460000001,9822.0,412.0,6649.0
2017-12-26,32434693.3,723036,53906.0,452144,2990.0,44.86,986064.7100000009,7946.0,440.0,4956.0
2017-12-27,33089254.52,732142,54421.0,457876,3374.0,45.2,654561.2199999988,9106.0,515.0,5732.0
2017-12-28,33477458.42,742121,54955.0,464468,3387.0,45.11,388203.90000000224,9979.0,534.0,6592.0
2017-12-29,33830493.57,750395,55474.0,469875,2867.0,45.08,353035.1499999985,8274.0,519.0,5407.0
2017-12-30,33959868.02,757036,55908.0,473753,2763.0,44.86,129374.45000000298,6641.0,434.0,3878.0
2017-12-31,34147673.8,763957,56279.0,478023,2651.0,44.7,187805.77999999374,6921.0,371.0,4270.0
2018-01-01,34291082.89,771543,56607.0,482719,2890.0,44.44,143409.09000000358,7586.0,328.0,4696.0
2018-01-02,34498430.87,778027,56996.0,486706,2497.0,44.34,207347.97999999672,6484.0,389.0,3987.0
2018-01-03,34632482.19,781635,57300.0,488865,1449.0,44.31,134051.3200000003,3608.0,304.0,2159.0
2018-01-04,34691174.96,784203,57506.0,490447,986.0,44.24,58692.77000000328,2568.0,206.0,1582.0
2018-01-05,34735324.31,786279,57666.0,491582,941.0,44.18,44149.35000000149,2076.0,160.0,1135.0
2018-01-06,34819737.98,789185,57957.0,493265,1223.0,44.12,84413.66999999434,2906.0,291.0,1683.0
2018-01-07,34884309.25,792379,58193.0,495203,1256.0,44.02,64571.27000000328,3194.0,236.0,1938.0
2018-01-08,34945278.4,794929,58456.0,496693,1060.0,43.96,60969.14999999851,2550.0,263.0,1490.0
2018-01-09,35001619.74,796695,58635.0,497772,687.0,43.93,56341.340000003576,1766.0,179.0,1079.0
2018-01-10,35054177.81,798021,58742.0,498604,494.0,43.93,52558.0700000003,1326.0,107.0,832.0
2018-01-11,35108922.94,800180,58897.0,499900,863.0,43.88,54745.12999999523,2159.0,155.0,1296.0
2018-01-12,35172985.72,802662,59125.0,501401,981.0,43.82,64062.78000000119,2482.0,228.0,1501.0
2018-01-13,35235666.85,805161,59329.0,503017,883.0,43.76,62681.13000000268,2499.0,204.0,1616.0
2018-01-14,35319071.12,807978,59559.0,504851,983.0,43.71,83404.26999999583,2817.0,230.0,1834.0
2018-01-15,35369172.82,809796,59682.0,505980,689.0,43.68,50101.70000000298,1818.0,123.0,1129.0
2018-01-16,35425802.95,811814,59815.0,507248,750.0,43.64,56630.13000000268,2018.0,133.0,1268.0
2018-01-17,35471906.69,814140,59955.0,508736,838.0,43.57,46103.739999994636,2326.0,140.0,1488.0
2018-01-18,35525826.1,816958,60184.0,510536,1018.0,43.49,53919.410000003874,2818.0,229.0,1800.0
2018-01-19,35609037.36,820075,60374.0,512584,1069.0,43.42,83211.25999999791,3117.0,190.0,2048.0
2018-01-20,35761029.42,823293,60564.0,514643,1159.0,43.44,151992.06000000238,3218.0,190.0,2059.0
2018-01-21,35825606.01,826380,60754.0,516548,1182.0,43.35,64576.589999996126,3087.0,190.0,1905.0
2018-01-22,35873852.44,829405,60884.0,518432,1141.0,43.25,48246.4299999997,3025.0,130.0,1884.0
2018-01-23,35918966.8,832292,61045.0,520171,1148.0,43.16,45114.359999999404,2887.0,161.0,1739.0
2018-01-24,35966866.9,834966,61230.0,521859,986.0,43.08,47900.10000000149,2674.0,185.0,1688.0
2018-01-25,36005075.65,837218,61322.0,523247,864.0,43.01,38208.75,2252.0,92.0,1388.0
2018-01-26,36054980.78,840037,61428.0,525084,982.0,42.92,49905.13000000268,2819.0,106.0,1837.0
2018-01-27,36108948.46,843177,61674.0,527110,1114.0,42.82,53967.6799999997,3140.0,246.0,2026.0
2018-01-28,36178999.59,845838,61770.0,528738,1033.0,42.77,70051.13000000268,2661.0,96.0,1628.0
2018-01-29,36224013.71,848312,61902.0,530220,992.0,42.7,45014.11999999732,2474.0,132.0,1482.0
2018-01-30,36280232.14,851300,62021.0,532199,1009.0,42.62,56218.4299999997,2988.0,119.0,1979.0
2018-01-31,36377394.93,854158,62143.0,534119,938.0,42.59,97162.7899999991,2858.0,122.0,1920.0
2018-02-01,36411290.84,856234,62205.0,535528,667.0,42.52,33895.910000003874,2076.0,62.0,1409.0
2018-02-02,36454311.58,858730,62277.0,537143,881.0,42.45,43020.739999994636,2496.0,72.0,1615.0
2018-02-03,36490463.98,861027,62354.0,538599,841.0,42.38,36152.39999999851,2297.0,77.0,1456.0
2018-02-04,36522165.46,863077,62460.0,539918,731.0,42.32,31701.480000004172,2050.0,106.0,1319.0
2018-02-05,36552761.96,865462,62549.0,541282,1021.0,42.23,30596.5,2385.0,89.0,1364.0
2018-02-06,36588330.74,868797,62683.0,543485,1132.0,42.11,35568.78000000119,3335.0,134.0,2203.0
2018-02-07,36626897.15,871696,62817.0,545328,1056.0,42.02,38566.409999996424,2899.0,134.0,1843.0
2018-02-08,36661012.1,874456,63002.0,547021,1067.0,41.92,34114.95000000298,2760.0,185.0,1693.0
2018-02-09,36711769.75,877287,63134.0,548700,1152.0,41.85,50757.64999999851,2831.0,132.0,1679.0
2018-02-10,36778217.36,879405,63218.0,549939,879.0,41.82,66447.6099999994,2118.0,84.0,1239.0
2018-02-11,36843863.43,882831,63315.0,551970,1395.0,41.73,65646.0700000003,3426.0,97.0,2031.0
2018-02-12,36902875.03,886072,63461.0,553988,1223.0,41.65,59011.60000000149,3241.0,146.0,2018.0
2018-02-13,36997175.64,889794,63586.0,556184,1526.0,41.58,94300.6099999994,3722.0,125.0,2196.0
2018-02-14,37421930.61,895443,63757.0,558987,2846.0,41.79,424754.9699999988,5649.0,171.0,2803.0
2018-02-15,38150353.8,901843,63928.0,562525,2862.0,42.3,728423.1899999976,6400.0,171.0,3538.0
2018-02-16,38312014.95,907316,64113.0,566251,1747.0,42.23,161661.15000000596,5473.0,185.0,3726.0
2018-02-17,38474454.33,911557,64220.0,568978,1514.0,42.21,162439.37999999523,4241.0,107.0,2727.0
2018-02-18,38646955.74,915987,64321.0,571537,1871.0,42.19,172501.41000000387,4430.0,101.0,2559.0
2018-02-19,38865079.53,921004,64479.0,574681,1873.0,42.2,218123.7899999991,5017.0,158.0,3144.0
2018-02-20,39108216.34,925553,64585.0,577841,1389.0,42.25,243136.81000000238,4549.0,106.0,3160.0
2018-02-21,39197679.55,929585,64718.0,580658,1215.0,42.17,89463.20999999344,4032.0,133.0,2817.0
2018-02-22,39280069.24,933459,64827.0,583379,1153.0,42.08,82389.69000000507,3874.0,109.0,2721.0
2018-02-23,39403752.6,937866,64946.0,586368,1418.0,42.01,123683.3599999994,4407.0,119.0,2989.0
2018-02-24,39568601.89,946458,65092.0,592784,2176.0,41.81,164849.2899999991,8592.0,146.0,6416.0
2018-02-25,39692536.14,955593,65188.0,600219,1700.0,41.54,123934.25,9135.0,96.0,7435.0
2018-02-26,39827268.39,962305,65255.0,605336,1595.0,41.39,134732.25,6712.0,67.0,5117.0
2018-02-27,39994479.43,970876,65440.0,611514,2393.0,41.19,167211.0399999991,8571.0,185.0,6178.0
2018-02-28,40121637.55,978594,65503.0,617639,1593.0,41.0,127158.11999999732,7718.0,63.0,6125.0
2018-03-01,40215192.78,984556,65618.0,622159,1442.0,40.85,93555.23000000417,5962.0,115.0,4520.0
2018-03-02,40294542.82,988912,65698.0,625310,1205.0,40.75,79350.0399999991,4356.0,80.0,3151.0
2018-03-03,40379612.46,993402,65742.0,628562,1238.0,40.65,85069.6400000006,4490.0,44.0,3252.0
2018-03-04,40599523.45,998568,66006.0,632443,1285.0,40.66,219910.9900000021,5166.0,264.0,3881.0
2018-03-05,40731039.49,1002938,66164.0,635853,960.0,40.61,131516.0399999991,4370.0,158.0,3410.0
2018-03-06,40849981.42,1006715,66317.0,638341,1289.0,40.58,118941.9299999997,3777.0,153.0,2488.0
2018-03-07,41019899.53,1011809,66433.0,641599,1836.0,40.54,169918.1099999994,5094.0,116.0,3258.0
2018-03-08,41119082.27,1018390,66582.0,646514,1666.0,40.38,99182.74000000209,6581.0,149.0,4915.0
2018-03-09,41210586.06,1024503,66782.0,651301,1326.0,40.22,91503.7899999991,6113.0,200.0,4787.0
2018-03-10,41306949.95,1033580,66893.0,659318,1060.0,39.96,96363.8900000006,9077.0,111.0,8017.0
2018-03-11,41370259.02,1037647,66979.0,662339,1046.0,39.87,63309.0700000003,4067.0,86.0,3021.0
2018-03-12,41439542.0,1042481,67081.0,665420,1753.0,39.75,69282.97999999672,4834.0,102.0,3081.0
2018-03-13,41503386.54,1046239,67196.0,668235,943.0,39.67,63844.539999999106,3758.0,115.0,2815.0
2018-03-14,41560554.66,1050690,67332.0,671418,1268.0,39.56,57168.11999999732,4451.0,136.0,3183.0
2018-03-15,41601361.16,1054626,67433.0,674319,1035.0,39.45,40806.5,3936.0,101.0,2901.0
2018-03-16,41649611.3,1057755,67542.0,676508,940.0,39.38,48250.140000000596,3129.0,109.0,2189.0
2018-03-17,41701763.76,1061521,67658.0,679330,944.0,39.28,52152.460000000894,3766.0,116.0,2822.0
2018-03-18,41741568.12,1064345,67720.0,681401,753.0,39.22,39804.359999999404,2824.0,62.0,2071.0
2018-03-19,41793974.97,1067472,67857.0,683677,851.0,39.15,52406.85000000149,3127.0,137.0,2276.0
2018-03-20,42009633.39,1070533,68064.0,685598,1140.0,39.24,215658.4200000018,3061.0,207.0,1921.0
2018-03-21,42269558.93,1073914,68361.0,687567,1412.0,39.36,259925.5399999991,3381.0,297.0,1969.0
