Date;PKod;Pgroup;Pname;Pquantity;pce_zn;pwa_zn;pce_sn;pwa_sn;pce_sb;pwa_sb;pudzsb;pmarza;pmarzajedn;pkwmarza;pudzmarza
01.01.2018;2913;DAIRY_CHESSE;BAKOMA GRECKI 180GR;9;1,63;14,67;2,03;18,31;2,13;19,21;0,02;19,88;0,4;3,64;0,04
01.01.2018;15795;DAIRY_CHESSE;BAKOMA OLEJ RZEPAKOWY;9;4,44;39,96;5,61;50,49;5,89;53,01;0,06;20,86;1,17;10,53;0,11
01.01.2018;6467;DAIRY_CHESSE;BAKOMA POLSKIE SMAKI  WISNIA 120 G;5;0,6;3;0,48;2,38;0,5;2,49;0;-26,05;-0,12;-0,62;-0,01
01.01.2018;2914;DAIRY_CHESSE;BAKOMA POLSKIE SMAKI130GR TRUSK;8;0,76;6,08;0,8;6,4;0,84;6,74;0,01;5;0,04;0,32;0
01.01.2018;19287;DAIRY_CHESSE;BAKOMA PREMIUM 150 G BRZOS+MARAKUJ;6;1,43;8,58;1,61;9,66;1,69;10,14;0,01;11,18;0,18;1,08;0,01
01.01.2018;8152;DAIRY_CHESSE;BAKOMA SATINA  KARMEL 170 G;7;1,18;8,26;1,06;7,43;1,15;8,02;0,01;-11,17;-0,12;-0,83;-0,01
01.01.2018;12150;DAIRY_CHESSE;BAKOMA SATINA CZEKOL.170 G;13;1,18;15,34;1,47;19,06;1,58;20,57;0,02;19,52;0,29;3,72;0,04
01.01.2018;8554;DAIRY_CHESSE;BAKOMA SATINA WANILIA 170 G;3;1,18;3,54;1,43;4,28;1,54;4,62;0,01;17,29;0,25;0,74;0,01
01.01.2018;8681;DAIRY_CHESSE;BAKOMA SEREK BAKUS WANILIA;8;1,18;9,44;1,61;12,88;1,69;13,52;0,02;26,71;0,43;3,44;0,04
01.01.2018;7625;DAIRY_CHESSE;BAKOMA SMIETANKA 10 SZT;5;1,48;7,4;1,9;9,5;1,99;9,95;0,01;22,11;0,42;2,1;0,02
01.01.2018;12320;DAIRY_CHESSE;BAKOMA TWIST  400G BRZOS;2;2,31;4,62;1,48;2,96;1,55;3,1;0;-56,08;-0,83;-1,66;-0,02
01.01.2018;7435;DAIRY_CHESSE;BAKOMA TWIST 250 G TRUSKAWKA;6;1,72;10,32;2,22;13,29;2,33;13,95;0,02;22,35;0,5;2,97;0,03
01.01.2018;1088;GENERAL_FOOD;BAKOMA TWIST 400 G ZURAWIN;6;2,42;14,52;2,28;13,68;2,39;14,36;0,02;-6,14;-0,14;-0,84;-0,01
01.01.2018;16645;ICE_CREAMS_FROZEN;BARSZCZ UKRAINSKI 450G NORDIS;1;1,97;1,97;2,85;2,85;2,99;2,99;0;30,88;0,88;0,88;0,01
01.01.2018;6580;GENERAL;BATERIA 44 R3 MAXELL;21;0,96;20,16;1,18;24,78;1,45;30,45;0,03;18,64;0,22;4,62;0,05
01.01.2018;6208;OCCASIONAL;BATERIA AA WARTA R6 1 SZT;4;0,96;3,84;1,46;5,84;1,79;7,16;0,01;34,25;0,5;2;0,02
01.01.2018;2560;CHEMISTRY;BATERIA GP PLASKA 3R12 4_5V  312GR;1;2,71;2,71;4,25;4,25;5,23;5,23;0,01;36,24;1,54;1,54;0,02
01.01.2018;5156;CHEMISTRY;BATERIA R6 AA;44;0,78;34,32;1,28;56,12;1,57;69,17;0,08;38,85;0,5;21,8;0,23
01.01.2018;18200;OCCASIONAL;BATERIA VARTA LR3 LONGLIFE 1 SZT;6;0,93;5,58;1,46;8,76;1,79;10,74;0,01;36,3;0,53;3,18;0,03
01.01.2018;17409;OCCASIONAL;BATERIE ALKAICZ  LR 3;4;0,93;3,72;1,48;5,92;1,82;7,28;0,01;37,16;0,55;2,2;0,02
01.01.2018;17408;OCCASIONAL;BATERIE ALKAICZ R6;31;0,93;28,83;1,46;45,26;1,79;55,49;0,06;36,3;0,53;16,43;0,17
01.01.2018;5429;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;BATON 3BIT 46/51 G;30;0,92;27,6;1,5;45;1,85;55,5;0,06;38,67;0,58;17,4;0,18
01.01.2018;9462;SWEETS;BATON 7DAYS KAKAO W POLEWIE;3;0,55;1,65;0,97;2,91;1,19;3,57;0;43,3;0,42;1,26;0,01
01.01.2018;1413;SWEETS;BATON BOUNTY 57G;12;1,49;17,88;2,19;26,28;2,69;32,28;0,04;31,96;0,7;8,4;0,09
01.01.2018;8424;DAIRY_CHESSE;BATON FITELLA 25 G;3;1,07;3,21;1,51;4,53;1,59;4,77;0,01;29,14;0,44;1,32;0,01
01.01.2018;19717;SWEETS;BATON IKAR XXL WAWEL;18;1,09;19,62;1,62;29,16;1,99;35,82;0,04;32,72;0,53;9,54;0,1
01.01.2018;2738;SWEETS;BATON KINDER BUENO 43G;27;1,81;48,87;2,43;65,61;2,99;80,73;0,09;25,51;0,62;16,74;0,17
01.01.2018;7983;DRINK_JUICE;BATON KINDER DELIC 39 G;3;1,5;4,5;2,59;7,77;2,72;8,16;0,01;42,08;1,09;3,27;0,03
01.01.2018;16546;DAIRY_CHESSE;BATON KINDER MAXI KING Z KARMELEM 35G;9;1,69;15,21;2,09;18,81;2,57;23,13;0,03;19,14;0,4;3,6;0,04
01.01.2018;10008;SWEETS;BATON KNOPERS 25G;9;0,84;7,56;1,26;11,34;1,55;13,95;0,02;33,33;0,42;3,78;0,04
01.01.2018;2262;SWEETS;BATON LION 40 G PEANUT;3;0,86;2,58;1,21;3,63;1,49;4,47;0,01;28,93;0,35;1,05;0,01
01.01.2018;840;SWEETS;BATON MACIEK XXL WAWEL  ADWOKAT;10;1,09;10,9;1,62;16,2;1,99;19,9;0,02;32,72;0,53;5,3;0,05
01.01.2018;7353;SWEETS;BATON MARS 51 G;12;1,04;12,48;1,54;18,48;1,89;22,68;0,03;32,47;0,5;6;0,06
01.01.2018;13984;SWEETS;BATON MILKI WAY PODWÓJNY;15;1,2;18;1,86;27,9;2,29;34,35;0,04;35,48;0,66;9,9;0,1
01.01.2018;15504;SWEETS;BATON MILKY WAY 21 5;22;0,6;13,2;0,8;17,6;0,99;21,78;0,02;25;0,2;4,4;0,05
01.01.2018;6782;SWEETS;BATON NESQUIK DELIC 25 G;6;0,92;5,52;1,32;7,92;1,39;8,34;0,01;30,3;0,4;2,4;0,02
01.01.2018;7200;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;BATON NUTELLA 2 SZT;2;2,13;4,26;3;6;3,69;7,38;0,01;29;0,87;1,74;0,02
01.01.2018;8425;SWEETS;BATON PIEROT WEDEL 45GR;3;1,12;3,36;1,62;4,86;1,99;5,97;0,01;30,86;0,5;1,5;0,02
01.01.2018;5838;SWEETS;BATON SNICKERS 50 G;11;1,04;11,44;1,46;16,06;1,79;19,69;0,02;28,77;0,42;4,62;0,05
01.01.2018;15436;SWEETS;BATON TWIX 56 G;9;0,96;8,64;1,44;12,96;1,77;15,93;0,02;33,33;0,48;4,32;0,04
01.01.2018;8517;SWEETS;BATONIK MUU 29 G;2;0,52;1,04;0,87;1,74;1,07;2,14;0;40,23;0,35;0,7;0,01
01.01.2018;8518;SWEETS;BATONIK POWER 30 G;1;0,66;0,66;0,89;0,89;1,09;1,09;0;25,84;0,23;0,23;0
01.01.2018;9572;SPICES;BAZYLIA PRYMAT;3;0,96;2,88;1,13;3,39;1,39;4,17;0;15,04;0,17;0,51;0,01
01.01.2018;8771;DISHES_FOR_CHILDREN;BEBIKO 1;2;15,34;30,68;20,36;40,72;21,99;43,98;0,05;24,66;5,02;10,04;0,1
01.01.2018;3646;ART._HYGIENIC;BELLA HERBS 12 Z WERBENA;1;2,39;2,39;3,6;3,6;3,89;3,89;0;33,61;1,21;1,21;0,01
01.01.2018;6436;CHEMISTRY;BELLA PATYCZKI 100 SZT FOLIA;2;0,72;1,44;1,67;3,34;1,8;3,6;0;56,89;0,95;1,9;0,02
01.01.2018;17047;CHEMISTRY;BELLA PODPASKI  MAX GREEN;2;2,85;5,7;4,53;9,06;4,89;9,78;0,01;37,09;1,68;3,36;0,03
01.01.2018;17048;ART._HYGIENIC;BELLA PODPASKI BLUE MAX;2;2,85;5,7;4,53;9,06;4,89;9,78;0,01;37,09;1,68;3,36;0,03
01.01.2018;41;ART._HYGIENIC;BELLA PODPASKI NORMAL 20 B/SKRZYD;2;1,76;3,52;2,49;4,98;2,69;5,38;0,01;29,32;0,73;1,46;0,02
01.01.2018;55;ART._HYGIENIC;BELLA PODPASKI NORMAL MAXI 10;4;2,14;8,56;3,23;12,92;3,49;13,97;0,02;33,75;1,09;4,36;0,05
01.01.2018;54;ART._HYGIENIC;BELLA PODPASKI NOVA MAXI 10;1;2,66;2,66;1,85;1,85;2;2;0;-43,78;-0,81;-0,81;-0,01
01.01.2018;2155;ART._HYGIENIC;BELLA PODPASKI PERF.BLUE 10;1;2,85;2,85;4,53;4,53;4,89;4,89;0,01;37,09;1,68;1,68;0,02
01.01.2018;3913;GENERAL;BERLISO 180 G +20 G CZEKOL;6;1,21;7,26;1,75;10,5;1,89;11,34;0,01;30,86;0,54;3,24;0,03
01.01.2018;3914;GENERAL;BERLISO 180 G+20G TRUSKA;17;1,53;25,97;1,53;26,03;1,65;28,1;0,03;0,23;0;0,06;0
01.01.2018;5333;CHEMISTRY;BIALY JELEN SZAMPON 300 ML;1;4,99;4,99;6,66;6,66;8,19;8,19;0,01;25,08;1,67;1,67;0,02
01.01.2018;6703;ARTICLE_OF_HOUSEHOLD;BIBULA KOLOR;2;0,75;1,5;1,08;2,16;1,33;2,66;0;30,56;0,33;0,66;0,01
01.01.2018;7512;COFFEE TEA;BISZKOPTY 120 G MLYNY POLSKIE;2;3,25;6,5;4,17;8,34;5,13;10,26;0,01;22,06;0,92;1,84;0,02
01.01.2018;3471;SWEETS;BISZKOPTY WROCLAWSKIE 120G;3;1,68;5,04;2,56;7,68;3,15;9,45;0,01;34,38;0,88;2,64;0,03
01.01.2018;1835;CIGARETTES;BLOK RYSUNKOWY KOLOR;1;1,22;1,22;1,97;1,97;2,42;2,42;0;38,07;0,75;0,75;0,01
01.01.2018;5811;OCCASIONAL;BLOK TECHNICZNY A4;1;0,84;0,84;1,29;1,29;1,59;1,59;0;34,88;0,45;0,45;0
01.01.2018;18282;CHEMISTRY;BLOK TECHNICZNY KOLOR;3;1,24;3,72;2;6;2,46;7,38;0,01;38;0,76;2,28;0,02
01.01.2018;15115;DISHES_FOR_CHILDREN;BOBOVITA KASZKA MLECZ/RYZ TRUSKAWKI;1;6,93;6,93;9,5;9,5;10,26;10,26;0,01;27,05;2,57;2,57;0,03
01.01.2018;2432;SWEETS;BOMB MERCI 250G;2;9,85;19,7;13,81;27,62;16,99;33,98;0,04;28,67;3,96;7,92;0,08
01.01.2018;17380;SWEETS;BOMB MERCI GREEN 250 G;1;9,85;9,85;13,81;13,81;16,99;16,99;0,02;28,67;3,96;3,96;0,04
01.01.2018;8560;SWEETS;BOMB MON CHERI 157_5 G;1;9,85;9,85;13,14;13,14;16,16;16,16;0,02;25,04;3,29;3,29;0,03
01.01.2018;6067;SWEETS;BOMB TOFFIFEE 250 G;1;10,87;10,87;15,44;15,44;18,99;18,99;0,02;29,6;4,57;4,57;0,05
01.01.2018;5603;SWEETS;BOMB.FIORELLA 140G;4;3,78;15,12;6,5;26;7,99;31,96;0,04;41,85;2,72;10,88;0,11
01.01.2018;8021;SWEETS;BOMBONIERA GALARE.W CZEKOL WISNIA 190 G;2;4,18;8,36;5,63;11,26;6,92;13,84;0,02;25,75;1,45;2,9;0,03
01.01.2018;1548;SWEETS;BOMBONIERA GALARETKA W CZEK 190 G;1;3,05;3,05;4,43;4,43;5,45;5,45;0,01;31,15;1,38;1,38;0,01
01.01.2018;1550;COOKIES_BULK;BOMBONIERA GALARETKS POM.190 G W CZEK;1;4,18;4,18;5,63;5,63;6,92;6,92;0,01;25,75;1,45;1,45;0,01
01.01.2018;4759;SWEETS;BOMBONIERA IMPRESJA 207 G BARON;6;7,95;47,7;9,75;58,5;11,99;71,94;0,08;18,46;1,8;10,8;0,11
01.01.2018;7173;SWEETS;BOMBONIERA POMORZANKA 175 G CHOCO;2;4,85;9,7;6,41;12,82;7,89;15,78;0,02;24,34;1,56;3,12;0,03
01.01.2018;7364;SWEETS;BORSETO 7 DAYS Z OWOC.LESNYCH 80 G;1;1,21;1,21;1,62;1,62;1,99;1,99;0;25,31;0,41;0,41;0
01.01.2018;11597;CHEMISTRY;BREF 4-FORMULA AKTIV;3;2,89;8,67;3,32;9,95;4,08;12,23;0,01;12,86;0,43;1,28;0,01
01.01.2018;11596;CHEMISTRY;BREF 4-FORMULA LEMON;9;2,65;23,85;4,06;36,54;4,99;44,91;0,05;34,73;1,41;12,69;0,13
01.01.2018;4122;CHEMISTRY;BREF KULKI BLU AKTIV;1;2,65;2,65;4,06;4,06;4,99;4,99;0,01;34,73;1,41;1,41;0,01
01.01.2018;2498;VODKA_ALCOHOL;BRENDY SLONTSCHEW 0_5L 36 VOL;1;16,28;16,28;20,1;20,1;24,72;24,72;0,03;19;3,82;3,82;0,04
01.01.2018;6766;ICE_CREAMS_FROZEN;BROKUL MROZONY 450 G;2;3,49;6,98;4,66;9,32;4,89;9,78;0,01;25,11;1,17;2,34;0,02
01.01.2018;44;ICE_CREAMS_FROZEN;BROKULY MROZONE 450 GR MORDIS;3;4,58;13,74;5,7;17,1;5,99;17,97;0,02;19,65;1,12;3,36;0,03
01.01.2018;4388;ICE_CREAMS_FROZEN;BRUKSELKA 450 G;2;3,67;7,34;5,32;10,64;5,59;11,18;0,01;31,02;1,65;3,3;0,03
01.01.2018;1437;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;BRYKIET WEGLA 2_5;1;5,57;5,57;3,66;3,66;4,5;4,5;0,01;-52,19;-1,91;-1,91;-0,02
01.01.2018;496;CANNED_PATE;BRZOSKWINIE SANDRA 820G;9;3,77;33,93;5,55;49,95;5,99;53,91;0,06;32,07;1,78;16,02;0,17
01.01.2018;8064;SWEETS;BUBLE GUM ROLL;3;1,97;5,91;2,84;8,52;3,49;10,47;0,01;30,63;0,87;2,61;0,03
01.01.2018;7401;GENERAL_FOOD;BUDYN CZEKOLADOWY DELECTA 64 G;1;0,84;0,84;1,13;1,13;1,22;1,22;0;25,66;0,29;0,29;0
01.01.2018;17382;ICE_CREAMS_FROZEN;BUKIET KROLEWSKI 450G NORDIS;6;1,99;11,94;3,8;22,8;3,99;23,94;0,03;47,63;1,81;10,86;0,11
01.01.2018;19595;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;BULION KNORR GRZYBOWY (3L)60G KOSTKI;2;1,87;3,74;2,77;5,54;2,99;5,98;0,01;32,49;0,9;1,8;0,02
01.01.2018;8934;BREAD;BULKA MALA/KAJZERKA__;2499;0,52;1306,5;0,61;1519,79;0,64;1594,69;1,79;14,03;0,09;213,29;2,21
01.01.2018;5864;BREAD;BULKA MASLANA MALA1;191;0,5;95,5;0,66;125,17;0,69;130,9;0,15;23,7;0,16;29,67;0,31
01.01.2018;6516;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;BULKA TARTA MAMUT 450 G;9;1,87;16,83;2,34;21,06;2,46;22,14;0,02;20,09;0,47;4,23;0,04
01.01.2018;18848;GENERAL_FOOD;BURACZKI WIORKI 360 G SLON.OGRÓD;3;1,48;4,44;2,26;6,78;2,44;7,32;0,01;34,51;0,78;2,34;0,02
01.01.2018;15434;ICE_CREAMS_FROZEN;BURGERY Z WARZYWAMI LUZ RYBNE;1,15;5,76;6,6;7,84;8,98;8,24;9,43;0,01;26,5;2,08;2,38;0,02
01.01.2018;15291;PACKAGES;BUTELKA-0_33;22;0,42;9,24;0,43;9,46;0,53;11,66;0,01;2,33;0,01;0,22;0
01.01.2018;8221;BREAD;C BAGIETKA;33;2,5;82,5;2,85;94,21;3;98,89;0,11;12,43;0,35;11,71;0,12
01.01.2018;3450;BREAD;C BULKA GRAHAMKA/ALPEJSKA;198;0,72;141,84;0,78;154,51;0,82;162,39;0,18;8,2;0,06;12,67;0,13
01.01.2018;7780;BREAD;C BULKA SEROWA;232;0,72;168,12;0,94;218,08;0,99;229,68;0,26;22,91;0,22;49,96;0,52
01.01.2018;13830;BREAD;C BULKA TARTA 0_5KG;30;1,57;47,1;1,84;55,16;1,93;57,9;0,06;14,61;0,27;8,06;0,08
01.01.2018;18718;BREAD;C CHLEB DWORSKI;14;2,48;34,72;3,04;42,56;3,19;44,66;0,05;18,42;0,56;7,84;0,08
01.01.2018;3;BREAD;C CHLEB KROJONY 0_6 KG;411;2,58;1061,14;2,87;1180,32;3,01;1238,52;1,39;10,1;0,29;119,18;1,23
01.01.2018;9077;BREAD;C CHLEB KROJONY 0_9 KG;45;4,19;188,34;4,65;209,09;4,88;219,64;0,25;9,92;0,46;20,75;0,21
01.01.2018;7640;BREAD;C CHLEB KROJONY 250G;49;1,29;63,24;1,46;71,4;1,53;74,96;0,08;11,43;0,17;8,16;0,08
01.01.2018;4;BREAD;C CHLEB MAZOWIECKI 600G_;48;1,94;93,3;2,25;108;2,36;113,4;0,13;13,61;0,31;14,7;0,15
01.01.2018;7103;BREAD;C CHLEB RAZOWY 1KG;8;3,5;28;3,99;31,88;4,19;33,52;0,04;12,17;0,49;3,88;0,04
01.01.2018;10822;BREAD;C CHLEB TOSTOWY 0_3;6;2,48;14,88;3,04;18,24;3,19;19,14;0,02;18,42;0,56;3,36;0,03
01.01.2018;9166;BREAD;C CHLEB WIEJSKI 0.6;42,5;2,57;109,29;2,91;123,67;3,05;129,8;0,15;11,63;0,34;14,38;0,15
01.01.2018;4224;BREAD;C CHLEB ZIARNISTY 300G;44;2,55;112,1;2,79;122,86;2,93;129,12;0,14;8,76;0,24;10,76;0,11
01.01.2018;12396;GENERAL_FOOD;C PYZY CIAZYNSKI;46;3,31;152,26;4,02;185,06;4,22;194,34;0,22;17,72;0,71;32,8;0,34
01.01.2018;2381;COFFEE TEA;CAPPUCCINO WANILIA MOKATE 110GR;2;2,09;4,18;3;6;3,69;7,38;0,01;30,33;0,91;1,82;0,02
01.01.2018;17706;DRINK_JUICE;CAPPY  1 L JAB?KO;1;3,28;3,28;2,34;2,34;2,46;2,46;0;-40,17;-0,94;-0,94;-0,01
01.01.2018;15363;DRINK_JUICE;CAPPY MULTIWITAMIN 1 L;2;4,22;8,44;5,7;11,4;5,99;11,98;0,01;25,96;1,48;2,96;0,03
01.01.2018;8632;GENERAL_FOOD;CHEETOS MIX 70 G;2;2,29;4,58;3,04;6,08;3,19;6,38;0,01;24,67;0,75;1,5;0,02
01.01.2018;3441;CHIPS_FLAKES;CHETOS MINIONKI 80 G;4;2,12;8,48;2,72;10,88;2,86;11,44;0,01;22,06;0,6;2,4;0,02
01.01.2018;8520;CHIPS_FLAKES;CHETOS UP 16 G;6;0,65;3,9;0,87;5,22;0,91;5,46;0,01;25,29;0,22;1,32;0,01
01.01.2018;7620;CHIPS_FLAKES;CHIPSY LAY`S FROMAGE 40G;4;0,99;3,96;0,81;3,24;0,87;3,49;0;-22,22;-0,18;-0,72;-0,01
01.01.2018;8562;BREAD;CHLEB .TOST XXL 750 G...;2;4,64;9,28;6,63;13,26;6,96;13,92;0,02;30,02;1,99;3,98;0,04
01.01.2018;4492;GENERAL_FOOD;CHLEB RAZOWY 500G BENUS;4;2,78;11,12;4,06;16,24;4,39;17,56;0,02;31,53;1,28;5,12;0,05
01.01.2018;384;GENERAL_FOOD;CHLEB ZYTNI 500G BENUS;4;2,78;11,12;3,56;14,22;3,84;15,37;0,02;21,8;0,78;3,1;0,03
01.01.2018;10889;SWEETS;CHRUPKI KUKUR. CELKA 70GR OPAK 25 SZT;89;0,75;66,75;1,01;89,89;1,09;97,01;0,11;25,74;0,26;23,14;0,24
01.01.2018;796;DAIRY_CHESSE;CHRUPKI KUKURYDZIANE  60 G;27;1,24;33,42;1,99;53,73;2,09;56,43;0,06;37,8;0,75;20,31;0,21
01.01.2018;7844;SWEETS;CHRUPKI KUKURYDZIANE OWOCOWE 80 G;2;1,78;3,56;2,43;4,86;2,55;5,1;0,01;26,75;0,65;1,3;0,01
01.01.2018;5647;CHIPS_FLAKES;CHRUPKI OWOCE 45 G;21;0,89;18,69;1,23;25,83;1,29;27,09;0,03;27,64;0,34;7,14;0,07
01.01.2018;8432;CHIPS_FLAKES;CHRUPKI STAR HYPER PIZZA 58G;5;1,11;5,55;1,57;7,85;1,65;8,25;0,01;29,3;0,46;2,3;0,02
01.01.2018;8501;SWEETS;CHRUPKI STAR ORZECH  58 G;11;1,11;12,21;1,61;17,71;1,69;18,59;0,02;31,06;0,5;5,5;0,06
01.01.2018;5736;CHIPS_FLAKES;CHRUPKI TRUSKAWKOWE 80 G;7;1,24;8,68;1,79;12,53;1,88;13,16;0,01;30,73;0,55;3,85;0,04
01.01.2018;17562;COOKIES_BULK;CHRUSCIKI /PACZKI LUZ;1,79;14;24,99;15,6;27,85;16,87;30,11;0,03;10,27;1,6;2,86;0,03
01.01.2018;4530;SWEETS;CHRUSCIKI/CIASTA ROZNE KG;16,39;21,73;356,15;22,4;367,04;24,19;396,44;0,44;2,97;0,66;10,89;0,11
01.01.2018;17064;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;CHRZAN DYMECKI 200G;10;1,71;17,1;2,2;22;2,38;23,8;0,03;22,27;0,49;4,9;0,05
