Date;zn;sb;tax;marza
15.05.2018;2572,72;3600,05;448,35;578,98
16.05.2018;2134,15;3057,95;388,67;535,13
17.05.2018;2206,26;3136,34;368,16;561,92
18.05.2018;2796,9;3972,59;506,36;669,33
19.05.2018;3171,72;4592,7;593,77;827,21
20.05.2018;1924,62;2846,19;414,54;507,03
21.05.2018;2155,06;3066,76;369,2;542,5
22.05.2018;2279,34;3247,53;389,74;578,45
23.05.2018;2243,79;3224,31;392,65;587,87
24.05.2018;2374,4;3546,75;426,2;746,15
25.05.2018;3176,8;4594,62;601,71;816,11
26.05.2018;3668,88;5376,94;676,28;1031,78
27.05.2018;1661,09;2481,94;340,8;480,05
28.05.2018;2304,97;3343,22;403,57;634,68
29.05.2018;2309,83;3363,99;395,26;658,9
30.05.2018;3299,84;4816,34;565,64;950,86
31.05.2018;763,98;1156,74;161,04;231,72
01.06.2018;2931,78;4242,5;536,59;774,13
02.06.2018;3151,48;4620,12;590,84;877,8
03.06.2018;1739,99;2593,42;375,01;478,42
04.06.2018;2610,38;3765,55;452,13;703,04
05.06.2018;2456,68;3460,19;406,81;596,7
06.06.2018;2346,8;3385,85;416,78;622,27
07.06.2018;2499,38;3604,16;440,65;664,13
08.06.2018;3227,08;4675,58;619,82;828,68
09.06.2018;3600,32;5262,52;674,14;988,06
10.06.2018;3390,38;5130,45;726,15;1013,92
11.06.2018;2471,04;3539,22;433,73;634,45
12.06.2018;2602,16;3711,85;470,8;638,89
13.06.2018;2053,7;2965,53;358,07;553,76
14.06.2018;2130,8;3119,54;382,58;606,16
15.06.2018;2771,93;4103,49;523,66;807,9
16.06.2018;2945,48;4229,39;512,19;771,72
17.06.2018;2095,73;3160,66;441,86;623,07
18.06.2018;2272,01;3341,68;403,27;666,4
19.06.2018;2458,85;3623,95;486,51;678,59
20.06.2018;2385,43;3526;456,41;684,16
21.06.2018;2363,67;3451,19;435,07;652,45
22.06.2018;2325,17;3381,43;434,98;621,28
23.06.2018;2858,51;4217,88;518,44;840,93
24.06.2018;1514,97;2174,69;300,67;359,05
25.06.2018;1967,53;2854,01;354,29;532,19
26.06.2018;2086,99;2974,26;380,03;507,24
27.06.2018;1922,46;2815,55;370,95;522,14
28.06.2018;2209,21;3193,45;399,98;584,26
29.06.2018;2515,12;3643,1;487,49;640,49
30.06.2018;2621,42;3828,72;451,25;756,05
01.07.2018;1746,11;2535,69;357,06;432,52
02.07.2018;2060,12;2987,92;376,25;551,55
03.07.2018;2428,49;3521,41;448,23;644,69
04.07.2018;2272,81;3361,07;420,52;667,74
05.07.2018;2421,16;3551,39;447,86;682,37
06.07.2018;3551,66;5121,74;697,61;872,47
07.07.2018;2675,52;3839;447,68;715,8
08.07.2018;2734,41;4074,55;573,91;766,23
09.07.2018;2502,09;3692,62;461,95;728,58
10.07.2018;2503,71;3646,83;459,97;683,15
11.07.2018;2357,85;3398,34;429,69;610,8
12.07.2018;2242,68;3258,18;404,2;611,3
13.07.2018;2671,04;3901,68;482,14;748,5
14.07.2018;3198,92;4610,27;590,5;820,85
15.07.2018;2740,3;4137,27;588,76;808,21
16.07.2018;2814,59;4091,96;503,82;773,55
17.07.2018;2150,78;3097,02;385,54;560,7
18.07.2018;2352,53;3371,1;433,27;585,3
19.07.2018;2393,89;3534,77;435,04;705,84
20.07.2018;2468,72;3608,69;461,55;678,42
21.07.2018;3393,01;4969,58;633,47;943,1
22.07.2018;2652,09;3993,64;577,67;763,88
23.07.2018;2299,31;3373,93;422,77;651,85
24.07.2018;2471,11;3634,7;472,73;690,86
25.07.2018;2392,87;3516,46;449,94;673,65
26.07.2018;2599,44;3796,7;458,7;738,56
27.07.2018;2926,5;4259,75;563,05;770,2
28.07.2018;3158,79;4553,56;574,81;819,96
29.07.2018;1644,33;2424,9;352,73;427,84
30.07.2018;2714,87;3960,67;478,05;767,75
31.07.2018;2520,67;3660,78;455,72;684,39
01.08.2018;2791,15;4042,06;507,16;743,75
02.08.2018;2511,73;3655,72;456,17;687,82
03.08.2018;2720,45;3976,89;501,03;755,41
04.08.2018;3094,15;4487,57;566,45;826,97
05.08.2018;1769,36;2637,52;395,58;472,58
06.08.2018;2301,58;3353,16;413,72;637,86
07.08.2018;2496,23;3638,66;483,87;658,56
08.08.2018;2897,4;4215,63;528,47;789,76
09.08.2018;2973,99;4367,1;588,44;804,67
10.08.2018;2778,86;4022,66;513,12;730,68
11.08.2018;3322,23;4790,46;594,95;873,28
12.08.2018;2548,74;3743,66;533,15;661,77
13.08.2018;2741,25;3988,93;507,57;740,11
14.08.2018;3299,23;4720,66;567,7;853,73
15.08.2018;2401,6;3646,59;554,79;690,2
16.08.2018;2564,79;3761,71;487,72;709,2
17.08.2018;2967,91;4335,47;542,19;825,37
18.08.2018;3470,14;4987,51;637,03;880,34
19.08.2018;1526,14;2276,82;309,24;441,44
20.08.2018;2622,75;3826,15;486,64;716,76
21.08.2018;2500,06;3581,79;470,29;611,44
22.08.2018;2591,52;3669,52;483,03;594,97
23.08.2018;2554,52;3693,3;461,29;677,49
24.08.2018;2796,88;4093,35;515,51;780,96
25.08.2018;2925,97;4231,75;534,21;771,57
26.08.2018;1382,96;2077,27;285,67;408,64
27.08.2018;2222,27;3217,89;394,59;601,03
28.08.2018;2072,04;2991,56;372,37;547,15
29.08.2018;2445,48;3516,83;446,41;624,94
30.08.2018;2517,88;3546,53;450,95;577,7
31.08.2018;2963,33;4221,77;544,84;713,6
01.09.2018;3634,82;5325,8;736,87;954,11
02.09.2018;1771,04;2597,66;373,57;453,05
03.09.2018;2011,04;2920,77;367,42;542,31
04.09.2018;2402,65;3349,67;435,03;511,99
05.09.2018;2378,85;3381,15;437,49;564,81
06.09.2018;2293,25;3334,25;425,96;615,04
07.09.2018;2768,72;4009,1;528,87;711,51
08.09.2018;2942,11;4247,56;528,33;777,12
09.09.2018;2873,13;4348,09;600,19;874,77
10.09.2018;2519,61;3692,54;460,11;712,82
11.09.2018;2325,19;3279,01;400,51;553,31
12.09.2018;2343,45;3339,02;423,54;572,03
13.09.2018;2290,37;3316,48;413,77;612,34
14.09.2018;2890,19;4186,32;533,95;762,18
15.09.2018;3457,23;5016,97;657,01;902,73
16.09.2018;2529,44;3760,2;532,6;698,16
17.09.2018;2069,36;2969,54;387,81;512,37
18.09.2018;1858,5;2751,58;327,38;565,7
19.09.2018;2307,75;3391,42;440,72;642,95
20.09.2018;2311,63;3344,06;406,65;625,78
21.09.2018;2698,23;3975,31;506,65;770,43
22.09.2018;3585,85;5221,78;666,14;969,79
23.09.2018;2538,16;3779,01;537;703,85
24.09.2018;2334,82;3378,04;421,16;622,06
25.09.2018;1769,85;2564,17;317,7;476,62
26.09.2018;2146,14;3108,26;387,21;574,91
27.09.2018;2295,77;3367,39;407,72;663,9
28.09.2018;2826,1;4093,02;524,13;742,79
29.09.2018;2964,47;4328,54;532,89;831,18
30.09.2018;1428,14;2157,33;320,68;408,51
01.10.2018;2423,87;3522,07;446;652,2
02.10.2018;1849,28;2672,38;327,21;495,89
03.10.2018;2164,74;3184,2;397,12;622,34
04.10.2018;1936,18;2792,77;359,97;496,62
05.10.2018;2523,7;3635,61;474,16;637,75
06.10.2018;3018,1;4348,15;518,11;811,94
07.10.2018;1111,86;1690,06;239,31;338,89
08.10.2018;2064,21;3021,46;389,88;567,37
09.10.2018;2277,27;3376,6;409,23;690,1
10.10.2018;2248,83;3277,5;445,86;582,81
11.10.2018;2017,98;3017,56;367,63;631,95
12.10.2018;2260,05;3384,25;428,9;695,3
13.10.2018;3129,93;4622,21;589,55;902,73
14.10.2018;2294,71;3450,93;505,85;650,37
15.10.2018;2355,89;3461,83;454,21;651,73
16.10.2018;2315,31;3438,75;424,77;698,67
17.10.2018;1895,34;2793,44;360,43;537,67
18.10.2018;2089,61;3023,57;378,29;555,67
19.10.2018;2375,55;3492,8;444,6;672,65
20.10.2018;2960,63;4278,91;535,22;783,06
22.10.2018;2092,9;2969,41;357,78;518,73
23.10.2018;1767,11;2433,12;276,31;389,7
24.10.2018;2066,44;2927,23;351,31;509,48
25.10.2018;2079,79;3072,61;389,07;603,75
26.10.2018;2095,32;3057,1;389,87;571,91
27.10.2018;3262,43;4731,89;581,88;887,58
28.10.2018;1294,9;1900,04;287,28;317,86
29.10.2018;2108,23;2968,75;380,16;480,36
30.10.2018;2257,2;3238,31;396,84;584,27
31.10.2018;3591,39;5114,83;641,79;881,65
01.11.2018;396,81;584,31;83,55;103,95
02.11.2018;2510,2;3655,65;471,86;673,59
03.11.2018;2872,22;4158,62;540,12;746,28
04.11.2018;857,75;1268,72;177,51;233,46
05.11.2018;2107,2;3003,36;373,72;522,44
06.11.2018;2042,23;2916,4;356,26;517,91
07.11.2018;2007,41;2826,26;366,63;452,22
08.11.2018;2173,77;3092,87;371,16;547,94
09.11.2018;3019,66;4326,5;540,25;766,59
10.11.2018;3772,85;5364,4;602;989,55
11.11.2018;2283,47;3447,79;518,73;645,59
12.11.2018;2513,58;3793,4;508,21;771,61
13.11.2018;2027,45;2942,91;376,99;538,47
14.11.2018;2120,02;3076,3;382,09;574,19
15.11.2018;1982,82;2858,96;339,95;536,19
16.11.2018;2585,1;3773,14;488,28;699,76
17.11.2018;3240,54;4587,84;556,11;791,19
18.11.2018;1874,63;2828,14;398,24;555,27
19.11.2018;1808,6;2629,13;319,95;500,58
20.11.2018;1970,63;2863,28;350,31;542,34
21.11.2018;1737,11;2465,98;291,28;437,59
22.11.2018;1678,62;2461,44;310,26;472,56
23.11.2018;2658,45;3855,13;474,75;721,93
24.11.2018;3111,6;4534,47;552,28;870,59
25.11.2018;1125,63;1675,96;254,49;295,84
26.11.2018;1769,09;2608,07;318,37;520,61
27.11.2018;1785,25;2535,49;312,39;437,85
28.11.2018;2098;2980,55;360,53;522,02
29.11.2018;1924,46;2762,31;328,09;509,76
30.11.2018;2192,24;3187,18;432,26;562,68
01.12.2018;2838,86;3988,51;462,76;686,89
02.12.2018;1214,18;1852,31;263,78;374,35
03.12.2018;1878,76;2721,83;329,35;513,72
04.12.2018;1873,09;2696,48;333,31;490,08
05.12.2018;2157,09;3136,35;390,95;588,31
06.12.2018;2164,13;3200,47;393,56;642,78
07.12.2018;2250,3;3249,44;400;599,14
08.12.2018;2788,95;4058,28;469,97;799,36
09.12.2018;2330,93;3034,95;436,7;267,32
10.12.2018;2192,35;3207,43;391,19;623,89
11.12.2018;1980,57;2873,09;354,48;538,04
12.12.2018;1987,04;2838,57;334,38;517,15
13.12.2018;1881,58;2755,24;325,59;548,07
14.12.2018;2324,52;3325,41;410,45;590,44
15.12.2018;2538,05;3640,13;438,68;663,4
16.12.2018;1031,22;1512,84;211,67;269,95
17.12.2018;1970,52;2816,91;338,83;507,56
18.12.2018;2150,68;3108,87;374,85;583,34
19.12.2018;2437,73;3529,52;418,36;673,43
20.12.2018;2635,35;3770,3;446,82;688,13
21.12.2018;2757,31;3961,29;473,52;730,46
22.12.2018;4416,64;6426,81;734,23;1275,94
23.12.2018;2136,16;3134,6;415,48;582,96
24.12.2018;3807,9;5518,87;701,45;1009,52
;5414124,75;1218719,16;1220682,59;365027,61
