Symbol,Security,Sector,SubIndustry,Address,State
CINF,"Cincinnati Financial",Financials,"Property & Casualty Insurance",Fairfield,Ohio
CL,Colgate-Palmolive,"Consumer Staples","Household Products","New York","New York"
CLX,"The Clorox Company","Consumer Staples","Household Products",Oakland,California
CMA,"Comerica Inc.",Financials,Banks,Dallas,Texas
CMCSA,"Comcast A Corp","Consumer Discretionary","Broadcasting & Cable TV",Philadelphia,Pennsylvania
CMCSK,"Comcast Special Corp Class A","Consumer Discretionary","Broadcasting & Cable TV",Philadelphia,Pennsylvania
CME,"CME Group Inc.",Financials,"Diversified Financial Services",Chicago,Illinois
CMG,"Chipotle Mexican Grill","Consumer Discretionary",Restaurants,Denver,Colorado
CMI,"Cummins Inc.",Industrials,"Industrial Machinery",Columbus,Indiana
CMS,"CMS Energy",Utilities,MultiUtilities,Jackson,Michigan
CNP,"CenterPoint Energy",Utilities,MultiUtilities,Houston,Texas
CNX,"CONSOL Energy Inc.",Energy,"Coal & Consumable Fuels","Cecil Township",Pennsylvania
COF,"Capital One Financial",Financials,"Consumer Finance","Tysons Corner",Virginia
COG,"Cabot Oil & Gas",Energy,"Oil & Gas Exploration & Production",Houston,Texas
COH,"Coach Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York"
COL,"Rockwell Collins",Industrials,"Industrial Conglomerates","Cedar Rapids",Iowa
COP,ConocoPhillips,Energy,"Oil & Gas Exploration & Production",Houston,Texas
COST,"Costco Co.","Consumer Staples","Hypermarkets & Super Centers",Issaquah,Washington
CPB,"Campbell Soup","Consumer Staples","Packaged Foods & Meats",Camden,"New Jersey"
CPGX,"Columbia Pipeline Group Inc",Energy,"Oil & Gas Storage & Transportation",Houston,Texas
CRM,Salesforce.com,"Information Technology","Internet Software & Services","San Francisco",California
CSCO,"Cisco Systems","Information Technology","Networking Equipment","San Jose",California
CSRA,"CSRA Inc.","Information Technology","IT Consulting & Services","Falls Church",Virginia
CSX,"CSX Corp.",Industrials,Railroads,Jacksonville,Florida
CTAS,"Cintas Corporation",Industrials,"Diversified Support Services",Mason,Ohio
CTL,"CenturyLink Inc","Telecommunications Services","Integrated Telecommunications Services",Monroe,Louisiana
CTSH,"Cognizant Technology Solutions","Information Technology","IT Consulting & Services",Teaneck,"New Jersey"
CTXS,"Citrix Systems","Information Technology","Internet Software & Services","Fort Lauderdale",Florida
CVC,"Cablevision Systems Corp.","Consumer Discretionary","Broadcasting & Cable TV",Bethpage,"New York"
CVS,"CVS Caremark Corp.","Consumer Staples","Drug Retail",Woonsocket,"Rhode Island"
CVX,"Chevron Corp.",Energy,"Integrated Oil & Gas","San Ramon",California
D,"Dominion Resources",Utilities,"Electric Utilities",Richmond,Virginia
DAL,"Delta Air Lines",Industrials,Airlines,Atlanta,Georgia
DD,"Du Pont (E.I.)",Materials,"Diversified Chemicals",Wilmington,Delaware
DE,"Deere & Co.",Industrials,"Construction & Farm Machinery & Heavy Trucks",Moline,Illinois
DFS,"Discover Financial Services",Financials,"Consumer Finance",Riverwoods,Illinois
DG,"Dollar General","Consumer Discretionary","General Merchandise Stores",Goodlettsville,Tennessee
DGX,"Quest Diagnostics","Health Care","Health Care Facilities",Madison,"New Jersey"
DHI,"D. R. Horton","Consumer Discretionary",Homebuilding,"Fort Worth",Texas
DHR,"Danaher Corp.",Industrials,"Industrial Machinery",Washington,"The District of Columbia"
DIS,"The Walt Disney Company","Consumer Discretionary","Broadcasting & Cable TV",Burbank,California
DISCA,"Discovery Communications-A","Consumer Discretionary","Broadcasting & Cable TV","Silver Spring",Maryland
DISCK,"Discovery Communications-C","Consumer Discretionary","Broadcasting & Cable TV","Silver Spring",Maryland
DLPH,"Delphi Automotive","Consumer Discretionary","Auto Parts & Equipment","Gillingham, Kent","United Kingdom"
DLTR,"Dollar Tree","Consumer Discretionary","General Merchandise Stores",Chesapeake,Virginia
DNB,"Dun & Bradstreet",Industrials,"Data Processing Services","Short Hills","New Jersey"
DO,"Diamond Offshore Drilling",Energy,"Oil & Gas Drilling",Houston,Texas
DOV,"Dover Corp.",Industrials,"Industrial Machinery","Downers Grove",Illinois
DOW,"Dow Chemical",Materials,"Diversified Chemicals",Midland,Michigan
DPS,"Dr Pepper Snapple Group","Consumer Staples","Soft Drinks",Plano,Texas
DRI,"Darden Restaurants","Consumer Discretionary",Restaurants,Orlando,Florida
DTE,"DTE Energy Co.",Utilities,MultiUtilities,Detroit,Michigan
DUK,"Duke Energy",Utilities,"Electric Utilities",Charlotte,"North Carolina"
DVA,"DaVita Inc.","Health Care","Health Care Facilities",Denver,Colorado
DVN,"Devon Energy Corp.",Energy,"Oil & Gas Exploration & Production","Oklahoma City",Oklahoma
EA,"Electronic Arts","Information Technology","Home Entertainment Software","Redwood City",California
EBAY,"eBay Inc.","Information Technology","Internet Software & Services","San Jose",California
ECL,"Ecolab Inc.",Materials,"Specialty Chemicals","St. Paul",Minnesota
ED,"Consolidated Edison",Utilities,"Electric Utilities","New York","New York"
EFX,"Equifax Inc.",Financials,"Diversified Financial Services",Atlanta,Georgia
EIX,"Edison Int'l",Utilities,"Electric Utilities",Rosemead,California
EL,"Estee Lauder Cos.","Consumer Staples","Personal Products","New York","New York"
EMC,"EMC Corp.","Information Technology","IT Consulting & Services",Hopkinton,Massachusetts
EMN,"Eastman Chemical",Materials,"Diversified Chemicals",Kingsport,Tennessee
EMR,"Emerson Electric Company",Industrials,"Industrial Conglomerates",Ferguson,Missouri
ENDP,"Endo International","Health Care",Pharmaceuticals,Dublin,Ireland
EOG,"EOG Resources",Energy,"Oil & Gas Exploration & Production",Houston,Texas
EQIX,Equinix,"Information Technology","Internet Software & Services","Redwood City",California
EQR,"Equity Residential",Financials,REITs,Chicago,Illinois
EQT,"EQT Corporation",Energy,"Oil & Gas Exploration & Production",Pittsburgh,Pennsylvania
ES,"Eversource Energy",Utilities,MultiUtilities,Springfield,Massachusetts
ESRX,"Express Scripts","Health Care","Health Care Distributors & Services","Cool Valley",Missouri
ESS,"Essex Property Trust Inc",Financials,"Residential REITs","Palo Alto",California
ESV,"Ensco plc",Energy,"Oil & Gas Drilling",London,"United Kingdom"
ETFC,E*Trade,Financials,"Investment Banking & Brokerage","New York","New York"
ETN,"Eaton Corporation",Industrials,"Industrial Conglomerates",Dublin,Ireland
ETR,"Entergy Corp.",Utilities,"Electric Utilities","New Orleans",Louisiana
EW,"Edwards Lifesciences","Health Care","Health Care Equipment & Services",Irvine,California
EXC,"Exelon Corp.",Utilities,MultiUtilities,Chicago,Illinois
EXPD,"Expeditors Int'l",Industrials,"Air Freight & Logistics",Seattle,Washington
EXPE,"Expedia Inc.","Consumer Discretionary","Hotels, Resorts & Cruise Lines",Bellevue,Washington
F,"Ford Motor","Consumer Discretionary","Automobile Manufacturers",Dearborn,Michigan
FAST,"Fastenal Co",Industrials,"Building Products",Winona,Minnesota
FB,Facebook,"Information Technology","Internet Software & Services","Menlo Park",California
FCX,"Freeport-McMoran Cp & Gld",Materials,"Diversified Metals & Mining",Phoenix,Arizona
FDX,"FedEx Corporation",Industrials,"Air Freight & Logistics",Memphis,Tennessee
FE,"FirstEnergy Corp",Utilities,"Electric Utilities",Akron,Ohio
FFIV,"F5 Networks","Information Technology","Networking Equipment",Seattle,Washington
FIS,"Fidelity National Information Services","Information Technology","Internet Software & Services",Jacksonville,Florida
FISV,"Fiserv Inc","Information Technology","Internet Software & Services",Brookfield,Wisconsin
FITB,"Fifth Third Bancorp",Financials,Banks,Cincinnati,Ohio
FLIR,"FLIR Systems",Industrials,"Aerospace & Defense",Wilsonville,Oregon
FLR,"Fluor Corp.",Industrials,"Diversified Commercial Services",Irving,Texas
FLS,"Flowserve Corporation",Industrials,"Industrial Machinery",Irving,Texas
FMC,"FMC Corporation",Materials,"Diversified Chemicals",Philadelphia,Pennsylvania
FOSL,"Fossil, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods",Richardson,Texas
FOX,"Twenty-First Century Fox Class B","Consumer Discretionary",Publishing,"New York","New York"
FOXA,"Twenty-First Century Fox Class A","Consumer Discretionary",Publishing,"New York","New York"
FSLR,"First Solar Inc","Information Technology",Semiconductors,Tempe,Arizona
FTI,"FMC Technologies Inc.",Energy,"Oil & Gas Equipment & Services",Houston,Texas
FTR,"Frontier Communications","Telecommunications Services","Integrated Telecommunications Services",Stamford,Connecticut
GAS,"AGL Resources Inc.",Utilities,"Gas Utilities",Atlanta,Georgia
GD,"General Dynamics",Industrials,"Aerospace & Defense","Falls Church",Virginia
GE,"General Electric",Industrials,"Industrial Conglomerates",Fairfield,Connecticut
GGP,"General Growth Properties Inc.",Financials,REITs,Chicago,Illinois
GILD,"Gilead Sciences","Health Care",Biotechnology,"Foster City",California
GIS,"General Mills","Consumer Staples","Packaged Foods & Meats","Golden Valley",Minnesota
GLW,"Corning Inc.",Industrials,"Construction & Engineering",Corning,"New York"
GM,"General Motors","Consumer Discretionary","Automobile Manufacturers",Detroit,Michigan
GMCR,"Keurig Green Mountain","Consumer Staples","Packaged Foods & Meats",Waterbury,Vermont
GME,"GameStop Corp.","Consumer Discretionary","Computer & Electronics Retail",Grapevine,Texas
GOOG,"Alphabet Inc Class C","Information Technology","Internet Software & Services","Mountain View",California
GOOGL,"Alphabet Inc Class A","Information Technology","Internet Software & Services","Mountain View",California
GPC,"Genuine Parts","Consumer Discretionary","Specialty Stores",Atlanta,Georgia
GPS,"Gap (The)","Consumer Discretionary","Apparel Retail","San Francisco",California
GRMN,"Garmin Ltd.","Consumer Discretionary","Consumer Electronics",Schaffhausen,Switzerland
GS,"Goldman Sachs Group",Financials,"Investment Banking & Brokerage","New York","New York"
GT,"Goodyear Tire & Rubber","Consumer Discretionary","Tires & Rubber",Akron,Ohio
GWW,"Grainger (W.W.) Inc.",Industrials,"Industrial Materials","Lake Forest",Illinois
HAL,"Halliburton Co.",Energy,"Oil & Gas Equipment & Services",Houston,Texas
HAR,"Harman Int'l Industries","Consumer Discretionary","Consumer Electronics",Stamford,Connecticut
HAS,"Hasbro Inc.","Consumer Discretionary","Leisure Products",Pawtucket,"Rhode Island"
HBAN,"Huntington Bancshares",Financials,Banks,Columbus,Ohio
HBI,"Hanesbrands Inc","Consumer Discretionary","Apparel, Accessories & Luxury Goods",Winston-Salem,"North Carolina"
HCA,"HCA Holdings","Health Care","Health Care Facilities",Nashville,Tennessee
HCN,"Welltower Inc.",Financials,REITs,Toledo,Ohio
HCP,"HCP Inc.",Financials,REITs,"Long Beach",California
HD,"Home Depot","Consumer Discretionary","Home Improvement Retail","Cobb County",Georgia
HES,"Hess Corporation",Energy,"Integrated Oil & Gas","New York","New York"
HIG,"Hartford Financial Svc.Gp.",Financials,"Property & Casualty Insurance",Hartford,Connecticut
HOG,Harley-Davidson,"Consumer Discretionary","Motorcycle Manufacturers",Milwaukee,Wisconsin
HON,"Honeywell Int'l Inc.",Industrials,"Industrial Conglomerates",Morristown,"New Jersey"
HOT,"Starwood Hotels & Resorts","Consumer Discretionary","Hotels, Resorts & Cruise Lines","White Plains","New York"
HP,"Helmerich & Payne",Energy,"Oil & Gas Drilling",Tulsa,Oklahoma
HPE,"Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto",California
HPQ,"HP Inc.","Information Technology","Computer Hardware","Palo Alto",California
HRB,"Block H&R",Financials,"Consumer Finance","Kansas City",Missouri
HRL,"Hormel Foods Corp.","Consumer Staples","Packaged Foods & Meats",Austin,Minnesota
HRS,"Harris Corporation","Information Technology","Telecommunications Equipment",Melbourne,Florida
HSIC,"Henry Schein","Health Care","Health Care Distributors & Services",Melville,"New York"
HST,"Host Hotels & Resorts",Financials,REITs,Bethesda,Maryland
HSY,"The Hershey Company","Consumer Staples","Packaged Foods & Meats",Hershey,Pennsylvania
HUM,"Humana Inc.","Health Care","Managed Health Care",Louisville,Kentucky
IBM,"International Bus. Machines","Information Technology","IT Consulting & Services",Armonk,"New York"
ICE,"Intercontinental Exchange",Financials,"Diversified Financial Services",Atlanta,Georgia
IFF,"Intl Flavors & Fragrances",Materials,"Specialty Chemicals","New York","New York"
ILMN,"Illumina Inc","Health Care","Life Sciences Tools & Services","San Diego",California
INTC,"Intel Corp.","Information Technology",Semiconductors,"Santa Clara",California
INTU,"Intuit Inc.","Information Technology","Internet Software & Services","Mountain View",California
IP,"International Paper",Materials,"Paper Products",Memphis,Tennessee
IPG,"Interpublic Group","Consumer Discretionary",Advertising,"New York","New York"
IR,"Ingersoll-Rand PLC",Industrials,"Industrial Conglomerates",Dublin,Ireland
IRM,"Iron Mountain Incorporated",Industrials,"Data Processing Services",Boston,Massachusetts
ISRG,"Intuitive Surgical Inc.","Health Care","Health Care Equipment & Services",Sunnyvale,California
ITW,"Illinois Tool Works",Industrials,"Industrial Machinery",Glenview,Illinois
IVZ,"Invesco Ltd.",Financials,"Asset Management & Custody Banks",Atlanta,Georgia
JBHT,"J. B. Hunt Transport Services",Industrials,Trucking,Lowell,Arkansas
JCI,"Johnson Controls","Consumer Discretionary","Auto Parts & Equipment",Milwaukee,Wisconsin
JEC,"Jacobs Engineering Group",Industrials,"Industrial Conglomerates",Pasadena,California
JNJ,"Johnson & Johnson","Health Care","Health Care Equipment & Services","New Brunswick","New Jersey"
JNPR,"Juniper Networks","Information Technology","Networking Equipment",Sunnyvale,California
JPM,"JPMorgan Chase & Co.",Financials,Banks,"New York","New York"
JWN,Nordstrom,"Consumer Discretionary","Department Stores",Seattle,Washington
K,"Kellogg Co.","Consumer Staples","Packaged Foods & Meats","Battle Creek",Michigan
KEY,KeyCorp,Financials,Banks,Cleveland,Ohio
KHC,"Kraft Heinz Co","Consumer Staples","Packaged Foods & Meats",Northfield,Illinois
KIM,"Kimco Realty",Financials,REITs,"New Hyde Park","New York"
KLAC,"KLA-Tencor Corp.","Information Technology","Semiconductor Equipment",Milpitas,California
KMB,Kimberly-Clark,"Consumer Staples","Household Products",Irving,Texas
KMI,"Kinder Morgan",Energy,"Oil & Gas Refining & Marketing & Transportation",Houston,Texas
KMX,"Carmax Inc","Consumer Discretionary","Specialty Stores",Richmond,Virginia
KO,"The Coca Cola Company","Consumer Staples","Soft Drinks",Atlanta,Georgia
KORS,"Michael Kors Holdings","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York","New York"
KR,"Kroger Co.","Consumer Staples","Food Retail",Cincinnati,Ohio
KSS,"Kohl's Corp.","Consumer Discretionary","General Merchandise Stores","Menomonee Falls",Wisconsin
KSU,"Kansas City Southern",Industrials,Railroads,"Kansas City",Missouri
L,"Loews Corp.",Financials,"Multi-Sector Holdings","New York","New York"
LB,"L Brands Inc.","Consumer Discretionary","Apparel Retail",Columbus,Ohio
LEG,"Leggett & Platt",Industrials,"Industrial Conglomerates",Carthage,Missouri
LEN,"Lennar Corp.","Consumer Discretionary",Homebuilding,Miami,Florida
LH,"Laboratory Corp. of America Holding","Health Care","Health Care Facilities",Burlington,"North Carolina"
LLL,"L-3 Communications Holdings",Industrials,"Industrial Conglomerates","New York","New York"
LLTC,"Linear Technology Corp.","Information Technology",Semiconductors,Milpitas,California
LLY,"Lilly (Eli) & Co.","Health Care",Pharmaceuticals,Indianapolis,Indiana
LM,"Legg Mason",Financials,"Asset Management & Custody Banks",Baltimore,Maryland
LMT,"Lockheed Martin Corp.",Industrials,"Aerospace & Defense",Bethesda,Maryland
LNC,"Lincoln National",Financials,"Multi-line Insurance",Radnor,Pennsylvania
LOW,"Lowe's Cos.","Consumer Discretionary","Home Improvement Retail",Mooresville,"North Carolina"
LRCX,"Lam Research","Information Technology","Semiconductor Equipment",Fremont,California
LUK,"Leucadia National Corp.",Financials,"Multi-Sector Holdings","New York","New York"
LUV,"Southwest Airlines",Industrials,Airlines,Dallas,Texas
LVLT,"Level 3 Communications","Telecommunications Services","Alternative Carriers",Broomfield,Colorado
LYB,LyondellBasell,Materials,"Diversified Chemicals",Rotterdam,Netherlands
M,"Macy's Inc.","Consumer Discretionary","Department Stores",Cincinnati,Ohio
MA,"Mastercard Inc.","Information Technology","Internet Software & Services",Harrison,"New York"
MAC,Macerich,Financials,"Retail REITs","Santa Monica",California
MAR,"Marriott Int'l.","Consumer Discretionary","Hotels, Resorts & Cruise Lines",Bethesda,Maryland
MAS,"Masco Corp.",Industrials,"Building Products",Taylor,Michigan
MAT,"Mattel Inc.","Consumer Discretionary","Leisure Products","El Segundo",California
MCD,"McDonald's Corp.","Consumer Discretionary",Restaurants,"Oak Brook",Illinois
MCHP,"Microchip Technology","Information Technology",Semiconductors,Chandler,Arizona
MCK,"McKesson Corp.","Health Care","Health Care Distributors & Services","San Francisco",California
MCO,"Moody's Corp",Financials,"Diversified Financial Services","New York","New York"
MDLZ,"Mondelez International","Consumer Staples","Packaged Foods & Meats",Northfield,Illinois
MDT,"Medtronic plc","Health Care","Health Care Equipment & Services",Dublin,Ireland
MET,"MetLife Inc.",Financials,"Life & Health Insurance","New York","New York"
MHFI,"McGraw Hill Financial",Financials,"Diversified Financial Services","New York","New York"
MHK,"Mohawk Industries","Consumer Discretionary","Home Furnishings",Amsterdam,"New York"
MJN,"Mead Johnson","Consumer Staples","Packaged Foods & Meats",Glenview,Illinois
MKC,"McCormick & Co.","Consumer Staples","Packaged Foods & Meats",Sparks,Maryland
MLM,"Martin Marietta Materials",Materials,"Construction Materials",Raleigh,"North Carolina"
MMC,"Marsh & McLennan",Financials,"Insurance Brokers","New York","New York"
MMM,"3M Company",Industrials,"Industrial Conglomerates","St. Paul",Minnesota
MNK,"Mallinckrodt Plc","Health Care",Pharmaceuticals,Dublin,Ireland
MNST,"Monster Beverage","Consumer Staples","Soft Drinks",Corona,California
MO,"Altria Group Inc","Consumer Staples",Tobacco,Richmond,Virginia
MON,"Monsanto Co.",Materials,"Fertilizers & Agricultural Chemicals","Creve Coeur",Missouri
MOS,"The Mosaic Company",Materials,"Fertilizers & Agricultural Chemicals",Plymouth,Minnesota
MPC,"Marathon Petroleum",Energy,"Oil & Gas Refining & Marketing & Transportation",Findlay,Ohio
MRK,"Merck & Co.","Health Care",Pharmaceuticals,"Whitehouse Station","New Jersey"
MRO,"Marathon Oil Corp.",Energy,"Oil & Gas Exploration & Production",Houston,Texas
MS,"Morgan Stanley",Financials,"Investment Banking & Brokerage","New York","New York"
MSFT,"Microsoft Corp.","Information Technology","Systems Software",Redmond,Washington
MSI,"Motorola Solutions Inc.","Information Technology","Telecommunications Equipment",Schaumburg,Illinois
MTB,"M&T Bank Corp.",Financials,Banks,Buffalo,"New York"
MU,"Micron Technology","Information Technology",Semiconductors,Boise,Idaho
MUR,"Murphy Oil",Energy,"Integrated Oil & Gas","El Dorado",Arkansas
MYL,"Mylan N.V.","Health Care",Pharmaceuticals,Amsterdam,Netherlands
NAVI,Navient,Financials,"Consumer Finance",Newark,Delaware
NBL,"Noble Energy Inc",Energy,"Oil & Gas Exploration & Production",Houston,Texas
NDAQ,"NASDAQ OMX Group",Financials,"Diversified Financial Services","New York","New York"
NEE,"NextEra Energy",Utilities,MultiUtilities,"Juno Beach",Florida
NEM,"Newmont Mining Corp. (Hldg. Co.)",Materials,Gold,Denver,Colorado
NFLX,"Netflix Inc.","Information Technology","Internet Software & Services","Los Gatos",California
NFX,"Newfield Exploration Co",Energy,"Oil & Gas Exploration & Production",Houston,Texas
NI,"NiSource Inc.",Utilities,MultiUtilities,Merrillville,Indiana
NKE,Nike,"Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County",Oregon
NLSN,"Nielsen Holdings",Industrials,"Research & Consulting Services","New York","New York"
NOC,"Northrop Grumman Corp.",Industrials,"Aerospace & Defense","West Falls Church",Virginia
NOV,"National Oilwell Varco Inc.",Energy,"Oil & Gas Equipment & Services",Houston,Texas
NRG,"NRG Energy",Utilities,"Independent Power Producers & Energy Traders",Princeton,"New Jersey"
NSC,"Norfolk Southern Corp.",Industrials,Railroads,Norfolk,Virginia
NTAP,NetApp,"Information Technology","Internet Software & Services",Sunnyvale,California
NTRS,"Northern Trust Corp.",Financials,"Asset Management & Custody Banks",Chicago,Illinois
NUE,"Nucor Corp.",Materials,Steel,Charlotte,"North Carolina"
NVDA,"Nvidia Corporation","Information Technology",Semiconductors,"Santa Clara",California
