Index,Name,Volume,Volume_USD,Market_Cap,Market_Cap_USD,Sales,Floor_Price,Floor_Price_USD,Average_Price,Average_Price_USD,Owners,Assets,Owner_Asset_Ratio,Category,Website,Logo
34,MyRareFrog (Solana),518.81,76171.6842,936.9928571,137569.2913,579,0.85,124.797,0.896044905,131.557313,15,466,3.22,"Collectibles,Art,Digital,PFP",,https://content.solsea.io/files/thumbnail/1632209645350-116448970-12313.png
35,Dope Apes,511.72,75130.7304,87.10742857,12789.11266,350,1.2,176.184,1.462057143,214.6592297,42,52,80.77,"Digital,Art,Collectibles,PFP,2D",https://dopeapes.com/,https://content.solsea.io/files/thumbnail/1639909788774-358389517.png
36,WEYU,507.54,74517.0228,236.0954167,34663.52908,307,0.25,36.705,1.653224756,242.7264586,141,427,33.02,,https://t.co/xwr6sEIM4x?amp=1,https://content.solsea.io/files/thumbnail/1637464414274-489959364-eq076SND_400x400 (1).jpg
37,Smolfishes,502.52,73779.9864,0,0,96,,,5.234583333,768.541525,0,0,,,https://smolfishes.com,https://content.solsea.io/files/thumbnail/1635176945722-774582107-f2lncS_X_400x400.jpg
38,Cryo Pass - SU ,497.49,73041.4818,40.8,5990.256,421,1,146.82,1.181686461,173.4952062,29,45,64.44,Collectibles,https://www.strandedunicorns.com/,https://content.solsea.io/files/thumbnail/1635948594277-4679791-su-icon.png
39,Famous Characters,474.45,69658.749,149.1084,21892.09529,285,0.79,115.9878,1.664736842,244.4166632,46,183,25.14,"Digital,Art,Collectibles",,https://content.solsea.io/files/thumbnail/1638866716016-387859060.jpeg
40,WOOFers,469.78,68973.0996,459.4275,67453.14555,370,0.57,83.6874,1.269675676,186.4137827,171,504,33.93,"PFP,Digital,Collectibles,Ticket",https://www.woofsolana.io,https://content.solsea.io/files/thumbnail/1638657014015-772100599.png
41,Quantum Traders,467.2,68594.304,0,0,99,,,4.719191919,692.8717576,0,0,,,https://www.yawww.io/,https://content.solsea.io/files/thumbnail/1641389104396-523999531.jpg
42,Toasty Turts,451.6,66303.912,51.72357143,7594.054757,780,0.09,13.2138,0.578974359,85.00501538,179,319,56.11,,https://toastyturts.com/,https://content.solsea.io/files/thumbnail/1633872135534-795915404-SolSea PFP.PNG
43,CoinCards (Solana),422.44,62022.6408,1368.147826,200871.4638,506,0.3,44.046,0.83486166,122.5743889,56,860,6.51,"Digital,Art,Collectibles,Trading Cards,3D,Video",,https://content.solsea.io/files/thumbnail/1638660905228-840022049.png
44,Solana Mees,410.03,60200.6046,118.95,17464.239,464,0.19,27.8958,0.883685345,129.7426823,330,793,41.61,,https://solmees.com/,https://content.solsea.io/files/thumbnail/1632240976015-479263273-SolMees logo.png
45,SolSheep,391.46,57474.1572,64.36421053,9449.953389,1148,0.15,22.023,0.340993031,50.06459686,330,516,63.95,"Collectibles,PFP",https://solsheep.com/,https://content.solsea.io/files/thumbnail/1633802825433-456549432-solsheeplogo-03 (1).png
46,Electric Blue,376,55204.32,0,0,11,27,3964.14,34.18181818,5018.574545,5,14,35.71,"Art,Collectibles,Photography,Metaverse,Performance,3D,Drawing,Digital",https://solsea.io/collection/61c3175ba270d6f84a3b3474,https://content.solsea.io/files/thumbnail/1640175412296-452349246.jpg
47,Solana Zombie Business,372.2,54646.404,418.605,61459.5861,774,0.2,29.364,0.480878553,70.60258915,113,803,14.07,,http://solanazombie.business/,https://content.solsea.io/files/thumbnail/1640607682863-803144353.jpg
48,Astral Apes,356.28,52309.0296,38,5579.16,102,1.69,248.1258,3.492941176,512.8336235,34,38,89.47,,https://t.co/wu0vJXoo3h?amp=1,https://content.solsea.io/files/thumbnail/1638175688122-90152906-2GKe3f42_400x400.jpg
49,Synchrony x SolRazr IDO NFTs,354.93,52110.8226,0,0,89,1.5,220.23,3.987977528,585.5148607,8,8,100,,https://synchrony.fi/,https://content.solsea.io/files/thumbnail/1638974453295-783317714.jpg
50,Mechanic Wolf,347.75,51056.655,2.52,369.9864,382,0.03,4.4046,0.910340314,133.6561649,39,63,61.9,,,https://content.solsea.io/files/thumbnail/1636593498579-262143242-Mechanic wolf.jpg
51,Piggy Sol Gang,340.08,49930.5456,33.95,4984.539,52,3.5,513.87,6.54,960.2028,15,15,100,,https://piggygang.com/,https://content.solsea.io/files/thumbnail/1631899152838-169962228-IMG_4281 - Piggy Gang.JPG
52,Wild Wolves BoneYard,332.4,48802.968,63.87692308,9378.409846,897,0.05,7.341,0.370568562,54.40687625,404,865,46.71,,WildWolvesNFT.com ,https://content.solsea.io/files/thumbnail/1633962633483-60398212-PFP-01.png
53,Famous People,323.84,47546.1888,96.2,14124.084,295,0.99,145.3518,1.097762712,161.1735214,50,185,27.03,"Digital,Art,Collectibles",,https://content.solsea.io/files/thumbnail/1639475034256-51014217.jpeg
54,SOLEX S2 Mystery Box,318.52,46765.1064,477.78,70147.6596,642,0.49,71.9418,0.496137072,72.84284486,6,963,0.62,"Art,Digital,Graphics,Collectibles",www.solex.watch/s2,https://content.solsea.io/files/thumbnail/1641092767953-991184926.png
55,ALL.ART CIRCLE,315.89,46378.9698,548.1331429,80476.90803,191,0.33,48.4506,1.653874346,242.8218314,317,341,92.96,"Metaverse,Privilege",https://all.art,https://content.solsea.io/files/thumbnail/1640870587016-678092578.jpg
56,MadTrooper,304.48,44703.7536,43.74,6421.9068,150,0.3,44.046,2.029866667,298.025024,114,162,70.37,,https://madtrooper.com/,https://content.solsea.io/files/thumbnail/1632512506874-36275450-Icon.png
57,Solana Penguins,302.53,44417.4546,61.00714286,8957.068714,1134,0.06,8.8092,0.266781305,39.16883122,338,585,57.78,,https://www.solanapenguins.io/,https://content.solsea.io/files/thumbnail/1632133322216-442733740-logo_full - Skipper Penguin.png
58,Scalp Empire,301.1,44207.502,8.739230769,1283.093862,208,8,1174.56,1.447596154,212.5360673,3,3,100,,https://www.scalp-empire.com,https://content.solsea.io/files/thumbnail/1641757900962-848141725.jpg
59,Lo Sciamano,289.5,42504.39,296.125,43477.0725,35,3,440.46,8.271428571,1214.411143,7,46,15.22,"Digital,Art,Collectibles,Painting,Image,Picture",https://solsea.io/collection/614a37830262b92db7997922,https://content.solsea.io/files/thumbnail/1632253798263-634620572-IMG-8751.jpg
60,BabyApes,278.98,40959.8436,0,0,111,2.3,337.686,2.513333333,369.0076,4,4,100,,https://babyapes.io/,https://content.solsea.io/files/thumbnail/1635141365316-900076459-download (10).png
61,Pixel Invaderz,263.32,38660.6424,45.6,6694.992,376,0.45,66.069,0.700319149,102.8208574,73,114,64.04,"Collectibles,Digital,Metaverse,Art,Graphics,2D,Picture,Image,Design",http://pixelinvaderz.com,https://content.solsea.io/files/thumbnail/1632179144847-938706606-Profile Picture v2.png
62,Solana Sluts,255.44,37503.7008,213.535443,31351.27375,302,0.3,44.046,0.845827815,124.1844397,99,210,47.14,"Digital,Art,Collectibles,2D,PFP,Drawing,P2E,Design,Image,Metaverse",https://www.solanasluts.com/,https://content.solsea.io/files/thumbnail/1641544414971-356533564.jpg
63,Cryptic Snakes,254.09,37305.4938,0,0,361,10,1468.2,0.703850416,103.339318,3,4,75,,,https://content.solsea.io/files/thumbnail/1637684493164-365229578-snake1.jpg
64,TROLLz,252.69,37099.9458,32.4,4756.968,181,0.14,20.5548,1.396077348,204.9720762,162,270,60,,,https://content.solsea.io/files/thumbnail/1635451853535-267510427-aRKezqo-_400x400.jpg
65,Degen Lizzy,250.74,36813.6468,0,0,158,0.15,22.023,1.586962025,232.9977646,72,92,78.26,,www.degenlizzy.art,https://content.solsea.io/files/thumbnail/1632133040672-22876123-logo 1000x - Live Demos.png
66,Celebrities,248.2,36440.724,116.85,17155.917,348,0.47,69.0054,0.713218391,104.7147241,75,195,38.46,"Art,Digital,Collectibles",,https://content.solsea.io/files/thumbnail/1637748627317-263151820-Celebrities-Logo.png
67,We Are The Walrus - WATW,244.27,35863.7214,156,22903.92,109,0.96,140.9472,2.241009174,329.024967,58,78,74.36,,https://t.co/rh5n68RgCa,https://content.solsea.io/files/thumbnail/1638731979382-109568539.jpg
68,Billionaire Whale Club,243.31,35722.7742,56.025,8225.5905,1032,0.23,33.7686,0.235765504,34.61509128,169,249,67.87,"2D,Collectibles,Graphics,PFP",https://www.billionairewhaleclub.com/,https://content.solsea.io/files/thumbnail/1634642602441-548044779-logo-512.png
69,Vox Punks Club,238.37,34997.4834,0,0,101,0.41,60.1962,2.36009901,346.5097366,44,65,67.69,,https://voxpunksclub.com,https://content.solsea.io/files/thumbnail/1633350094285-222392688-Untitled (7) - sanolu s.png
70,NGen Arts,231.4,33974.148,0,0,267,0.1,14.682,0.866666667,127.244,45,110,40.91,"Digital,Design,Art,Collectibles,Graphics",https://twitter.com/NGenArts,https://content.solsea.io/files/thumbnail/1633033797321-601630754-Untitled design - 2021-09-30T231834.499.png
71,Aliens VS People,229.59,33708.4038,49.29,7236.7578,274,0.25,36.705,0.837919708,123.0233715,119,186,63.98,"P2E,Metaverse",https://aliensvspeople.com/,https://content.solsea.io/files/thumbnail/1639081610291-599529532.png
72,Crypto Astronuts,229.58,33706.9356,0,0,372,0.11,16.1502,0.617150538,90.61004194,248,344,72.09,"Digital,Metaverse,P2E,Art",https://cryptoastronuts.io,https://content.solsea.io/files/thumbnail/1634159327090-278063669-Solsea_LOGO_v2_00000.jpg
73,KnitPunks SOL,229.22,33654.0804,0,0,138,2,293.64,1.661014493,243.8701478,6,26,23.08,,https://medium.com/@knitpunk/knitpunks-on-solana-9bf5eb9d314b,https://content.solsea.io/files/thumbnail/1632159523471-910826851-sol20.jpg
74,Red Panda Squad ,227.2,33357.504,22.2,3259.404,53,0.65,95.433,4.286792453,629.3868679,28,30,93.33,,https://redpandasquad.com/,https://content.solsea.io/files/thumbnail/1632848772753-665348822-panda-1.jpg
75,Skully Boys,226.59,33267.9438,18.62,2733.7884,91,0.11,16.1502,2.49,365.5818,87,133,65.41,,https://skullyboys.io/,https://content.solsea.io/files/thumbnail/1633092009687-620563093-Skully_Boys_Logo.jpg
76,Faceless NFT,221.82,32567.6124,41.09,6032.8338,454,0.04,5.8728,0.488590308,71.73482907,364,587,62.01,"Digital,Art,PFP,2D,Design,Picture,Collectibles",https://www.facelessnft.net/,https://content.solsea.io/files/thumbnail/1637120713210-401908392-facelessnft.jpg
77,SolBricks,220.26,32338.5732,0,0,92,,,2.394130435,351.5062304,0,0,,,https://t.co/omxjma8Zc7?amp=1,https://content.solsea.io/files/thumbnail/1635012374263-730821011-RNeWVqZS_400x400.jpg
78,Exiled Wolves Bone Yard,220.22,32332.7004,21.83,3205.0806,408,0.04,5.8728,0.539754902,79.24681471,211,354,59.6,,,https://content.solsea.io/files/thumbnail/1633605709952-715507009-SOLSEA_pfp-01.png
79,Magic Mushies,213.57,31356.3474,0,0,243,2.6,381.732,0.878888889,129.0384667,1,3,33.33,,magicmushies.io,https://content.solsea.io/files/thumbnail/1641676663338-144575978.jpg
80,Gangster Gorillas,206.79,30360.9078,119.1022985,17486.59947,1514,0.08,11.7456,0.136585205,20.05343976,315,872,36.12,"Digital,Metaverse,Art,Collectibles,2D,P2E",https://enterthejungle.io,https://content.solsea.io/files/thumbnail/1637606274603-808266184-unknown.png
81,Shapes of Reality,206,30244.92,185.5,27235.11,8,2.5,367.05,25.75,3780.615,4,7,57.14,"Digital,Art,Collectibles,Immaterial,Metaverse,Graphics,2D,Photography,Picture,Pixel Art",https://solsea.io/collection/61c31d5dce8751f8892d2121,https://content.solsea.io/files/thumbnail/1640176915982-831642796.jpg
82,THE ONES,203.73,29911.6386,0,0,369,0.4,58.728,0.552113821,81.06135122,189,284,66.55,,,https://content.solsea.io/files/thumbnail/1634993788611-892122811-5146.png
83,Crypto Coves,200.86,29490.2652,62.65458333,9198.945925,1904,0.06,8.8092,0.105493697,15.48858466,320,559,57.25,"Art,Collectibles,P2E,Metaverse,3D",https://searoversnft.com/,https://content.solsea.io/files/thumbnail/1640708664065-971072744.png
84,CryptoFans,199.48,29287.6536,0,0,40,2,293.64,4.987,732.19134,18,31,58.06,"Art,Digital,Collectibles",,https://content.solsea.io/files/thumbnail/1635687941998-439931332-Vitalik.png
85,OG Astro Babies,198.97,29212.7754,72.76666667,10683.602,190,0.88,129.2016,1.047210526,153.7514495,80,118,67.8,"Digital,Metaverse,Art,PFP",https://www.astrobabies.io/,https://content.solsea.io/files/thumbnail/1634667226255-600212121-skin_white.jpg
86,Candy Cane,190.25,27932.505,0,0,107,,,1.778037383,261.0514486,0,0,,,candycane.app,https://content.solsea.io/files/thumbnail/1640677965529-587274886.jpg
87,Meta Panda Squad,187.22,27487.6404,79.02,11601.7164,156,1.45,212.889,1.200128205,176.2028231,35,56,62.5,"Metaverse,P2E,Collectibles,Art,PFP",https://metapandasquad.io/,https://content.solsea.io/files/thumbnail/1638192457347-888977781-261639650_622483195547467_2415834585063056808_n.png
88,Unirexcity,185.87,27289.4334,0,0,67,0.38,55.7916,2.774179104,407.3049761,36,44,81.82,,https://unirex.city,https://content.solsea.io/files/thumbnail/1635101457483-715689667-download (7).png
89,Popsicle ,177.73,26094.3186,167.2715625,24558.81081,1477,0.03,4.4046,0.120331754,17.66710806,653,1491,43.8,,https://www.popsiclenft.com/,https://content.solsea.io/files/thumbnail/1633100109301-487026892-rsz_fiskantes.png
90,skulls.wtf #SWTF,173.5,25473.27,86.71,12730.7622,523,0.04,5.8728,0.331739962,48.70606119,313,598,52.34,,https://skulls.wtf/,https://content.solsea.io/files/thumbnail/1634683327217-160004664-swtf_fastfood.png
91,Scoogis,172.26,25291.2132,0,0,97,1,146.82,1.775876289,260.7341567,44,80,55,,https://www.scoogi.com/,https://content.solsea.io/files/thumbnail/1637025453795-517243523-68UTXiIU_400x400.jpg
92,Aurory,169.49,24884.5218,0,0,4,35,5138.7,42.3725,6221.13045,3,3,100,,https://app.aurory.io/#/,https://content.solsea.io/files/thumbnail/1631899590826-834778351-aurorypreview.9205eec2.png
93,DazedDucks,164.71,24182.7222,64.35,9447.867,69,6.4,939.648,2.387101449,350.4742348,13,13,100,"Digital,Collectibles,PFP,Metaverse,Privilege,Art",https://dazedducks.com/,https://content.solsea.io/files/thumbnail/1640097000324-815819488.png
94,Crypto Captains,159.23,23378.1486,124.8022222,18323.46227,1529,0.07,10.2774,0.104139961,15.28982904,303,497,60.97,"Collectibles,Digital,Metaverse,Art,PFP",https://searoversnft.com/,https://content.solsea.io/files/thumbnail/1638917023797-218487258.png
95,Monke Babies,155.13,22776.1866,7.56,1109.9592,244,0.12,17.6184,0.635778689,93.34502705,30,63,47.62,,https://t.co/YSF4YY7JoI?amp=1,https://content.solsea.io/files/thumbnail/1641998146196-776791143.png
96,The First 100,154.65,22705.713,0,0,41,3.5,513.87,3.77195122,553.797878,19,92,20.65,"Metaverse,Digital,Art,Graphics,2D,3D,Painting,Photography,Drawing,Video,Design,Pixel Art",,https://content.solsea.io/files/thumbnail/1639501225667-676007827.jpg
97,Women's Pride,152.53,22394.4546,373.1,54778.542,120,1.23,180.5886,1.271083333,186.620455,32,91,35.16,"Art,Collectibles,2D,Painting,Picture,Image",https://womenspride.io/,https://content.solsea.io/files/thumbnail/1639398275345-926073839.jpg
98,The Lion Cats,152.13,22335.7266,0,0,65,,,2.340461538,343.6265631,0,0,,,thelioncats.com,https://content.solsea.io/files/thumbnail/1641597062883-664380086.jpg
99,The Exiled Apes,148,21729.36,0,0,3,49,7194.18,49.33333333,7243.12,1,1,100,,https://exiledapes.academy,https://content.solsea.io/files/thumbnail/1632155237529-608429819-image_back.png
100,BitFreaks,145.08,21300.6456,0,0,64,,,2.266875,332.8225875,0,0,,,https://bitfreaks.io/,https://content.solsea.io/files/thumbnail/1632154133599-662603878-Artboard 1.png
101,Cyber Pharmacy,138.97,20403.5754,0,0,84,0.62,91.0284,1.654404762,242.8997071,35,48,72.92,"Digital,Privilege,Art,Collectibles",https://cyberpharmacy.io/,https://content.solsea.io/files/thumbnail/1633625714416-336538177-LOGO_-_B_BACKGROUND__W__2.png
102,Baffled Bears,138.48,20331.6336,314.8657143,46228.58417,320,0.44,64.6008,0.43275,63.536355,108,772,13.99,"Collectibles,PFP",https://baffledbears.com/,https://content.solsea.io/files/thumbnail/1632155634576-973956933-logo512.png
103,SolSlugs,134.67,19772.2494,12.635,1855.0707,629,0.1,14.682,0.214101749,31.43441876,93,133,69.92,,solslugs.com,https://content.solsea.io/files/thumbnail/1635027186145-99954510-download (4).png
104,Sleepless SOLs,134.5,19747.29,8.958571429,1315.297457,205,1.3,190.866,0.656097561,96.3282439,14,14,100,,https://www.sleeplesssols.com/,https://content.solsea.io/files/thumbnail/1641642716747-657337482.jpeg
105,Stranded Unicorns ,133.12,19544.6784,28.92916667,4247.38025,236,0.47,69.0054,0.564067797,82.8164339,48,53,90.57,"Collectibles,PFP",https://www.strandedunicorns.com/,https://content.solsea.io/files/thumbnail/1635158143259-98985885-icon.png
106,Aurory | Specials,133.11,19543.2102,548.4888889,80529.13867,156,0.2,29.364,0.853269231,125.2769885,58,1148,5.05,,,https://content.solsea.io/files/thumbnail/1640522440754-657474803.png
107,Solana Flip,131.66,19330.3212,0,0,39,0.4,58.728,3.375897436,495.6492615,9,10,90,"P2E,Digital,Collectibles",,https://content.solsea.io/files/thumbnail/1641136048201-545420115.png
108,Nekoverse Lost Chest,131.59,19320.0438,50.17333333,7366.4488,831,0.19,27.8958,0.158351384,23.24915018,83,212,39.15,,https://nekoverse.net/,https://content.solsea.io/files/thumbnail/1637678417852-161836935-1.png
109,Dirtypanda,129.62,19030.8084,0,0,243,0.1,14.682,0.533415638,78.31608395,72,112,64.29,,dirtypanda.io,https://content.solsea.io/files/thumbnail/1632415892275-620538558-Icon.jpeg
110,Lift-off Pass,128.25,18829.665,0,0,27,4.75,697.395,4.75,697.395,1,106,0.94,"Digital,Privilege,Metaverse,Collectibles,3D,Video",https://benjaminrocketship.com/nfts,https://content.solsea.io/files/thumbnail/1640288103350-455643333.png
111,Art by Keen,126,18499.32,45,6606.9,40,1.33,195.2706,3.15,462.483,24,45,53.33,"Art,Digital,Painting",https://linktr.ee/keenperator,https://content.solsea.io/files/thumbnail/1632753270063-672340223-art4.png
112,Crypto Worms,124.44,18270.2808,150.9333333,22160.032,82,1,146.82,1.517560976,222.8083024,40,120,33.33,"Collectibles,2D,Image,Picture",https://crypto-worms.com,https://content.solsea.io/files/thumbnail/1637253438375-420564857-logo.png
113,Solar Heroes,123.58,18144.0156,31.2,4580.784,255,0.22,32.3004,0.484627451,71.15300235,74,208,35.58,"P2E,Digital,Art,Metaverse,PFP",https://solarheroes.io/,https://content.solsea.io/files/thumbnail/1637409561639-439213889-Logo1.PNG
114,Turtles,122,17912.04,0,0,4,,,30.5,4478.01,0,0,,,https://www.turtles.com,https://content.solsea.io/files/thumbnail/1632822953487-555071926-Western - Zelma Sottile.png
115,SSJs,121.35,17816.607,0,0,19,4.77,700.3314,6.386842105,937.7161579,2,4,50,,,https://content.solsea.io/files/thumbnail/1636195057896-516534320-CaptureSSJ.JPG
116,SolanaDogeNFTs,119.09,17484.7938,2.8,411.096,25,0.8,117.456,4.7636,699.391752,24,35,68.57,,https://SolanaDogeNFTs.io,https://content.solsea.io/files/thumbnail/1631991931432-343215437-solanaDoge - Dr Doge.png
117,Vampires Of SOL,117.1,17192.622,22.4,3288.768,302,0.03,4.4046,0.387748344,56.92921192,66,112,58.93,,https://t.co/6zH4K70zzZ?amp=1,https://content.solsea.io/files/thumbnail/1633608967623-79089822-3.jpg
