No,Date(UTC),Ref1,Source Description 1,Latitude,Longitude,Depth,Constant Deg.,Source No 2,Source Description 2,Type,Magnitude,Source No 3,Source Description 3
0,2018-05-02 21:16:08,0, ,35.9156,28.3801,46.99,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2018-05-01 04:03:48,0, ,36.8803,27.5366,15.69,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2018-04-26 11:37:41,0, ,37.8166,29.3133,15.68,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2018-04-24 00:34:29,0, ,37.5836,38.5036,9.79,No,7,AFAD-DDA,Mw,5.1,7,AFAD-DDA
0,2018-04-13 17:55:47,0, ,37.0928,31.9581,10.38,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2018-04-13 17:14:00,0, ,37.0911,31.953000000000003,10.76,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
0,2018-04-10 15:56:15,0, ,36.6636,25.9386,18.99,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
0,2018-04-07 21:16:31,0, ,40.8526,31.6393,10.47,No,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA
0,2018-03-24 15:04:06,0, ,38.3408,40.9838,12.01,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2018-03-07 16:02:32,0, ,39.5703,26.0895,11.35,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2018-03-07 07:58:42,0, ,39.268,40.224000000000004,10.8,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2018-03-07 00:33:52,0, ,39.065,40.284,12.8,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2018-03-03 09:05:49,0, ,39.9981,40.046,8.37,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2018-02-19 19:20:47,0, ,36.251,44.882,23.2,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2018-01-19 13:53:12,0, ,38.29,38.8178,9.17,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2018-01-14 11:56:18,0, ,39.5368,26.0538,10.24,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2018-01-11 13:17:31,0, ,36.7553,44.0856,41.78,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2018-01-06 19:45:10,0, ,40.5446,36.5975,15.81,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2018-01-05 04:33:17,0, ,37.1116,28.6075,13.31,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2018-01-04 04:53:55,0, ,39.3356,27.9778,4.71,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-12-31 20:12:02,0, ,40.5491,27.8495,13.79,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-12-25 05:13:50,0, ,38.5811,26.7285,17.91,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
0,2017-12-08 05:20:39,0, ,36.3141,27.6161,7.25,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-12-02 11:57:53,0, ,37.6413,44.9768,1.48,No,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA
0,2017-11-24 21:49:14,0, ,37.1146,28.6045,24.46,No,7,AFAD-DDA,Mw,5.1,7,AFAD-DDA
0,2017-11-24 12:00:43,0, ,35.967,27.171,28.11,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-11-22 20:22:51,0, ,37.1206,28.5921,24.75,No,7,AFAD-DDA,Mw,5.0,7,AFAD-DDA
0,2017-11-19 09:14:49,0, ,38.7583,26.3531,8.56,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-11-11 08:56:37,0, ,38.857,27.4725,18.09,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-11-07 02:40:33,0, ,36.3163,28.4438,41.89,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-11-04 21:54:09,0, ,36.7326,28.186999999999998,66.78,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-10-24 09:36:23,0, ,36.9508,27.3866,12.09,No,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA
0,2017-10-10 19:59:24,0, ,36.92,27.295,8.4,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-10-05 13:43:22,0, ,37.8671,29.5105,6.33,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-10-04 18:46:48,0, ,38.8105,43.4613,22.43,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-09-29 16:08:41,0, ,37.0441,30.6678,52.43,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-09-24 16:57:16,0, ,36.917,27.23,9.2,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-09-22 04:20:21,0, ,38.9458,26.2496,11.61,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-09-18 09:41:07,0, ,39.1863,43.623000000000005,4.31,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-09-16 08:33:55,0, ,37.1255,27.7191,11.28,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-09-16 08:12:41,0, ,39.4273,26.3946,13.27,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-09-08 23:23:33,0, ,37.1208,27.7283,6.98,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-09-01 16:48:34,0, ,36.0123,28.0248,61.98,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
0,2017-08-23 13:42:50,0, ,35.8675,44.7746,4.45,No,7,AFAD-DDA,Mw,5.2,7,AFAD-DDA
0,2017-08-18 14:10:47,0, ,36.9063,27.62,16.79,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-08-18 12:47:33,0, ,36.9051,27.645,9.12,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-08-18 04:30:01,0, ,37.571999999999996,37.5423,9.02,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-08-14 02:43:48,0, ,37.1208,27.699,6.92,No,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA
0,2017-08-13 16:35:22,0, ,37.1061,27.7338,7.0,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-08-13 12:28:14,0, ,37.1186,27.694000000000003,6.56,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-08-13 11:16:51,0, ,37.114000000000004,27.689,22.6,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
0,2017-08-10 15:19:26,0, ,39.9381,39.6228,12.1,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-08-09 22:56:18,0, ,36.9783,27.6608,13.74,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-08-09 20:14:08,0, ,39.3031,27.8866,13.08,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-08-08 07:42:21,0, ,36.9576,27.6236,11.03,No,7,AFAD-DDA,Mw,5.1,7,AFAD-DDA
0,2017-08-08 01:46:20,0, ,36.9738,27.6458,6.86,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-08-07 18:25:58,0, ,36.9905,27.6285,9.14,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-08-07 05:44:25,0, ,36.9616,27.6188,11.87,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-08-07 05:18:47,0, ,36.9951,27.6128,12.67,No,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA
0,2017-08-05 03:20:52,0, ,38.9431,26.6051,5.9,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-07-30 17:51:18,0, ,36.9601,27.6333,20.97,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-07-30 10:56:33,0, ,36.9913,27.6035,10.25,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-07-30 07:02:14,0, ,36.9956,27.5933,10.37,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-07-22 22:12:32,0, ,40.0158,27.1296,14.72,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-07-22 17:25:48,0, ,36.584,26.805999999999997,127.2,No,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA
0,2017-07-22 17:09:21,0, ,36.9143,27.3148,7.85,No,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA
0,2017-07-22 04:53:38,0, ,36.9,27.576,15.1,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-07-22 00:34:11,0, ,36.916,27.551,13.3,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-07-21 17:09:48,0, ,36.941,27.331999999999997,37.5,No,7,AFAD-DDA,Mw,5.0,7,AFAD-DDA
0,2017-07-21 09:55:53,0, ,36.91,27.678,14.7,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-07-21 05:52:13,0, ,36.9585,27.3845,11.1,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-07-21 05:13:59,0, ,36.9005,27.6475,7.61,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-07-21 05:05:23,0, ,36.8773,27.6468,6.99,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-07-21 05:03:59,0, ,36.9195,27.6128,1.43,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-07-21 03:59:01,0, ,36.909,27.5465,7.06,No,7,AFAD-DDA,ML,4.1,7,AFAD-DDA
0,2017-07-21 02:12:35,0, ,36.8685,27.4266,10.05,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-07-21 01:50:30,0, ,36.9726,27.4103,15.43,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-07-21 01:38:49,0, ,36.9143,27.5666,7.16,No,7,AFAD-DDA,ML,4.4,7,AFAD-DDA
0,2017-07-21 01:35:44,0, ,36.9128,27.5803,11.82,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-07-21 01:25:34,0, ,36.9533,27.3898,14.87,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-07-21 00:57:05,0, ,36.854,27.5661,0.0,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-07-21 00:53:43,0, ,36.7938,27.3108,50.66,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-07-21 00:16:41,0, ,37.0576,27.3166,19.03,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-07-20 23:23:50,0, ,36.9155,27.2738,5.04,No,7,AFAD-DDA,ML,4.5,7,AFAD-DDA
0,2017-07-20 23:00:43,0, ,36.9353,27.4058,2.52,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-07-20 22:54:34,0, ,36.926,27.575,6.97,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-07-20 22:52:58,0, ,36.8835,27.3731,14.57,No,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA
0,2017-07-20 22:48:28,0, ,36.9136,27.3833,18.79,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-07-20 22:37:37,0, ,36.8576,27.656,7.43,No,7,AFAD-DDA,ML,4.0,7,AFAD-DDA
0,2017-07-20 22:31:12,0, ,36.974000000000004,27.523000000000003,7.8,No,7,AFAD-DDA,Mw,6.3,7,AFAD-DDA
0,2017-07-19 04:42:50,0, ,38.7615,27.8196,11.36,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-07-05 07:26:05,0, ,38.6205,27.62,10.26,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-07-04 06:21:11,0, ,40.8616,43.8625,24.33,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-06-26 05:54:53,0, ,38.801,26.456999999999997,16.73,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-06-22 08:56:33,0, ,38.6325,27.5446,16.53,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-06-22 02:48:52,0, ,38.8216,26.453000000000003,13.5,No,7,AFAD-DDA,Mw,5.0,7,AFAD-DDA
0,2017-06-17 19:50:04,0, ,38.8381,26.436,10.25,No,7,AFAD-DDA,Mw,5.3,7,AFAD-DDA
0,2017-06-17 19:33:32,0, ,38.8185,26.4366,12.43,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-06-17 03:40:37,0, ,38.906,26.2196,12.35,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-06-16 13:25:50,0, ,38.7918,26.3946,18.38,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-06-15 10:37:04,0, ,38.8956,26.2635,13.79,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-06-14 04:35:54,0, ,38.8613,26.3925,11.78,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-06-13 03:19:58,0, ,38.8465,26.4233,7.09,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-06-12 18:25:40,0, ,38.876,26.2961,12.53,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-06-12 16:30:15,0, ,38.8673,26.3866,12.29,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-06-12 15:25:01,0, ,38.8608,26.377,6.97,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-06-12 14:19:47,0, ,38.8548,26.3601,12.42,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-06-12 12:47:25,0, ,38.879,26.4085,7.05,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-06-12 12:35:33,0, ,38.863,26.3766,4.78,No,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA
0,2017-06-12 12:32:54,0, ,38.8051,26.3345,7.02,No,7,AFAD-DDA,ML,4.0,7,AFAD-DDA
0,2017-06-12 12:31:39,0, ,38.884,26.2835,7.0,No,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA
0,2017-06-12 12:28:37,0, ,38.8511,26.2565,6.96,No,7,AFAD-DDA,Mw,6.2,7,AFAD-DDA
0,2017-05-28 11:04:59,0, ,38.735,27.7955,7.21,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
0,2017-05-28 08:49:48,0, ,38.7331,27.801,7.1,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-05-28 07:34:01,0, ,38.7786,27.7755,7.21,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-05-28 04:38:19,0, ,38.7365,27.805999999999997,9.78,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-05-28 02:52:55,0, ,38.7115,27.7956,6.9,No,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA
0,2017-05-28 02:50:25,0, ,38.7185,27.7843,8.64,No,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA
0,2017-05-28 02:16:41,0, ,38.7436,27.8468,4.44,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-05-28 02:14:59,0, ,38.7386,27.8025,9.17,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-05-27 15:53:23,0, ,38.7358,27.8156,11.03,No,7,AFAD-DDA,Mw,5.1,7,AFAD-DDA
0,2017-05-20 11:06:14,0, ,35.702,27.5801,7.6,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-05-20 11:05:00,0, ,39.7691,39.4771,10.06,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-05-17 11:30:32,0, ,36.0603,27.4441,26.21,No,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA
0,2017-05-12 05:55:44,0, ,37.8695,27.1431,7.05,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-05-11 17:58:02,0, ,40.0566,40.705,6.41,No,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA
0,2017-05-08 08:47:19,0, ,37.8695,27.1403,5.08,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-05-03 23:57:12,0, ,36.5748,43.45,21.35,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-05-03 13:53:26,0, ,35.7261,26.7788,8.19,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-05-02 22:47:31,0, ,35.7701,26.744,8.38,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-05-01 18:09:05,0, ,38.2635,42.9258,11.66,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-05-01 16:30:40,0, ,38.2651,42.9285,12.44,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-04-21 14:12:21,0, ,38.6313,27.5873,13.2,No,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA
0,2017-04-21 13:09:20,0, ,38.7923,29.0526,5.71,No,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA
0,2017-04-20 14:11:24,0, ,39.3975,28.463,10.59,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-04-19 11:23:11,0, ,38.635999999999996,27.6258,21.92,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-04-18 22:40:54,0, ,37.5431,42.6735,14.16,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-04-13 16:22:16,0, ,37.1533,28.647,11.33,No,7,AFAD-DDA,Mw,5.0,7,AFAD-DDA
0,2017-04-08 21:30:59,0, ,38.708,43.5396,14.54,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-04-04 13:00:37,0, ,38.6271,27.5836,18.4,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-04-03 09:05:41,0, ,38.4801,31.7975,13.84,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-04-02 05:32:42,0, ,38.6275,27.5718,12.56,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-03-29 18:10:43,0, ,38.2003,31.0575,14.87,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-03-28 21:53:30,0, ,38.2868,37.1816,12.0,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-03-24 15:19:06,0, ,39.5541,26.1126,9.65,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-03-24 08:54:24,0, ,40.0175,42.2395,7.08,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-03-20 14:39:44,0, ,38.6226,39.7938,16.6,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-03-20 07:00:18,0, ,39.5446,26.1765,4.6,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-03-15 23:29:46,0, ,35.9203,27.5306,26.56,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-03-10 22:23:42,0, ,37.578,38.5076,9.34,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-03-08 20:09:58,0, ,39.965,27.6536,15.03,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-03-02 17:03:02,0, ,37.578,38.4998,7.71,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-03-02 11:18:16,0, ,37.5823,38.4915,6.94,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-03-02 11:16:54,0, ,37.5833,38.4873,7.58,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-03-02 11:07:25,0, ,37.5955,38.4866,9.76,No,7,AFAD-DDA,Mw,5.5,7,AFAD-DDA
0,2017-02-28 23:27:34,0, ,39.492,26.0968,10.71,No,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA
0,2017-02-27 22:52:23,0, ,39.4975,26.0835,10.47,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-02-25 21:06:04,0, ,37.0066,36.0965,3.75,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-02-23 01:55:14,0, ,39.5486,26.1225,9.48,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-02-19 17:36:42,0, ,37.5161,42.6993,14.97,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-02-17 23:00:58,0, ,36.3736,41.2923,15.54,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-02-16 00:19:00,0, ,39.5178,26.0885,12.3,No,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA
0,2017-02-12 13:48:16,0, ,39.5336,26.17,7.0,No,7,AFAD-DDA,Mw,5.3,7,AFAD-DDA
0,2017-02-12 12:14:50,0, ,39.5496,26.1183,5.42,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-02-10 16:15:47,0, ,37.4885,35.6898,7.48,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-02-10 12:27:31,0, ,39.777,42.5345,4.5,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-02-10 08:55:26,0, ,39.5236,26.1946,7.01,No,7,AFAD-DDA,ML,5.0,7,AFAD-DDA
0,2017-02-09 10:13:10,0, ,39.5415,26.1036,11.17,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-02-08 02:16:14,0, ,39.5333,26.1775,5.29,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-02-08 01:38:04,0, ,39.5256,26.1916,3.92,No,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA
0,2017-02-07 22:53:30,0, ,39.5243,26.1065,10.63,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-02-07 21:35:00,0, ,39.5163,26.177,5.63,No,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA
0,2017-02-07 21:00:54,0, ,39.5326,26.1705,6.08,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-02-07 05:17:09,0, ,39.5313,26.1865,3.95,No,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA
0,2017-02-07 05:15:51,0, ,39.52,26.1555,8.8,No,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA
0,2017-02-07 02:24:04,0, ,39.5205,26.151,6.24,No,7,AFAD-DDA,Mw,5.2,7,AFAD-DDA
0,2017-02-06 11:45:01,0, ,39.5366,26.1183,9.35,No,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA
0,2017-02-06 10:58:02,0, ,39.5303,26.1351,8.72,No,7,AFAD-DDA,Mw,5.3,7,AFAD-DDA
0,2017-02-06 04:17:29,0, ,39.5333,26.1288,6.66,No,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA
0,2017-02-06 03:51:40,0, ,39.5495,26.136999999999997,14.16,No,7,AFAD-DDA,Mw,5.3,7,AFAD-DDA
