Member_number,Date,itemDescription
2453,21/12/2015,yogurt
1746,15/2/2015,Instant food products
3572,9/6/2015,specialty chocolate
3246,24/6/2015,coffee
3207,26/11/2015,bottled beer
1042,12/2/2015,beef
1176,30/3/2015,whole milk
3054,23/2/2015,frankfurter
4486,2/12/2015,frankfurter
1580,5/12/2015,other vegetables
1623,2/11/2015,frankfurter
4169,24/11/2015,whole milk
2254,24/1/2015,frankfurter
4095,1/11/2015,other vegetables
1264,17/11/2015,bottled water
3375,6/1/2015,pork
3242,23/5/2015,bottled water
2227,7/6/2015,other vegetables
3847,3/12/2015,hamburger meat
3897,31/5/2015,hamburger meat
1799,27/9/2015,shopping bags
2920,26/4/2015,whole milk
3713,31/1/2015,ice cream
4230,5/11/2015,pastry
1455,18/3/2015,ham
3687,18/3/2015,frankfurter
3869,1/8/2015,sausage
2988,14/10/2015,bottled beer
4242,30/3/2015,bottled water
4118,24/12/2015,meat
4996,24/10/2015,dessert
4489,4/3/2015,other vegetables
1199,9/11/2015,beverages
4108,12/5/2015,ham
3484,5/6/2015,specialty bar
1239,31/8/2015,brown bread
4839,19/12/2015,whole milk
4748,7/5/2015,rolls/buns
4426,6/6/2015,bottled beer
3571,11/12/2015,pet care
2852,8/6/2015,citrus fruit
3638,26/5/2015,pork
3635,10/3/2015,other vegetables
2723,7/5/2015,white wine
3495,11/3/2015,whole milk
2813,16/11/2015,pip fruit
2799,2/9/2015,sugar
4723,22/5/2015,tropical fruit
3313,8/4/2015,root vegetables
4748,15/12/2015,soda
2991,16/2/2015,whole milk
1483,1/4/2015,tropical fruit
3950,1/10/2015,white bread
1634,16/1/2015,brown bread
2694,21/11/2015,tropical fruit
2707,18/10/2015,domestic eggs
2813,16/7/2015,coffee
2276,11/1/2015,soda
4726,6/2/2015,whole milk
4353,25/5/2015,bottled beer
4017,13/8/2015,pork
1422,21/8/2015,other vegetables
2714,15/3/2015,yogurt
2769,21/7/2015,sparkling wine
4166,30/4/2015,bottled water
3614,2/3/2015,citrus fruit
4361,5/9/2015,hamburger meat
1922,22/9/2015,packaged fruit/vegetables
4728,6/9/2015,other vegetables
3646,8/8/2015,soda
1155,10/8/2015,whole milk
2119,11/6/2015,herbs
1602,29/8/2015,citrus fruit
1074,24/6/2015,misc. beverages
2256,11/4/2015,female sanitary products
1348,17/9/2015,soda
3806,28/8/2015,tropical fruit
1711,6/6/2015,soda
3959,12/4/2015,white bread
1590,15/8/2015,coffee
1962,8/6/2015,tropical fruit
1766,21/1/2015,pork
2551,21/10/2015,citrus fruit
2294,23/9/2015,frankfurter
4531,29/5/2015,frankfurter
2957,12/4/2015,frankfurter
4415,27/1/2015,other vegetables
1476,26/8/2015,yogurt
3978,23/7/2015,sausage
2062,22/9/2015,whole milk
3252,28/6/2015,pip fruit
3922,24/6/2015,whole milk
1491,17/10/2015,root vegetables
3526,26/8/2015,onions
4060,11/12/2015,specialty chocolate
1067,8/4/2015,hamburger meat
2840,27/1/2015,photo/film
4484,27/11/2015,rolls/buns
2353,7/2/2015,canned beer
3130,18/2/2015,canned beer
4273,14/6/2015,other vegetables
4565,30/12/2015,canned beer
2504,14/8/2015,curd
4127,23/10/2015,butter
2690,1/4/2015,other vegetables
4129,22/9/2015,whole milk
4511,29/6/2015,beef
1602,4/8/2015,sausage
4369,1/2/2015,soda
1302,29/9/2015,fruit/vegetable juice
3326,30/4/2015,rolls/buns
2066,21/5/2015,pip fruit
3483,15/1/2015,frozen vegetables
2840,12/2/2015,beverages
1807,18/5/2015,hamburger meat
2067,12/8/2015,root vegetables
3783,17/2/2015,canned beer
2884,4/1/2015,frozen vegetables
2908,15/3/2015,canned beer
1330,10/7/2015,newspapers
2293,8/5/2015,rolls/buns
3718,20/5/2015,hamburger meat
4338,25/1/2015,pip fruit
3486,8/11/2015,canned beer
3635,4/9/2015,grapes
2857,18/2/2015,root vegetables
3684,13/8/2015,citrus fruit
3120,20/10/2015,cling film/bags
3872,19/3/2015,frankfurter
2777,7/4/2015,whole milk
2702,27/5/2015,pork
4796,29/6/2015,chicken
1564,23/10/2015,sausage
2740,2/7/2015,specialty bar
1833,13/4/2015,whipped/sour cream
1757,23/12/2015,root vegetables
2975,24/10/2015,rolls/buns
4032,10/8/2015,other vegetables
3979,16/9/2015,citrus fruit
3772,9/3/2015,whole milk
4523,28/10/2015,frankfurter
4004,19/4/2015,coffee
2936,8/6/2015,ham
2394,21/6/2015,canned beer
4616,16/8/2015,canned beer
2362,8/7/2015,canned beer
3593,3/11/2015,pip fruit
4389,27/8/2015,pork
3206,11/8/2015,soap
4601,4/1/2015,pip fruit
4382,13/11/2015,beef
2718,8/6/2015,sausage
4691,12/10/2015,frozen chicken
3735,28/11/2015,soda
3900,20/12/2015,tropical fruit
4959,30/6/2015,other vegetables
1815,30/8/2015,beef
2454,8/4/2015,meat
4778,15/1/2015,meat
2289,4/11/2015,bottled water
1734,13/7/2015,rolls/buns
4019,5/2/2015,pastry
4605,28/5/2015,pork
4864,14/11/2015,pip fruit
4205,22/2/2015,beef
1862,3/8/2015,beef
1846,19/7/2015,rolls/buns
2019,28/5/2015,citrus fruit
2042,19/11/2015,meat
1768,26/5/2015,beverages
3847,26/3/2015,beef
3557,20/7/2015,ham
3975,27/2/2015,hamburger meat
4198,18/3/2015,beef
2580,4/9/2015,beef
3474,25/8/2015,root vegetables
1678,14/11/2015,citrus fruit
4254,14/8/2015,yogurt
4704,21/8/2015,tropical fruit
3343,10/5/2015,frankfurter
3812,24/6/2015,beef
3093,13/3/2015,shopping bags
2170,18/6/2015,canned beer
4867,29/10/2015,rolls/buns
3899,23/3/2015,other vegetables
2941,3/10/2015,hamburger meat
1958,3/7/2015,hamburger meat
2760,8/8/2015,frankfurter
4413,3/8/2015,bottled beer
1737,15/5/2015,tropical fruit
4202,18/2/2015,soda
1065,13/11/2015,frankfurter
3819,28/6/2015,chicken
2854,8/2/2015,coffee
4387,16/9/2015,whole milk
4530,12/4/2015,margarine
4191,3/11/2015,tropical fruit
3102,4/12/2015,meat
1946,25/1/2015,cream cheese 
2156,15/5/2015,newspapers
1444,16/12/2015,rolls/buns
1699,14/5/2015,citrus fruit
4954,4/5/2015,whole milk
2207,8/4/2015,frankfurter
4826,28/1/2015,ham
2374,8/6/2015,frankfurter
1604,18/8/2015,sausage
4437,29/11/2015,domestic eggs
2319,10/5/2015,whole milk
3018,27/6/2015,rolls/buns
1195,28/9/2015,whole milk
1768,4/9/2015,sausage
3017,28/9/2015,curd
3384,29/11/2015,bottled water
1918,30/1/2015,beef
2524,17/10/2015,frankfurter
2798,17/6/2015,chicken
2096,25/1/2015,sausage
1489,13/3/2015,pork
1431,20/7/2015,yogurt
2747,5/7/2015,whole milk
3054,22/3/2015,frankfurter
2691,9/10/2015,beef
1752,19/4/2015,pip fruit
3027,15/9/2015,sausage
4452,17/6/2015,pastry
4129,13/8/2015,chicken
3523,9/11/2015,root vegetables
2128,11/2/2015,whole milk
4867,3/2/2015,detergent
4762,30/10/2015,rolls/buns
1632,29/5/2015,house keeping products
4018,17/11/2015,yogurt
1722,13/7/2015,tropical fruit
1438,19/10/2015,tropical fruit
3958,27/10/2015,curd
3292,13/9/2015,beef
2861,23/2/2015,whole milk
1757,24/2/2015,pork
1509,30/12/2015,other vegetables
2364,11/5/2015,rolls/buns
3084,26/10/2015,frankfurter
1850,17/2/2015,yogurt
1949,17/3/2015,whole milk
4740,2/10/2015,bottled water
1072,23/10/2015,frankfurter
4196,9/7/2015,rolls/buns
4814,13/9/2015,whole milk
1514,28/2/2015,rolls/buns
4584,25/10/2015,chicken
2751,3/2/2015,tropical fruit
4155,24/9/2015,sausage
4670,11/10/2015,sausage
4566,27/7/2015,frankfurter
2371,30/8/2015,UHT-milk
3442,14/11/2015,rolls/buns
3090,27/9/2015,canned beer
1457,9/1/2015,yogurt
4952,8/4/2015,whipped/sour cream
3165,11/1/2015,rolls/buns
2608,19/9/2015,rolls/buns
2040,7/10/2015,beverages
1327,9/8/2015,rolls/buns
3363,7/1/2015,rolls/buns
1731,9/9/2015,bottled beer
2760,2/8/2015,citrus fruit
3120,14/1/2015,bottled water
1332,30/4/2015,pastry
4530,12/9/2015,domestic eggs
3145,23/2/2015,beef
1099,13/8/2015,spread cheese
3188,6/12/2015,tropical fruit
3748,13/10/2015,packaged fruit/vegetables
4655,31/3/2015,whole milk
1827,1/5/2015,meat
2485,17/2/2015,onions
4683,15/1/2015,frankfurter
4358,6/11/2015,beef
1931,9/10/2015,beef
2490,18/12/2015,sausage
4842,8/12/2015,chicken
4616,1/1/2015,canned beer
2810,22/9/2015,sausage
2785,18/10/2015,tropical fruit
3591,20/7/2015,frankfurter
3896,10/9/2015,sausage
3842,1/7/2015,beef
2648,10/7/2015,tropical fruit
4688,2/10/2015,yogurt
3511,26/8/2015,frankfurter
3084,4/9/2015,bottled beer
3810,7/5/2015,grapes
4348,26/2/2015,beverages
3584,10/3/2015,curd
2620,11/6/2015,ice cream
2716,18/1/2015,sausage
3797,10/8/2015,other vegetables
2976,2/6/2015,dessert
2762,7/11/2015,decalcifier
3752,25/4/2015,canned beer
1659,30/11/2015,coffee
4109,8/2/2015,berries
1542,7/8/2015,pork
2068,7/6/2015,frankfurter
4509,14/6/2015,pork
4646,14/6/2015,frankfurter
2122,7/4/2015,frozen dessert
2730,15/6/2015,chicken
1800,31/7/2015,vinegar
1456,18/9/2015,rolls/buns
1138,2/9/2015,whole milk
4104,12/6/2015,pork
4985,28/2/2015,rolls/buns
3181,13/12/2015,grapes
3178,21/10/2015,frankfurter
1688,10/11/2015,finished products
1488,28/11/2015,onions
4975,8/5/2015,tropical fruit
4697,9/1/2015,other vegetables
4742,11/1/2015,ham
2640,22/4/2015,other vegetables
2548,25/12/2015,curd
2825,29/12/2015,sausage
2592,4/7/2015,canned beer
3622,28/12/2015,ham
4852,21/8/2015,packaged fruit/vegetables
1839,3/9/2015,meat
2413,4/4/2015,whole milk
2982,14/6/2015,canned beer
1981,31/10/2015,chicken
4440,21/9/2015,rolls/buns
3497,24/11/2015,pet care
3668,18/12/2015,root vegetables
4460,28/5/2015,pastry
1335,16/1/2015,frankfurter
4303,7/12/2015,chicken
3508,28/2/2015,frozen dessert
1959,19/3/2015,citrus fruit
3856,6/3/2015,sausage
3141,29/7/2015,root vegetables
4640,25/9/2015,root vegetables
4851,25/5/2015,bottled beer
3306,22/9/2015,frankfurter
2193,8/4/2015,root vegetables
1156,13/9/2015,berries
4596,8/4/2015,hamburger meat
1245,8/10/2015,tropical fruit
1515,5/7/2015,frankfurter
2564,14/7/2015,frankfurter
4527,18/10/2015,soda
2487,9/7/2015,ice cream
3420,27/2/2015,beef
4442,28/11/2015,whole milk
3164,30/4/2015,pork
3601,1/4/2015,whole milk
3176,25/5/2015,bottled beer
2568,22/7/2015,pork
1856,26/10/2015,root vegetables
3859,30/9/2015,canned beer
1668,21/8/2015,citrus fruit
4499,23/8/2015,pip fruit
1753,21/8/2015,root vegetables
3829,25/6/2015,tropical fruit
4825,8/1/2015,beef
3694,10/11/2015,chicken
4147,2/1/2015,citrus fruit
2196,9/10/2015,meat
2229,22/5/2015,cream cheese 
4724,3/9/2015,citrus fruit
3066,11/10/2015,specialty bar
1120,8/6/2015,meat
4769,22/8/2015,citrus fruit
4711,17/9/2015,frankfurter
2391,22/6/2015,citrus fruit
1216,4/3/2015,turkey
3154,14/5/2015,citrus fruit
3911,30/7/2015,sausage
3111,15/10/2015,newspapers
1385,26/11/2015,whole milk
1158,21/3/2015,yogurt
2733,22/7/2015,yogurt
4999,26/12/2015,bottled water
2882,12/6/2015,berries
2590,25/6/2015,packaged fruit/vegetables
4249,4/8/2015,frankfurter
3012,3/5/2015,nuts/prunes
1533,7/11/2015,citrus fruit
1667,12/1/2015,beef
4323,13/5/2015,whole milk
2087,22/2/2015,other vegetables
1853,31/5/2015,beef
2157,29/10/2015,fish
1136,29/10/2015,other vegetables
2049,7/10/2015,tropical fruit
3122,2/5/2015,coffee
2245,15/5/2015,sausage
4746,18/10/2015,meat
4224,24/2/2015,chicken
4219,19/3/2015,berries
2641,1/1/2015,frozen meals
3173,25/7/2015,whipped/sour cream
2191,19/10/2015,beef
4212,7/4/2015,chicken
1902,1/12/2015,chicken
1347,27/3/2015,beef
1578,23/6/2015,packaged fruit/vegetables
1264,23/11/2015,sugar
4632,30/9/2015,frankfurter
3452,1/11/2015,berries
4822,10/2/2015,bottled water
3987,18/6/2015,sausage
1672,7/10/2015,whole milk
4864,1/12/2015,ice cream
3368,9/3/2015,frankfurter
1283,22/9/2015,root vegetables
4428,28/6/2015,sausage
2577,25/10/2015,sausage
1973,24/10/2015,beef
3284,23/1/2015,fruit/vegetable juice
1905,19/5/2015,sugar
2226,9/3/2015,berries
1932,4/9/2015,yogurt
4506,11/8/2015,pork
1843,27/11/2015,bottled beer
3973,27/7/2015,curd
1651,28/7/2015,beef
3997,12/10/2015,pork
4796,25/8/2015,white bread
1245,24/9/2015,grapes
3579,17/8/2015,potato products
4387,10/2/2015,root vegetables
2496,29/6/2015,chicken
3590,28/3/2015,chicken
2890,26/4/2015,fish
1401,27/1/2015,canned beer
3297,21/5/2015,other vegetables
2867,23/12/2015,chicken
1365,20/5/2015,other vegetables
2355,24/7/2015,tropical fruit
1170,19/3/2015,whole milk
3554,21/3/2015,beef
4171,26/1/2015,sausage
3963,17/9/2015,whole milk
3076,8/12/2015,rolls/buns
1629,17/5/2015,citrus fruit
1366,30/5/2015,whole milk
3677,29/7/2015,pastry
2844,21/5/2015,tropical fruit
4509,28/9/2015,sliced cheese
3245,11/5/2015,soda
2294,22/6/2015,ham
1234,20/11/2015,salty snack
3001,24/12/2015,whole milk
3587,5/8/2015,root vegetables
2700,22/1/2015,soda
3838,14/12/2015,curd
4045,22/12/2015,bottled water
1858,25/4/2015,packaged fruit/vegetables
2280,11/1/2015,tropical fruit
2454,6/4/2015,ham
4437,9/10/2015,pork
1685,30/3/2015,beverages
