RANK,CHAIN,"2020 U.S. Sales ($000,000)",YOY SALES CHANGE,2020 U.S. UNITS,YOY UNIT CHANGE,SEGMENT,MENU CATEGORY
54,Marco's Pizza,$760,21.00%,954,4.30%,Quick Service,Pizza
55,Church's Chicken,$742,-14.80%,920,-9.80%,Quick Service,Chicken
56,Waffle House,$736,-36.00%,"1,960",0.10%,Midscale,Family Style
57,Krispy Kreme,$733,4.50%,365,1.40%,Quick Service,Other Beverage/snack
58,Tropical Smoothie Cafe,$690,19.70%,914,9.60%,Quick Service,Other Beverage/snack
59,TGI Fridays,$672,-38.00%,340,-11.70%,Casual Dining,Varied Menu
60,Golden Corral,$663,-62.00%,440,-8.90%,Quick Service,All Other
61,Freddy's Frozen Custard & Steakburgers,$643,20.00%,388,5.40%,Fast Casual,Burger
62,McAlister's Deli,$625,-13.00%,481,2.60%,Fast Casual,Sandwich
63,Baskin-Robbins,$620,0.80%,"2,419",-4.20%,Quick Service,Frozen Desserts
64,Hooters,$605,-29.50%,340,-0.30%,Casual Dining,Sports Bar
65,P.F. Chang's,$601,-34.50%,214,-3.20%,Casual Dining,Asian
66,Dutch Bros Coffee,$584,3.00%,410,11.10%,Quick Service,Coffee Café
67,White Castle,$583,0.50%,361,-2.70%,Quick Service,Burger
68,Moe's Southwest Grill,$561,-23.30%,681,-5.70%,Fast Casual,Mexican
69,Checkers Drive-In Restaurants,$546,0.50%,570,-2.70%,Quick Service,Burger
70,Captain D's Seafood Kitchen,$544,-3.20%,534,-1.10%,Quick Service,"	All Other"
71,Shake Shack,$535,-14.00%,205,10.80%,Fast Casual,Burger
72,Carrabba's Italian Grill,$529,-19.00%,220,-2.20%,Casual Dining,"	Italian/Pizza"
73,Tim Hortons,"	$511",-22.20%,630,-4.00%,Quick Service,Coffee Café
74,Cheddar's Scratch Kitchen,$493,-32.00%,171,-2.30%,Casual Dining,Varied Menu
75,Smoothie King,$483,4.70%,"1,007",3.60%,Quick Service,Other Beverage/snack
76,Noodles & Company,$465,-13.00%,454,-0.70%,Fast Casual,Asian/Noodle
77,The Habit Burger Grill,$465,-5.30%,278,5.30%,Fast Casual,Burger
78,MOD Pizza,$461,-4.70%,490,4.90%,Fast Casual,Pizza
79,Jack's,$460,3.30%,192,9.10%,Quick Service,Burger
80,Portillo's,$455,-7.30%,64,3.20%,Fast Casual,Sandwich
81,Hungry Howie's Pizza,$442,14.50%,537,0.00%,Quick Service,Pizza
82,Bob Evans,$440,-42.50%,451,-5.10%,Midscale,Family Style
83,Round Table Pizza,$439,2.80%,414,-3.30%,Quick Service,Pizza
84,Charleys Philly Steaks,$432,-5.00%,560,2.00%,Quick Service,Sandwich
85,Ruth's Chris Steak House,$429,-39.00%,128,-5.20%,Fine Dining,Steak
86,Yard House,$427,-30.00%,81,2.50%,Casual Dining,Varied Menu
87,Einstein Bros. Bagels,$426,-21.50%,707,-3.00%,Fast Casual,Sandwich
88,First Watch,$424,-24.00%,410,11.40%,Midscale,Family Style
89,California Pizza Kitchen,$419,-35.00%,173,-13.10%,Casual Dining,Italian/Pizza
90,Jamba,$418,-15.70%,791,1.50%,Quick Service,Other Beverage/snack
91,Jason's Deli,$405,-37.40%,252,-11.00%,Fast Casual,Sandwich
92,Bonefish Grill,$404,-31.10%,187,-5.10%,Casual Dining,Seafood
93,Taco John's,$388,4.70%,389,0.50%,"	Quick Service",Mexican
94,Boston Market,$381,-24.10%,342,-13.00%,Fast Casual,Chicken
95,Pollo Tropical,$368,-13.50%,167,-4.00%,Fast Casual,Chicken
96,Auntie Anne's,$350,-37.90%,"1,197",-1.20%,Quick Service,Other Beverage/snack
97,Cold Stone Creamery,$348,-6.70%,865,-3.70%,Quick Service,Frozen Desserts
98,Jet's Pizza,$343,3.50%,383,0.00%,Quick Service,Pizza
99,Maggiano's Little Italy,$338,-19.10%,53,0.00%,Casual Dining,Italian/Pizza
100,The Capital Grille,$337,-27.00%,60,3.40%,Fast Casual,Steak
