Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
CSX, CSX Corporation, 69.34, 0.48,0.7, 2865798, .4,
CTRP, Ctrip.com International Ltd., 35.255, 1.975,5.93, 2898766, .8,
XRAY, DENTSPLY SIRONA Inc., 35.28, 0.65,1.88, 1662913, .1,
DLTR, Dollar Tree Inc., 85.29, 0.99,1.17, 879352, .2,
EBAY, eBay Inc., 29.52, 0.49,1.69, 11080301, .4,
EA, Electronic Arts Inc., 94.49, 3.51,3.86, 3559697, .9,
EXPE, Expedia Group Inc., 127.65, 2.22,1.77, 768211, .3,
ESRX, Express Scripts Holding Company, 96.16, -0.81,-0.84, 1692124, -.4,
FB, Facebook Inc., 151.5172, -0.2728,-0.18, 15284578, -.6,
FAST, Fastenal Company, 51.68, 0.27,0.53, 1454305, .1,
FISV, Fiserv Inc., 76.01, -3.29,-4.15, 2901114, -1.2,
GILD, Gilead Sciences Inc., 69.8442, 1.6642,2.44, 4347737, 1.9,
HAS, Hasbro Inc., 96.96, 5.25,5.72, 993770, .6,
HSIC, Henry Schein Inc., 84, 1,1.2, 489786, .1,
HOLX, Hologic Inc., 39.95, 0.96,2.46, 583039, .2,
IDXX, IDEXX Laboratories Inc., 206.17, -5.95,-2.81, 987759, -.5,
ILMN, Illumina Inc., 310.21, -0.94,-0.3, 511467, -.1,
INCY, Incyte Corporation, 68.68, 3.86,5.95, 814488, .7,
INTC, Intel Corporation, 48.2322, 1.3522,2.88, 15866309, 5.4,
INTU, Intuit Inc., 211.29, 0.29,0.14, 621191, .1,
ISRG, Intuitive Surgical Inc., 513.2363, -7.9437,-1.52, 514471, -.8,
JBHT, J.B. Hunt Transport Services Inc., 111.365, 0.755,0.68, 344106, .1,
JD, JD.com Inc., 25.47, 1.95,8.29, 17344607, 1.6,
KLAC, KLA-Tencor Corporation, 94.38, 2.84,3.1, 1116928, .4,
LRCX, Lam Research Corporation, 150.38, 8.65,6.1, 2899022, 1.2,
LBTYA, Liberty Global plc, 25.605, -0.025,-0.1, 1057498, .0,
LBTYK, Liberty Global plc, 25.07, 0.03,0.12, 1332944, .0,
MAR, Marriott International, 120.22, 3.33,2.85, 1109930, 1.0,
MXIM, Maxim Integrated Products Inc., 52.78, 2.76,5.52, 2606031, .7,
MELI, MercadoLibre Inc., 335.31, 10.81,3.33, 346387, .4,
MCHP, Microchip Technology Incorporated, 69.76, 3.98,6.05, 2801152, .8,
MU, Micron Technology Inc., 39.815, 2.095,5.55, 29164365, 2.1,
MSFT, Microsoft Corporation, 106.35, -0.46,-0.43, 17496835, -3.1,
MDLZ, Mondelez International Inc., 42.51, 0.53,1.26, 5303608, .7,
MNST, Monster Beverage Corporation, 54.14, 1.29,2.44, 1372577, .6,
MYL, Mylan N.V., 32.4, 1.15,3.68, 2049213, .5,
NTES, NetEase Inc., 221.66, 13.81,6.64, 657041, .9,
NFLX, Netflix Inc., 314.5, 12.72,4.21, 8884198, 4.8,
NVDA, NVIDIA Corporation, 217.26, 6.43,3.05, 9882073, 3.4,
ORLY, O'Reilly Automotive Inc., 323.86, 3.11,0.97, 501772, .2,
PCAR, PACCAR Inc., 59.23, 2.02,3.53, 1177923, .6,
PAYX, Paychex Inc., 65.11, -0.38,-0.58, 910675, -.1,
PYPL, PayPal Holdings Inc., 84.86, 0.67,0.8, 2870108, .7,
PEP, Pepsico Inc., 112.45, 0.07,0.06, 1764079, .1,
QCOM, QUALCOMM Incorporated, 64, 1.11,1.76, 5330666, 1.4,
QRTEA, Qurate Retail Inc., 22.765, 0.825,3.76, 974483, .3,
REGN, Regeneron Pharmaceuticals Inc., 354.45, 15.21,4.48, 373086, 1.4,
ROST, Ross Stores Inc., 98.7, -0.3,-0.3, 1080084, -.1,
STX, Seagate Technology PLC, 42.35, 2.12,5.27, 3312654, .5,
SHPG, Shire plc, 178.93, -2.87,-1.58, 835894, -.2,
SIRI, Sirius XM Holdings Inc., 6.07, 0.05,0.83, 12125217, .2,
SWKS, Skyworks Solutions Inc., 89.85, 3.09,3.56, 731847, .5,
SBUX, Starbucks Corporation, 58.85, 0.58,1, 7209815, .7,
SYMC, Symantec Corporation, 18.48, 0.33,1.82, 4395244, .2,
SNPS, Synopsys Inc., 89.9, 0.37,0.41, 409875, .1,
TMUS, T-Mobile US Inc., 69, 0.45,0.66, 2003622, .3,
TTWO, Take-Two Interactive Software Inc., 127.6453, -1.2247,-0.95, 1033603, -.1,
TSLA, Tesla Inc., 346.19, 8.87,2.63, 5306959, 1.3,
TXN, Texas Instruments Incorporated, 96.957, 4.127,4.45, 5856866, 3.5,
KHC, The Kraft Heinz Company, 55.755, 0.785,1.43, 3100851, .8,
FOX, Twenty-First Century Fox Inc., 46.235, 1.055,2.34, 3785460, .7,
FOXA, Twenty-First Century Fox Inc., 46.59, 1.07,2.35, 9153340, 1.0,
ULTA, Ulta Beauty Inc., 275.01, 0.49,0.18, 371987, .0,
VRSK, Verisk Analytics Inc., 117.45, -2.39,-1.99, 639365, -.3,
VRTX, Vertex Pharmaceuticals Incorporated, 173.11, 3.65,2.15, 559047, .8,
VOD, Vodafone Group Plc, 19.79, 0.86,4.54, 3752085, .4,
WBA, Walgreens Boots Alliance Inc., 79.48, -0.29,-0.36, 3086590, -.3,
WDC, Western Digital Corporation, 47.02, 3.95,9.17, 5161766, 1.0,
WDAY, Workday Inc., 135.93, 2.91,2.19, 816013, .4,
WYNN, Wynn Resorts Limited, 112.515, 11.915,11.84, 3412006, 1.1,
XLNX, Xilinx Inc., 87.01, 1.64,1.92, 2415475, .4,
