"Date" "Food.Price.Index" "Meat" "Dairy" "Cereals" "Oils" "Sugar"
"30" "01/06/1992" 65.6 78 57.7 61.8 54.82 64.1
"31" "01/07/1992" 64.4 78.6 58.1 58.5 51.93 63.8
"32" "01/08/1992" 62.8 77.5 56.6 56.1 51.02 60.8
"33" "01/09/1992" 63.5 77.1 58.1 58.3 52.2 57.6
"34" "01/10/1992" 61.5 73.5 54.9 58.2 52.22 53.9
"35" "01/11/1992" 62.4 75.5 53.8 58.8 53.88 53
"36" "01/12/1992" 61 72.8 53.2 58.5 53 50.4
"37" "01/01/1993" 61.3 72.6 53.3 59.1 53.98 51
"38" "01/02/1993" 61.2 72.1 54 58.1 54.24 53
"39" "01/03/1993" 62.9 75.7 53.3 57.8 53.05 65.7
"40" "01/04/1993" 62.5 74.8 52.4 57.3 52.83 69
"41" "01/05/1993" 62 74.9 51.7 55.4 51.9 73.2
"42" "01/06/1993" 61.5 77.6 51.8 52.8 51.24 64.3
"43" "01/07/1993" 61.9 77 49.7 55.8 53.28 59.9
"44" "01/08/1993" 60.5 73.8 48 56.6 52.61 57.8
"45" "01/09/1993" 60.9 74.3 45.1 58.4 52.54 59
"46" "01/10/1993" 61.2 73.5 41 61.4 52.12 63.7
"47" "01/11/1993" 63 72.4 41.2 66.7 56.22 62.6
"48" "01/12/1993" 64.3 70.1 41.8 68.9 63.58 65.1
"49" "01/01/1994" 64.5 69.5 45.5 68.6 63.88 63.7
"50" "01/02/1994" 64.1 70.9 45.4 66.8 60.4 67
"51" "01/03/1994" 64.5 72.5 46 64.1 61.31 72.7
"52" "01/04/1994" 63.7 72.9 42.3 62.4 63.66 68.1
"53" "01/05/1994" 65.6 76.1 42.3 62 67.78 71.7
"54" "01/06/1994" 65.2 74.4 45.1 60.1 68.47 74.6
"55" "01/07/1994" 63.9 75 45.6 56 67.15 72.8
"56" "01/08/1994" 66.2 76.6 46.6 57.5 73.33 74.9
"57" "01/09/1994" 69.3 77.9 49.9 60.2 80.5 77.9
"58" "01/10/1994" 69.9 78.1 52 61.7 79 78.9
"59" "01/11/1994" 73.2 81.9 53.2 61.1 88.31 86.3
"60" "01/12/1994" 73.1 78.2 55 62.7 88.62 90.8
"61" "01/01/1995" 72.9 78.6 58.9 62.9 82.66 91.3
"62" "01/02/1995" 74.4 83.1 61.1 62.5 82.67 89.2
"63" "01/03/1995" 75.1 84.1 61.8 62.2 84.42 90.3
"64" "01/04/1995" 74 84.9 61.1 62.7 77.94 84.8
"65" "01/05/1995" 74 83.8 61.2 64.9 76.79 83.7
"66" "01/06/1995" 75.1 81 61.2 69.1 80.33 86.8
"67" "01/07/1995" 79.5 87.4 64.6 74 83.96 84.1
"68" "01/08/1995" 78 87.1 64.3 72.6 79.95 80.3
"69" "01/09/1995" 78.3 88.4 64.3 75.9 76.28 72.3
"70" "01/10/1995" 80.4 88.8 64.8 80.2 79.95 73.3
"71" "01/11/1995" 79.8 87.2 64.8 80.5 78.99 74.1
"72" "01/12/1995" 78 81.2 64.4 82.7 75.58 76.2
"73" "01/01/1996" 77 79.8 64.3 83.3 70.75 77.5
"74" "01/02/1996" 77.5 79.9 64.2 85.7 68.63 79.3
"75" "01/03/1996" 78.6 82.9 63 86.9 68.17 79.9
"76" "01/04/1996" 80.8 80.8 62.7 95.3 73.56 74.1
"77" "01/05/1996" 82.4 83.1 61 100 73.37 70.5
"78" "01/06/1996" 80.5 83.5 61.1 94.3 68.85 75.3
"79" "01/07/1996" 80.2 86.1 61.3 91.1 66.07 79.3
"80" "01/08/1996" 79.9 88.8 60.7 85.8 69.1 76.6
"81" "01/09/1996" 76.9 88.7 60.1 75.3 71.47 73.8
"82" "01/10/1996" 74.1 85.9 61 71.1 69.08 68.8
"83" "01/11/1996" 72.5 84.9 59.9 67.4 70.01 66.3
"84" "01/12/1996" 71.4 81 60.2 67.6 70.17 66.5
"85" "01/01/1997" 70.9 78.8 60.3 68.1 70.76 66.2
"86" "01/02/1997" 71 78.7 59.5 68.4 71.49 66.9
"87" "01/03/1997" 72.8 82.4 59.3 70.6 70.32 68.8
"88" "01/04/1997" 73.4 83.5 59.1 70.8 71.11 69.9
"89" "01/05/1997" 72.8 83.5 58.8 68.8 71.65 68.9
"90" "01/06/1997" 70.2 80 58.6 65.2 68.96 70.7
"91" "01/07/1997" 68.4 79.1 58.1 62.4 65.53 69.4
"92" "01/08/1997" 69.8 80.1 57.8 65.7 65.4 72.4
"93" "01/09/1997" 70 79.7 59 65.1 67.96 70.1
"94" "01/10/1997" 69.8 75.5 60.8 65.6 72.78 70.6
"95" "01/11/1997" 70.3 75.5 61 64.2 76.71 74.3
"96" "01/12/1997" 68 69.5 61 63.4 75.55 76.3
"97" "01/01/1998" 67.4 67.3 60.9 62.7 79.26 71.5
"98" "01/02/1998" 67.6 68.3 59.7 62.7 81.88 66.3
"99" "01/03/1998" 67.4 67.8 57.8 63.2 84.68 60.9
"100" "01/04/1998" 66.8 67.8 57.6 60.8 86.01 60
"101" "01/05/1998" 66.4 66.2 56.5 60.2 89.97 57.1
"102" "01/06/1998" 64.2 66.2 55.6 59 82.76 50.1
"103" "01/07/1998" 64.3 66.7 55.3 57.5 83.56 53.5
"104" "01/08/1998" 62.4 64.2 55.4 54.1 83.17 52.5
"105" "01/09/1998" 61.9 64.6 53.9 53.9 84.56 44.7
"106" "01/10/1998" 62.7 64.1 52.1 57.7 84.44 46.2
"107" "01/11/1998" 62.6 62.7 52.1 58.2 84.31 49.9
"108" "01/12/1998" 62.1 63.3 52.3 56.8 82.04 50
"109" "01/01/1999" 61 62.1 52.4 57.1 77.31 50.2
"110" "01/02/1999" 58.4 62.8 51.5 54.9 68.4 42.2
"111" "01/03/1999" 57 62.8 50.7 55.2 62.31 37.3
"112" "01/04/1999" 55.8 61.1 48 53.7 64.88 33.5
"113" "01/05/1999" 55.4 61.7 47.4 52.8 62.26 35.6
"114" "01/06/1999" 54.6 62.1 47.1 53.6 54.79 37.3
"115" "01/07/1999" 52.6 62.3 46.4 51.4 48.63 33.3
"116" "01/08/1999" 54.4 64 46.4 53 52.29 35.6
"117" "01/09/1999" 54.6 62.6 46.8 52.6 54.07 41.3
"118" "01/10/1999" 53.2 60 47 51.5 52.96 41.9
"119" "01/11/1999" 53.2 60.9 47.5 51.3 51.32 40.2
"120" "01/12/1999" 51.9 58.9 48.5 50.4 49.49 37.2
"121" "01/01/2000" 52.6 59.9 50.2 52.1 48.58 34.7
"122" "01/02/2000" 52.3 60.2 50.4 52.2 46.37 32.7
"123" "01/03/2000" 52.8 61.9 50.1 51.7 47.82 31.8
"124" "01/04/2000" 53.4 61.3 50.4 51.8 49.5 37.3
"125" "01/05/2000" 53.6 62.4 50.9 52.8 44.49 42.8
"126" "01/06/2000" 53.8 61.7 53.8 51.4 42.93 51.8
"127" "01/07/2000" 54 61.5 55.6 49.8 42.67 59.6
"128" "01/08/2000" 53.2 59.2 56 48.6 41.7 64.6
"129" "01/09/2000" 52.6 58.4 57.4 49.4 38.47 62.1
"130" "01/10/2000" 53.4 58.6 59.1 51.2 36.38 66.5
"131" "01/11/2000" 53.8 59.3 59.6 52.1 37.67 61.5
"132" "01/12/2000" 54.4 59.3 60.1 53.7 38.14 62
"133" "01/01/2001" 53.8 57.3 59.7 53.9 37.27 63.9
"134" "01/02/2001" 54.2 60.9 59.5 53 35.83 61.1
"135" "01/03/2001" 55.1 63.6 59.7 52.2 38.2 57.4
"136" "01/04/2001" 54.6 64.1 59.5 51 38.03 54.1
"137" "01/05/2001" 55.4 64.5 62 51.7 36.57 59.3
"138" "01/06/2001" 54.8 62.5 62.4 51 38.85 56
"139" "01/07/2001" 56.5 62.9 62.9 51.7 47.44 54.4
"140" "01/08/2001" 56.6 63 62.5 51.6 50.02 50.2
"141" "01/09/2001" 55.4 62.9 62.1 51.2 45.4 47.3
"142" "01/10/2001" 54.2 61.3 62.8 51 43.3 42
"143" "01/11/2001" 54.7 59.5 60.6 51.9 48.27 47.5
"144" "01/12/2001" 54.3 58.2 56.9 52 50.61 48.5
"145" "01/01/2002" 53.5 58.4 53 51.7 49.26 48.2
"146" "01/02/2002" 51.7 56.6 52.8 50.4 47.79 40.5
"147" "01/03/2002" 52 59.1 50.7 49.6 47.62 41.4
"148" "01/04/2002" 51 56.3 48.9 49.3 48.97 42.6
"149" "01/05/2002" 50.5 55.2 44.8 50.2 51.64 37.6
"150" "01/06/2002" 51.3 55.4 42.9 52 55.8 35.6
"151" "01/07/2002" 52 55.1 40.6 54.6 56.15 39.5
"152" "01/08/2002" 53.4 55 40.1 58.1 59.65 39
"153" "01/09/2002" 54.9 54.4 41.6 63.8 56.68 43.1
"154" "01/10/2002" 55.2 52.6 42.9 64.4 58.76 46.5
"155" "01/11/2002" 56.3 52.8 45.5 63 63.91 48.5
"156" "01/12/2002" 55.6 51.1 49.3 59.8 65.51 49.2
"157" "01/01/2003" 56 53.1 51.3 58 64.32 50.7
"158" "01/02/2003" 56.5 54.1 53.1 57.8 62.35 55.7
"159" "01/03/2003" 55.5 54.5 53.7 56.5 59.23 50.9
"160" "01/04/2003" 55.6 55.7 52.7 56.4 59.57 48
"161" "01/05/2003" 56.3 56.3 52.6 58.2 61.09 44.4
"162" "01/06/2003" 56 56.2 52.6 57.7 61.96 41.6
"163" "01/07/2003" 56.7 60.5 53.2 56.5 58.84 42.3
"164" "01/08/2003" 57.6 60.7 53.6 59.9 57.09 42.3
"165" "01/09/2003" 58.7 63 55.2 60.5 59.33 37
"166" "01/10/2003" 60.3 62.7 57.6 60.6 67.39 36.9
"167" "01/11/2003" 61.8 62.2 58.6 64.8 68.83 37.6
"168" "01/12/2003" 62.4 61.2 59.7 65.7 71.56 38.9
"169" "01/01/2004" 64.3 65.9 60.9 66.9 71.22 35.9
"170" "01/02/2004" 65 63.8 64.3 67.5 76.06 36.2
"171" "01/03/2004" 66.7 66.3 65.2 68.5 76.73 40
"172" "01/04/2004" 67.3 66.3 65.8 70.2 76.45 40.7
"173" "01/05/2004" 66.4 65.8 67.8 68.8 73.52 39.2
"174" "01/06/2004" 66.1 68.8 70.7 66.4 66.06 42.9
"175" "01/07/2004" 65.6 70.7 72.6 60.7 64.82 49
"176" "01/08/2004" 64.5 68.9 72.7 59.1 65.44 46.9
"177" "01/09/2004" 65.2 69.6 73.3 60 66.27 47.6
"178" "01/10/2004" 64.7 67.7 73.8 59.3 65.8 52.3
"179" "01/11/2004" 65.4 68.3 75.1 60 66.94 50.5
"180" "01/12/2004" 65.6 68.6 75.8 60.5 66.02 51
"181" "01/01/2005" 65.4 68.6 76.2 60.5 63.15 54
"182" "01/02/2005" 65.9 70 76.7 60.3 62.27 56.3
"183" "01/03/2005" 67.1 70.6 77 61.5 66.74 55
"184" "01/04/2005" 65.6 69.3 76.2 59.5 65.07 53.2
"185" "01/05/2005" 66.3 71.8 76.5 59.4 64.23 53.1
"186" "01/06/2005" 67.2 73 76.4 60.2 64.64 56
"187" "01/07/2005" 67.4 71.9 77.1 61.2 64.44 59.7
"188" "01/08/2005" 67.5 72.3 78.3 60.9 62.51 61.5
"189" "01/09/2005" 68.4 73.2 78.7 61.5 64 63.8
"190" "01/10/2005" 69.4 73.3 78.5 62.1 66.81 68.8
"191" "01/11/2005" 68.8 73.5 78 60.6 65.44 70.4
"192" "01/12/2005" 69.5 73.6 76.9 61.5 63.49 82.6
"193" "01/01/2006" 69.4 70 74.3 62.7 63.67 97.5
"194" "01/02/2006" 70.4 67.7 74.5 64.8 64.99 111.1
"195" "01/03/2006" 69.4 66.8 73.1 63.9 65.16 106.7
"196" "01/04/2006" 69.7 66.2 71.6 65.1 66.76 108.2
"197" "01/05/2006" 71 68 71.3 67.8 68.28 104.1
"198" "01/06/2006" 71.1 70.4 71 67.8 67.94 95.3
"199" "01/07/2006" 72.9 71.8 71.3 69.9 70.45 99.3
"200" "01/08/2006" 72.9 74.2 70.3 69.6 73.55 83.2
"201" "01/09/2006" 73 74.8 70.3 72.5 71.7 74.8
"202" "01/10/2006" 74.9 73.6 71.9 79.9 72.7 72
"203" "01/11/2006" 77.5 72.1 75.4 85.3 78.35 72.9
"204" "01/12/2006" 78.6 70.6 81.7 85.4 83.01 71.6
"205" "01/01/2007" 78.1 69.6 84.2 85.1 82.27 67.8
"206" "01/02/2007" 79.6 70.9 88.3 87 82.87 65.4
"207" "01/03/2007" 80.8 72.9 91.8 86.4 84.42 64.6
"208" "01/04/2007" 83.6 74.8 102 85.1 92.76 60.2
"209" "01/05/2007" 86.2 76.6 105.3 86.6 100.25 58.4
"210" "01/06/2007" 91.1 78 121 91.9 104.92 57.5
"211" "01/07/2007" 95.3 79.2 135 94.9 108.58 62.9
"212" "01/08/2007" 98.9 79.4 141.5 102.1 112.8 60.7
"213" "01/09/2007" 105 80.5 145.1 117.2 118.25 60.4
"214" "01/10/2007" 107.6 79.2 148 121.3 125.85 61.9
"215" "01/11/2007" 110.5 80.2 154 121 136.25 62.5
"216" "01/12/2007" 114.4 81 152.6 132.2 138.56 66.3
"217" "01/01/2008" 120 81.6 150.6 141 154.1 74.1
"218" "01/02/2008" 128 79.5 149.9 160.8 168.63 83.6
"219" "01/03/2008" 132.1 84.7 152.6 163.3 176.6 81.7
"220" "01/04/2008" 130.4 86.2 148.9 162.7 169.41 77.7
"221" "01/05/2008" 130 91 144.3 157.4 172.02 74.7
"222" "01/06/2008" 132.5 93 143.9 160.3 178.32 75
"223" "01/07/2008" 130.1 100.1 144.1 148.2 164.8 88.1
"224" "01/08/2008" 121.1 101.8 133.5 136.5 135.62 90.4
"225" "01/09/2008" 112.8 100.9 120.5 125.3 120.59 83.7
"226" "01/10/2008" 97.6 95 107 104.9 92.21 73.6
"227" "01/11/2008" 89.5 87.4 97.8 96 82.03 74.9
"228" "01/12/2008" 86 80.8 94.9 95.1 78.55 72.7
"229" "01/01/2009" 86.4 77.3 88.2 100.4 82.78 77.4
"230" "01/02/2009" 84.2 75 82.6 97.2 82.24 81.9
"231" "01/03/2009" 84 75.4 80.9 97.2 81.49 82.9
"232" "01/04/2009" 87.2 77.9 80.4 98.1 93.8 84.5
"233" "01/05/2009" 93.3 80.9 83.5 103.3 106.61 99.4
"234" "01/06/2009" 93.3 83.1 84.7 103 100.72 101.7
"235" "01/07/2009" 90.7 85.2 85.1 94.5 89.9 114
"236" "01/08/2009" 93.5 85.3 88 91.9 97.85 138.8
"237" "01/09/2009" 93 84.3 95.1 89.8 93.25 142.6
"238" "01/10/2009" 94.8 82.5 102.7 93.8 95.17 140.1
"239" "01/11/2009" 98.8 83.7 113.1 98 101.76 137.8
"240" "01/12/2009" 100.7 83.9 112.8 99 107.56 145.6
"241" "01/01/2010" 101.5 85 109 98.4 107.1 163.8
"242" "01/02/2010" 99 85.7 101.6 94 107.31 157.4
"243" "01/03/2010" 96.3 86.9 101.6 91.8 110.33 115.5
"244" "01/04/2010" 96.8 89.5 109.7 90.7 109.36 101.8
"245" "01/05/2010" 96.3 89.8 111.8 90.6 107.17 94.1
"246" "01/06/2010" 95.8 90.8 110.4 87.8 106.03 98.1
"247" "01/07/2010" 100 91.8 112.8 95.3 110.13 107.9
"248" "01/08/2010" 107.7 92.6 112.3 112.9 121.81 114.6
"249" "01/09/2010" 114.1 92.5 116 125.9 124.85 138.7
"250" "01/10/2010" 120.1 94 121.4 130.6 139.18 152.3
"251" "01/11/2010" 124.1 96.1 118.7 132.4 153.87 162.8
"252" "01/12/2010" 129.3 97.4 117.4 139.7 166.26 173.8
"253" "01/01/2011" 133.7 97.6 122.8 144.9 174.49 183.2
"254" "01/02/2011" 137.6 100.3 130.3 151.4 175.43 182.4
"255" "01/03/2011" 134.3 103.5 135.8 145.5 163.11 162.4
"256" "01/04/2011" 136.4 107.7 134.5 151.7 162.79 150.7
"257" "01/05/2011" 135.2 108.1 134.2 150.9 162.4 136.2
"258" "01/06/2011" 135 106.9 135.3 147.1 160.78 156
"259" "01/07/2011" 133.2 106.5 133.6 140.5 156.05 174.6
"260" "01/08/2011" 133 105.6 131.9 144.9 151.48 171.7
"261" "01/09/2011" 130.4 106.9 127.1 140.5 147.82 165.3
"262" "01/10/2011" 125.7 106.2 126.2 133.1 137.99 157.5
"263" "01/11/2011" 126.1 108.3 125.1 130.9 144.96 148.2
"264" "01/12/2011" 122.1 106.5 122 124.4 140.45 142.6
"265" "01/01/2012" 122.4 103.1 120.3 127.2 144.33 145.8
"266" "01/02/2012" 125.4 105.6 121.2 131.1 148.34 149.3
"267" "01/03/2012" 125.8 106.5 118.1 130.6 152.47 149.1
"268" "01/04/2012" 124.4 105.7 112.5 129.1 156.29 141.3
"269" "01/05/2012" 119 103.7 105.5 126.3 144.4 128.5
"270" "01/06/2012" 115.9 101.4 102.3 125.3 135.26 126.7
"271" "01/07/2012" 122.1 100.4 99.7 143.9 138.56 141.4
"272" "01/08/2012" 123.4 103.1 102 147.1 138.31 129.2
"273" "01/09/2012" 125.2 107 111 146.8 136.93 123.7
"274" "01/10/2012" 124 108 114.2 146.5 124.9 125.7
"275" "01/11/2012" 123.6 107.7 114.9 148.5 121.52 119.7
"276" "01/12/2012" 122.9 107.4 118.1 146.4 118.38 119.5
"277" "01/01/2013" 123.4 106.5 121 145.2 124.28 116.8
"278" "01/02/2013" 123.3 107.6 123.8 142.3 125.55 113
"279" "01/03/2013" 122.9 108 128 139.9 122.38 114.3
"280" "01/04/2013" 122.9 108.7 140.8 134.9 120.64 110.2
"281" "01/05/2013" 122.1 105.5 140 136.4 121.05 109.1
"282" "01/06/2013" 120.9 105 140.3 133.8 120.68 105.8
"283" "01/07/2013" 117.9 104.5 141 126.4 116.22 104.2
"284" "01/08/2013" 116.2 105.5 145.6 119.2 111.89 105.4
"285" "01/09/2013" 116.4 106.1 149 116.7 112.92 107.5
"286" "01/10/2013" 118.8 106.4 153 118.7 116.04 115.5
"287" "01/11/2013" 118.7 105.6 151.9 118 121.97 109.3
"288" "01/12/2013" 118.2 104.6 156.5 117.9 120.38 102.4
"289" "01/01/2014" 116.2 103.2 156.2 117 115.58 96.7
"290" "01/02/2014" 118.5 103.6 156.4 119.7 120.84 102.6
"291" "01/03/2014" 122.1 106.2 154.8 125.4 125.38 110.8
"292" "01/04/2014" 121.5 109.7 147.3 125.5 121.53 109
"293" "01/05/2014" 121.3 112.1 141.8 125.2 119.18 113.1
"294" "01/06/2014" 119.3 116.2 136.1 118.7 115.22 112.5
"295" "01/07/2014" 116.4 117.8 130.2 112.2 110.63 113
"296" "01/08/2014" 113 119.2 120.6 110.4 101.65 106.6
"297" "01/09/2014" 109.3 117.9 110.8 107.4 98.55 99.5
"298" "01/10/2014" 109.4 117.2 107.1 108.2 100.09 103.6
"299" "01/11/2014" 108.2 115.1 102.6 109.3 100.85 100.2
"300" "01/12/2014" 105.1 108.8 98.5 110.9 97.89 94.8
"301" "01/01/2015" 100.7 103.8 92.4 105.9 95 95
"302" "01/02/2015" 98.5 100.5 95.2 101.6 95.18 90.3
"303" "01/03/2015" 95.6 96.8 95.1 99.5 92.62 82
"304" "01/04/2015" 94.7 97.7 90.6 98.2 91.87 80.9
"305" "01/05/2015" 95 99.5 89.9 95.7 94.49 82.6
"306" "01/06/2015" 94.5 98.6 87.7 96.7 95.89 77.1
"307" "01/07/2015" 93.8 99.1 82.2 98.9 90.43 79
"308" "01/08/2015" 89.6 99.2 79.9 91.9 82.29 71.2
"309" "01/09/2015" 89 97.1 83.2 90.5 81.96 73.4
"310" "01/10/2015" 90.4 92.4 88 91.7 87.76 86.1
"311" "01/11/2015" 87.7 89.1 80.5 90.5 85.13 90
"312" "01/12/2015" 87.1 87 81 89.4 86.68 90.6
"313" "01/01/2016" 84.9 84.2 79.4 87.6 85.29 86.9
"314" "01/02/2016" 86 85.9 78.8 87.3 92.15 81.6
"315" "01/03/2016" 87.4 86.1 76.7 86.5 97.34 95.5
"316" "01/04/2016" 89.2 87.9 77.1 88.4 101.17 93.9
"317" "01/05/2016" 90.6 90.2 72.7 91.1 99.56 104.8
"318" "01/06/2016" 93.8 94.3 73.9 94.1 97.93 120.4
"319" "01/07/2016" 93 95.3 76 90.4 94.9 121.6
"320" "01/08/2016" 95.3 96.4 81.8 89.3 102.39 124.6
"321" "01/09/2016" 96.1 94.9 90.9 86.3 104.32 132.9
"322" "01/10/2016" 95.9 93 93.8 86.7 101.85 137.5
"323" "01/11/2016" 95.8 93.4 94.5 86 106.16 125.2
"324" "01/12/2016" 95.1 90.7 96.2 86.1 110.26 114.5
"325" "01/01/2017" 97.7 91.9 98.6 88.7 112.19 125.8
"326" "01/02/2017" 98.1 93.9 99.2 90 107.97 125.6
"327" "01/03/2017" 96.2 95.7 100.6 87.9 101.59 111.9
"328" "01/04/2017" 95.1 97.6 100 86.9 97.58 101.7
"329" "01/05/2017" 97.4 99.5 104.8 88.3 101.96 99.4
"330" "02/06/2017" 98 100.7 109.7 92.4 97.47 86
"331" "01/07/2017" 100.2 101.2 113.9 96.9 96.66 90.5
"332" "01/08/2017" 99.3 100.3 116.9 92.3 99.16 88.9
"333" "01/09/2017" 99.9 99.2 118.4 92.1 103.83 89
"334" "01/10/2017" 98.9 98.4 115.4 91.8 102.68 88.7
"335" "01/11/2017" 98.9 98.4 111.4 92.1 103.85 92.7
"336" "01/12/2017" 96.4 96.1 107.3 92.4 97.96 89
"337" "01/01/2018" 96.8 95.6 106 95.2 98.25 87.2
"338" "01/02/2018" 97.9 97 108.8 98.4 95.6 83.9
"339" "02/03/2018" 99 97.2 111.3 101.8 95.36 80.9
"340" "02/04/2018" 98.6 95.9 110 104 94.02 76.8
"341" "03/05/2018" 98.7 95.3 111.4 105.5 92.15 76.4
"342" "01/06/2018" 97 95.1 112.3 100.8 89.33 77.4
"343" "02/07/2018" 95.1 94.6 110.1 98.7 86.9 72.5
"344" "01/08/2018" 96 95.8 108.5 103.5 84.43 68.6
"345" "01/09/2018" 94.2 94.1 108.3 100.3 82.33 70.4
"346" "01/10/2018" 93.3 92.3 102.8 100.9 81.33 76.5
"347" "01/11/2018" 92.2 92.9 100 99.6 76.59 79.9
"348" "01/12/2018" 92.2 92.9 97.8 101.1 76.84 78.3
"349" "01/01/2019" 93.3 92.3 100.9 101.8 80.26 79.3
"350" "01/02/2019" 94 93.1 103.8 100.7 81.78 80.3
"351" "01/03/2019" 93.2 94.6 105.6 97.5 78.41 78.7
"352" "01/04/2019" 93.6 97.8 106.1 94.6 79.11 79.3
"353" "01/05/2019" 94.3 100.5 106.6 94.4 78.5 76.7
"354" "02/06/2019" 95.4 101.2 102.9 99.2 77.46 79.9
"355" "01/07/2019" 95.1 102.4 101.1 97.6 78.09 79.4
"356" "01/08/2019" 94.1 102.3 100.3 92.6 82.59 76.2
"357" "01/09/2019" 93.4 101 99.6 91.8 83.89 73.5
"358" "01/10/2019" 95.2 101.6 100.8 96 84.11 77.8
"359" "02/11/2019" 98.6 106.5 102.5 95.6 93.16 79.2
"360" "01/12/2019" 101 106.6 103.5 97.4 101.5 83
"361" "01/01/2020" 102.5 103.6 103.8 100.7 108.73 87.5
"362" "01/02/2020" 99.4 100.5 102.9 99.6 97.55 91.4
"363" "01/03/2020" 95.2 99.4 101.5 98 85.42 73.9
"364" "01/04/2020" 92.5 96.9 95.8 99.6 81.18 63.2
"365" "01/05/2020" 91.1 95.4 94.4 98 77.77 67.8
"366" "01/06/2020" 93.3 94.8 98.3 97.3 86.61 74.9
"367" "01/07/2020" 94 92.2 101.8 97.3 93.2 76
"368" "01/08/2020" 95.9 92.2 102.1 99.2 98.7 81.1
"369" "01/09/2020" 98 91.5 102.3 104.3 104.6 79
"370" "01/10/2020" 101.4 91.8 104.5 112.1 106.45 84.7
"371" "01/11/2020" 105.6 93.3 105.4 114.8 121.9 87.5
"372" "01/12/2020" 108.6 94.8 109.2 116.4 131.2 87.1
"373" "01/01/2021" 113.5 96 111.2 125 138.87 94.2
"374" "01/02/2021" 116.6 97.8 113.1 126.1 147.46 100.2
"375" "01/03/2021" 119.2 100.8 117.5 123.9 159.3 96.2
"376" "01/04/2021" 122.1 104.3 119.1 126.2 162.19 100
"377" "01/05/2021" 128.1 107.4 121.1 133.7 174.9 106.8
"378" "01/06/2021" 125.3 110.7 119.9 130.3 157.7 107.7
"379" "01/07/2021" 124.6 114.1 116.7 126.3 155.5 109.6
"380" "01/08/2021" 128 113.4 116.2 130.4 165.9 120.5
"381" "01/09/2021" 129.2 112.7 118.1 132.8 168.6 121.2
"382" "01/10/2021" 133.2 112 121.5 137.1 184.8 119.1
"383" "01/01/2022" 135.6 112.1 132.6 140.6 185.9 112.7
"384" "01/02/2022" 141.2 113.9 141.5 145.3 201.7 110.5
"385" "01/03/2022" 159.7 119.3 145.8 170.1 251.8 117.9
"386" "01/04/2022" 158.4 121.9 146.7 169.7 237.5 121.5
"387" "01/05/2022" 158.1 122.9 144.2 173.5 229.2 120.4
"388" "01/06/2022" 154.7 125.9 150.2 166.3 211.8 117.3
"389" "01/07/2022" 140.7 124.6 146.5 147.3 168.8 112.8
"390" "01/08/2022" 138 122.7 143.5 145.2 163.3 110.4
