Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
56,Iraq,34.47,10.63,23.29,30.46,28.31,40.92
57,Ireland,76.05,42.08,60.13,62.1,80.4,82.27
58,Israel,88.05,33.94,62.69,76.72,95.31,75.58
59,Italy,66.47,20.55,44.95,57.95,70.58,61.74
60,Ivory Coast,47.03,17.68,33.27,40.22,31.99,6.92
61,Jamaica,49.67,15.1,33.46,53.41,35.04,30.25
62,Japan,77.03,25.86,53.04,81.31,45.4,87.11
63,Jersey,92.02,65.33,79.51,76.88,94.65,79.14
64,Jordan,49.19,9.23,30.46,40.81,41.16,31.34
65,Kazakhstan,28.68,9.44,19.66,25.35,27.24,32.23
66,Kenya,33.92,8.73,22.11,31.27,28.82,32.18
67,Kosovo (Disputed Territory),27.05,8.04,18.14,24.84,19.53,43.86
68,Kuwait,48.68,31.31,40.54,35.63,47.48,78.57
69,Latvia,48.45,11.77,31.26,38.37,42.1,51.65
70,Lebanon,69.62,24.81,48.61,66.83,54.25,35.12
71,Libya,48.35,12.89,31.73,54.03,34.1,33.25
72,Lithuania,45.65,15.01,31.29,36.18,46.64,58.74
73,Luxembourg,80.5,60.09,70.93,74.75,88.79,98.84
74,Macao,66.81,43,55.65,67.9,51.32,69.27
75,Malaysia,37.02,9.87,24.29,39.45,20.84,55.3
76,Maldives,57.66,30.2,44.78,56.6,34.72,28.59
77,Malta,67.84,29.72,49.97,59.59,72.42,44.18
78,Mauritius,44.08,10.95,28.55,45.61,33.44,29.62
79,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
80,Moldova,30.35,8.7,20.2,24.96,27.1,33.43
81,Mongolia,34.74,11.22,23.72,36.14,22.8,24.34
82,Montenegro,38.95,12.87,26.72,31.76,33.22,34.19
83,Morocco,33.83,8.98,22.18,30.63,24.52,34.36
84,Myanmar,35.67,21.18,28.87,37.63,20,13.84
85,Nepal,28.29,3.96,16.89,26.45,20.41,22.96
86,Netherlands,75.66,36.06,57.1,65.49,76.35,87.99
87,New Zealand,74.52,34.44,55.73,72.04,70.05,83.63
88,Nicaragua,39.64,8.68,25.13,38.13,27.51,17.63
89,Nigeria,30.49,35.99,33.07,33.65,20.92,9.34
90,North Macedonia,31.38,6.06,19.51,26.95,21.02,35.44
91,Norway,100.9,34.68,69.86,97.31,105.49,83.11
92,Oman,49.42,16.77,34.11,46.51,43.24,84.24
93,Pakistan,19.92,3.91,12.42,17.81,15.54,26.63
94,Palestine,58.11,11.01,36.03,51.23,44.58,39.84
95,Panama,51.43,21.75,37.51,52.16,43.38,33.09
96,Paraguay,30.2,10.04,20.75,25.45,24.19,26.08
97,Peru,32.53,11.22,22.54,30.71,21.53,28.17
98,Philippines,37.06,9.59,24.18,37.84,20.61,21.47
99,Poland,38.95,14.45,27.46,32.42,33.52,59.95
100,Portugal,47.94,20.73,35.19,39.01,40.26,46.8
101,Puerto Rico,66.53,18.4,43.97,69.6,55.6,72.78
102,Qatar,62.81,48.2,55.96,54.97,63.01,93.67
103,Romania,35.24,10.17,23.49,31.38,30.02,48.12
104,Russia,35.26,13.09,24.87,29.86,34.56,37.41
105,Rwanda,31.62,15.9,24.25,27.71,27.99,26.82
106,Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85
107,Senegal,50.25,22.97,37.46,42.17,46.22,23.45
108,Serbia,36.21,8.73,23.33,28.18,29.24,37.83
109,Seychelles,65.93,32.35,50.19,61.55,77.01,19.43
110,Singapore,83.98,66.43,75.75,77.08,61.17,91.34
111,Slovakia,44.68,16.11,31.29,39.74,36.08,54.7
112,Slovenia,53.88,17.9,37.01,47.71,46.74,59.48
113,Somalia,34.58,5.16,20.79,39.39,26.65,29.4
114,South Africa,42.09,16.6,30.14,34.78,41.33,78.36
115,South Korea,73.22,20.02,48.28,91.95,42.1,76.85
116,Spain,53.88,21.25,38.58,45.69,53.96,70.04
117,Sri Lanka,31.29,8.23,20.48,37.67,17.27,19.27
118,Suriname,51.78,9.71,32.06,45.92,79.61,13.44
119,Sweden,71.74,25.86,50.23,65.78,72.61,98.14
120,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44
121,Syria,28.75,5.17,17.7,29.34,22.81,6.59
122,Taiwan,62.35,17.69,41.42,76.19,29.42,58.35
123,Tanzania,32.81,12.36,23.23,30.04,24.86,15.97
124,Thailand,43.21,14.69,29.84,45.15,22.59,31.56
125,Trinidad And Tobago,54.88,15.97,36.64,53.96,53.74,38.47
126,Tunisia,27.87,5.32,17.3,27.36,15.96,27.83
127,Turkey,28.31,6.63,18.15,22.64,18.4,32.88
128,Uganda,33.5,9.19,22.1,31,24.85,11.41
129,Ukraine,30.71,10.57,21.27,26.3,25.75,37.22
130,United Arab Emirates,58.33,43.28,51.28,46.67,61.53,92.17
131,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78
132,United States,70.13,42.07,56.98,70.37,70.07,106.34
133,Uruguay,52.07,13.93,34.19,44.01,49.39,30.07
134,Uzbekistan,27.31,9.29,18.86,26.83,24.22,22.37
135,Venezuela,43.2,9.99,27.63,37.34,46.23,15.41
136,Vietnam,37.48,13.22,26.11,38.7,19.98,29.38
137,Yemen,53.14,6.71,31.38,67.12,24.74,14.41
138,Zambia,33.04,9.26,21.9,31.53,22.46,40.33
139,Zimbabwe,45.68,8.75,28.37,39.88,38.13,19.07
