title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime
May the Devil Take You: Chapter Two,2020,"Two years after escaping from demonic terror, the young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening: the figure of darkness rises to take their lives.",Horror,17+,6.3,150,Indonesian,Timo Tjahjanto,"['Chelsea Islan', 'Widika Sidmore', 'Baskara Mahendra', 'Hadijah Shahab', 'Lutesha', 'Arya Vasco', 'Karina Salim', 'Shareefa Daanish', 'Karina Suwandhi', 'Ruth Marini', 'Aurélie Moeremans', 'Tri Hariono', nan, nan, nan]",110 min
Milea,2020,Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.,Drama,13+,6.1,239,Indonesian,Pidi Baiq,"['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Ira Wibowo', 'Bucek Depp', 'Happy Salma', 'Farhan', 'Yoriko Angeline', 'Debo Andryos', 'Zulfa Maharani', 'Gusti Rayhan', 'Omara N. Esteghlal', 'Giulio Parengkuan', 'Andovi Da Lopez', 'Jerome Kurnia', 'Tike Priatnakusumah']",102 min
Nanti Kita Cerita Tentang Hari Ini,2020,"Three siblings live in happy-looking families, but one of them had changed and got warned by his parents. This prompted the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families.",Drama,13+,7.5,678,Indonesian,Angga Dwimas Sasongko,"['Rio Dewanto', 'Sheila Dara Aisha', 'Rachel Amanda', 'Sinyo Riza', 'Nayla D. Purnama', 'Alleyra Fakhira', 'M. Adhiyat', 'Syaqila Afiffah Putri', 'Donny Damara', 'Susan Bachtiar', 'Oka Antara', 'Niken Anjani', 'Agla Artalidia', 'Ardhito Pramono', 'Sivia Azizah']",121 min
Nikah Yuk,2020,"Arya (Marcell Darwin) is asked by his parents to get married soon, but he wants to focus on his career as a photographer in Japan. Until one day, Arya met Lia (Yuki Kato), a comic artist who brought his life to a new chapter.",Drama,13+,6.9,15,Indonesian,Adhe Dharmastriya,"['Yuki Kato', 'Marcell Darwin', 'Aliyah Faizah', 'Dwi Akraniza A.', 'Jessica Veranda', 'Sadana Agung Sulistya', 'Ananta Rispo', 'Fico Fachriza', 'Roy Marten', 'Ivanka Suwandi', 'Kevin Bzezovski', 'Keinaya Meissi Gusti', nan, nan, nan]",94 min
Rasuk 2,2020,"Isabella (Nikita Willy), a medical student who is undergoing intern, feels uncomfortable with her sixth sense ability. She tries hard to think it do not exist, so she could live normally. ...",Horror,17+,6.4,9,Indonesian,Rizal Mantovani,"['Nikita Willy', 'Achmad Megantara', 'Asri Welas', 'Raquel Katie Larkin', 'Sonia Alyssa', 'Lania Fira', 'Rachel Patricia', ""Afifah Ifah'nda"", 'Tegar Satrya', 'Iang Darmawan', nan, nan, nan, nan, nan]",95 min
Si Doel the Movie 3,2020,"The return of Sarah with his son, Dul, to Jakarta, welcomed happily by the Doel's family. But it also makes Zaenab, Sarah, and Doel confronted with decisive choice.",Drama,13+,7.2,82,Indonesian,Rano Karno,"['Rano Karno', 'Maudy Koesnaedi', 'Cornelia Agatha', 'Mandra', 'Suti Karno', 'Rey Bong', 'Aminah Cendrakasih', 'Ahmad Zulhoir Mardia', 'Salman Alfarizi', 'Opie Kumis', 'Ranty Purnamasari', 'Sabar', 'Maryati Tohir', 'Hj. Tonah', 'Wizzy']",93 min
Surat dari Kematian,2020,"Failing to prove the urban legend of Mbak Rohanna's ghost at Virgin Bridge, Yogyakarta, makes Zein (Endi Arfian) have to propose other haunted places to Kinan (Carrisa Perruset) to make content on their YouTube channel.",Horror,,6.2,5,Indonesian,Hestu Saputra,"['Carissa Perusset', 'Endy Arfian', 'Jerome Kurnia', 'Omara N. Esteghlal', 'Dannia Salsabila', 'Justin Adiwinata', 'Eric Febrian', 'Like Suyanto', 'Johan Expresi', 'Gogot Suryanto', 'Ifan Nur Jihad', 'Jeje', 'Ayu Putri', 'Ahmad Susantri', 'Annisa Hertami']",86 min
Temen Kondangan,2020,"Putri (Prisia Nasution) is challenged to attend her ex-boyfriend marriage party. She invites three different guys, hoping that one of them could become her friend to the party. Disaster happens when all three come at the same time.",Comedy,,6.0,11,Indonesian,Iip Sariful Hanan,"['Prisia Nasution', 'Gading Marten', 'Kevin Julio', 'Reza Nangin', 'Samuel Rizal', 'Olivia Lubis Jensen', 'Pierre Gruno', 'Imelda Therinne', 'Ovi Dian', 'Sahira Anjani', 'Yeslin Wang', 'Iszur Muchtar', 'Febby Febiola', 'Diah Permatasari', 'Chika Waode']",86 min
Titus: Mystery of the Enygma,2020,"A mouse-detective with his rabbit and lizard friends in Steamburg. They will jointly expose the crime one of their biggest enemies, a cat named named Bulpan. Starting as a pickpocket, Bulpan works hard to become a very skilled criminal.",Animation,SU,6.2,10,Indonesian,Dineshkumar Subashchandra,"['Arbani Yasiz', 'Ranty Maria', 'Lukman Sardi', 'Robby Purba', 'Jessica Tanoesoedibjo', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",95 min
Toko Barang Mantan,2020,"Tristan (Reza Rahadian) is the owner of the shop that buys and sells ex-lover items for people who want to move on. Suddenly, Laras (Marsha Timothy), his ex-lover, comes and makes his life turned upside down.",Comedy,13+,6.3,71,Indonesian,Viva Westi,"['Reza Rahadian', 'Marsha Timothy', 'Iedil Dzuhrie Alaudin', 'Dea Panendra', 'Syifa Hadju', 'Niken Anjani', 'Brigitta Cynthia', 'Mas Cemen', 'Ibob Tarigan', 'Martin Anugerah', 'Roy Marten', 'Laura Theux', 'Fendy Chow', 'Stella Cornelia', 'Shareefa Daanish']",98 min
#Malam Jumat: The Movie,2019,"To provide a different experience to his subscribers, Ewing tries something new by exploring a playground called the Wonder Park that had been abandoned for a long time. With his team, Agan...",Horror,17+,5.3,47,Indonesian,Hadrah Daeng Ratu,"['Ewing H.D.', 'Zoe Abbas Jackson', 'Dea Annisa', 'Randy Pangalila', 'Ade Firman Hakim', 'Ajil Ditto', 'Harris Illano', 'Putra Dinata', 'Sonia Alyssa', 'Chaca Marisa', 'Andy Jali', nan, nan, nan, nan]",91 min
#MoveOnAja,2019,"Broke and heartbreak, Irwan just wants to spend a gloomy new year's eve in the room alone. Dani, his friend, persuades him to make a list of dating applications.",Comedy,17+,6.3,6,Indonesian,Hestu Saputra,"['Marthino Lio', 'Asmara Abigail', 'Uus', 'Lala Karmela', 'Edward Akbar', 'Totos Rasiti', 'Puja Astawa', 'Ronny P. Tjandra', 'Sheila Salsabila', 'Wina Marino', 'Auerelila', 'Vincent Andrianto', 'Hasta Putra Aditama', nan, nan]",
27 Steps of May,2019,"Following a horrible experience, May has isolated herself and stopped talking. Her father blames himself and tries to live by May's conditions year after year. But one day a hole appears in the wall and through it May discovers a magician.",Drama,17+,8.2,280,Indonesian,Ravi L. Bharwani,"['Raihaanun Soeriaatmadja', 'Lukman Sardi', 'Ario Bayu', 'Verdi Solaiman', 'Norman R. Akyuwen', 'Fajar Alamsyah', 'Alfon', 'Joko Anwar', 'Bowie Budianto', 'Elsa Dinra', 'Maryadi', 'Nandang', 'Richard Oh', 'Jonathan Ozoh', 'Otig Pakis']",112 min
99 Nama Cinta,2019,"The life of a producer of popular gossip shows, suddenly changed drastically when she met a young cleric who appeared in his office to teach her religious lessons as the wish of her father as a debt favor to him.",Drama,SU,8.0,13,Indonesian,Danial Rifki,"['Acha Septriasa', 'Deva Mahenra', 'Ira Wibowo', 'Donny Damara', 'Chiki Fawzi', 'Adinda Thomas', 'Susan Sameh', 'Dzawin', 'Robby Purba', 'Ji-hye Moon', nan, nan, nan, nan, nan]",106 min
Abracadabra,2019,"A magician in the magic show makes a little boy vanishing from his magic box. The show turns tragic, as he cannot make this boy come back to the stage.",Comedy,13+,5.9,39,Indonesian,Faozan Rizal,"['Reza Rahadian', 'Butet Kertaradjasa', 'Salvita Decorte', 'Ence Bagus', 'Imam Darto', 'Dewi Irawan', 'Jajang C. Noer', 'Egy Fedly', 'Lukman Sardi', 'Poppy Sovia', 'Paul Agusta', 'Landung Simatupang', 'Veronika Krasnasari', 'Valerie Krasnadewi', 'Asmara Abigail']",86 min
After Met You,2019,"Ari, the coolest and most handsome guy at his school, is challenged by his friends to find a girlfriend who is definitely not interested in him.",Drama,13+,7.8,48,Indonesian,Patrick Effendy,"['Ari Irham', 'Yoriko Angeline', 'Michelle Wanda', 'Naufan Raid Azka', 'Yudha Keling', 'Chicco Kurniawan', 'Dede Satria', 'Joe Project P.', 'Anabel Prisillya', 'Surya Saputra', 'Wulan Guritno', 'Nuraini', 'Joshua Suherman', 'Rigen Rakelna', 'Ananta Rispo']",107 min
Ajari Aku Islam,2019,"Kenny (Roger Danuarta), a Medan Chinese young man fell in love with Fidya (Cut Meyriska) a Batak Melayu Muslim girl. Over time, they love each other, but they were also hit by cultural and religious differences.",Drama,13+,7.1,34,Indonesian,Deni Pusung,"['Roger Danuarta', 'Cut Meyriska', 'Shinta Naomi', 'Miqdad Addausy', 'Asrul Dahlan', 'August Melasz', 'Elkie Kwee', 'Rebecca Regina', 'Neny Anggraeni', 'Roni Galoeng', 'Jennifer Darren', nan, nan, nan, nan]",93 min
Ambu,2019,"Ambu Misnah was left by her daughter, Fatma. She left their house at the Baduy for her love for Nico, the youth from Jakarta. Fatma then has a child named Nona. One day, Fatma brings Nona to Baduy. Family polemic arises.",Drama,13+,7.8,16,Indonesian,Farid Dermawan,"['Widyawati', 'Laudya Cynthia Bella', 'Lutesha', 'Baim Wong', 'Endhita', 'Andri Mashadi', nan, nan, nan, nan, nan, nan, nan, nan, nan]",118 min
Anak Hoki,2019,"In his early teens, Ahok has to leave the comfort of his life in Belitung and start living independently in Jakarta. Ahok then gets to know Daniel, Bayu, and Eva who become his closest ...",Drama,13+,4.7,11,Indonesian,Ginanti Rona Tembang Sari,"['Kenny Austin', 'Nadine Waworuntu', 'Lolox', 'Chris Laurent', 'Maia Estianty', 'Tamara Geraldine', 'Leroy Osmani', 'Elkie Kwee', 'Keke Soeryo', 'Niniek Arum', 'Tina Toon', 'Neny Anggraeni', 'Harry Tjahaja Purnama', 'Edric Tjandra', 'Fero Walandouw']",97 min
Anak Muda Palsu,2019,"Tumming, Abu, Illank, and Darwis, the final semester students at the University of Hasanuddin, are troubled at the thought of their lectures that had not finished. They stay in the same ...",Comedy,13+,8.8,23,Indonesian,Ihdar Nur,"['Tumming', 'Abu', 'Reo Ramadhan', 'Hisyam Hamsir', 'Mamak Ramlah', 'Luna Vidya', 'Inten Navadia', 'Fitrah Rachmadani', nan, nan, nan, nan, nan, nan, nan]",103 min
Antologi Rasa,2019,"Keara (Carissa Perusset) loves Ruly (Refal Hady), even though she realizes that Ruly loves Denise (Atikah Suhaime). Meanwhile, Harris (Herjunot Ali) also has found his true love in Keara. But for Keara, Harris is just her best friend.",Drama,17+,7.2,98,Indonesian,Rizal Mantovani,"['Herjunot Ali', 'Carissa Perusset', 'Refal Hady', 'Atikah Suhaime', 'Angel Pieters', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",108 min
Arwah Noni Belanda,2019,In Batavia in 1834 lived Hellen Van Stolch. Hellen was the only daughter of a Dutch-German landlord who had a large plantation: Jacob Van Stolch. The tragic story that she experienced made ...,Horror,17+,6.2,5,Indonesian,Agus Pestol,"['Sara Wijayanto', 'Milena Tunguz', 'Nayla D. Purnama', 'Willem Bevers', 'Ferdian Ariyadi', 'Maurie Chevalier', nan, nan, nan, nan, nan, nan, nan, nan, nan]",75 min
Bebas,2019,"A group of five girls and one boy becomes best friends since high school. One tragic event had to split them apart. 23 years later, one of them lay dying in a hospital. She hopes she could see all five of her old friends for the last time.",Comedy,13+,7.3,358,Indonesian,Riri Riza,"['Maizura', 'Sheryl Sheinafia', 'Agatha Pricilla', 'Baskara Mahendra', 'Zulfa Maharani', 'Lutesha', 'Marsha Timothy', 'Susan Bachtiar', 'Indi Barends', 'Baim Wong', 'Widi Mulia', 'Salvita Decorte', 'Kevin Ardilova', 'Oka Antara', 'Brandon Salim']",119 min
Bike Boyz,2019,"When Agus wanted to help Lilis look for her husband who had not come home for three months and was not patient, Vespa Agus was taken away by someone.",Comedy,13+,7.2,9,Indonesian,Aris Nugraha,"['Aep Bancet', 'Aline Manza', 'Gariz Luiz', 'Damar Rizal', 'Jo Salim', 'Dicky Tanjung', 'Fadly Maulana', 'Delisa Herlina', 'Enco Ruhayat', 'Birgi Putri', 'Daisy Brata', 'Fenny Yulianto', 'Iphey Kabimo', 'Dian Sule', 'Herry Sog']",95 min
Bridezilla,2019,A wedding organizer has been obsessed since childhood to make the most magnificent wedding. She is ambitious to make the wedding she is working on to be a wedding of the year from Wedding Star magazine.,Comedy,13+,6.0,33,Indonesian,Andibachtiar Yusuf,"['Jessica Mila', 'Rio Dewanto', 'Sheila Dara Aisha', 'Widyawati', 'Aimee Saras', 'Rafael Landry Tanubrata', 'Adriano Qalbi', 'Lucinta Luna', nan, nan, nan, nan, nan, nan, nan]",94 min
Bumi Itu Bulat,2019,"Rahabi has an acapella music group called Rujak Acapella. It consists of friends with different backgrounds. Hitu, who aspires to be a Banser because they once helped his family during a ...",Drama,13+,7.3,9,Indonesian,Ron Widodo,"['Rayn Wijaya', 'Febby Rastanty', 'Rania Putri Sari', 'Kenny Austin', 'Qausar Harta Yudana', 'Aldy Rialdy', 'Mathias Muchus', 'Tissa Biani Azzahra', 'Arie Kriting', 'Ria Irawan', 'Alfie Alfandi', 'Christine Hakim', nan, nan, nan]",103 min
Calon Bini,2019,"Ningsih (Michelle Ziudith) is forced to marry Sapto (Dian Sidik) by her father, but she doesn't care about that and fled to Jakarta. In there, she falls in love with the person that she met on the internet.",Comedy,13+,7.0,43,Indonesian,Asep Kusdinar,"['Michelle Ziudith', 'Rizky Nazar', 'Dian Sidik', 'Ramzi', 'Cut Mini Theo', 'Marwoto', 'Slamet Rahardjo', 'Minati Atmanegara', 'Niniek L. Karim', 'Butet Kertaradjasa', 'Maya Wulan', 'Eko Mulyadi', 'Yuniza Icha', 'Anyun Cadel', 'Adhelheid Bunga W.']",96 min
Danur 3: Sunyaruri,2019,"After years of being friendly with her little ghosts, a girl begins to feel that she must have a normal life like other girls. Especially, now she has a boyfriend, but she doesn't tell him about her ability to see ghosts.",Horror,13+,4.7,102,Indonesian,Awi Suryadi,"['Prilly Latuconsina', 'Rizky Nazar', 'Syifa Hadju', 'Sandrinna Michelle', 'Umay Shahab', 'Stefhani Zamora Husen', 'Yassien Omar', 'Daood', 'Jason Lionel', 'Alessandro Rizky Giannini', 'Matt White', 'Chicco Kurniawan', 'Dea Panendra', 'Hayati Azis', nan]",90 min
Darah Daging,2019,Three siblings carry out a bank robbery to save the lives of their mothers.,Action,17+,7.2,17,Indonesian,Sarjono Sutrisno,"['Ario Bayu', 'Donny Alamsyah', 'Rangga Nattra', 'Arnold Leonard', 'Estelle Linden', 'Karina Suwandhi', 'Tanta Ginting', 'Diandra Sabrina', 'Ray Sahetapy', 'Cantika Putri Kirana', nan, nan, nan, nan, nan]",83 min
Death Whisper,2019,"Alex, a new highschool student met Maggie, and become best friends. Suddenly weird things started to happen in their highschool.",Horror,17+,6.4,146,Indonesian,Awi Suryadi,"['Amanda Rawles', 'Angga Yunanda', 'Teuku Ryzki', 'Arya Vasco', 'Naomi Paulinda', 'Unique Priscilla', 'Verdi Solaiman', 'Dayu Wijanto', 'Sonia Alyssa', 'Abarrane Issabeau', 'Nicolea Anstee', 'Djihan Ranti Larasati', nan, nan, nan]",91 min
Dilan 1991,2019,"Dilan and Milea officially date. But Dilan is threatened to be expelled from school due to involves in gang fights. One day, when he is planning to fight again, Milea asks him to quit the motorcycle gang or their relationship ends.",Drama,13+,6.6,724,Indonesian,Pidi Baiq,"['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Ira Wibowo', 'Bucek Depp', 'Adhisty Zara', 'Afrizal', 'Herwan Sumadipura', 'Daisy', 'Happy Salma', 'Farhan', 'Moira', 'Ceu Popon', 'Roy Sungkono', 'Maudy Koesnaedi', 'Jerome Kurnia']",121 min
Doremi & You,2019,"Four friends try to change the money from the extracurricular choir that they accidentally omitted, by participating in the Doremi and You singing competition.",Drama,SU,7.8,39,Indonesian,B.W. Purba Negara,"['Adyla Rafa Naura Ayu', 'Devano Danendra', 'Fatih Unru', 'Nashwa Zahira', 'Toran Waibro', 'Sekar Sari', 'Simhala Avadana', 'Paundrakarna Sukmaputra Jiwanegara', nan, nan, nan, nan, nan, nan, nan]",99 min
DreadOut,2019,Six friends want to become popular by recording their adventures to be uploaded to social media accounts. They choose to go to the abandoned apartment and suddenly open a portal to the magical world and infuriate the portal guardian.,Adventure,17+,5.3,390,Indonesian,Kimo Stamboel,"['Caitlin Halderman', 'Jefri Nichol', 'Marsha Aruan', 'Ciccio Manassero', 'Susan Sameh', 'Irsyadillah', 'Miller Khan', 'Mike Lucock', 'Cathy Natafitria Fakandi', 'Hannah Al Rashid', 'Salvita Decorte', 'Rima Melati Adams', nan, nan, nan]",97 min
Dua Garis Biru,2019,"A young couple violated the boundary without knowing the consequences. They try to take responsibility for their choices and their innocence was tested when families who really loved them knew, then forced into their chosen journey.",Drama,13+,8.0,763,Indonesian,Ginatri S. Noer,"['Adhisty Zara', 'Angga Yunanda', 'Cut Mini Theo', 'Arswendi Nasution', 'Dwi Sasono', 'Lulu Tobing', 'Rachel Amanda', 'Maisha Kanna', 'Shakira Jasmine', 'Ligwina Hananto', 'Cindy Hapsari', 'Ariella Calista Ichwan', 'Irgi Fahrezi', 'Rahma Alia', 'Asri Welas']",113 min
Eggnoid,2019,Eggnoid is a human who comes out from Eggnoid eggs. He's been assigned to look after and be a friend when a human feels lonely.,Drama,13+,6.2,27,Indonesian,Naya Anindita,"['Sheila Dara Aisha', 'Morgan Oey', 'Luna Maya', 'Kevin Julio', 'Anggika Bolsterli', 'Reza Nangin', 'Martin Anugerah', 'Fatih Unru', 'Reuben Elishama', 'Marissa Anita', nan, nan, nan, nan, nan]",102 min
Ghost Writer,2019,"An old diary containing dark secrets found by Naya, a novelist who has out of ideas for 3 years. This book is a good material for her latest novel, but something unexpected starts to happen.",Comedy,13+,6.8,261,Indonesian,Bene Dion Rajagukguk,"['Tatjana Saphira', 'Ge Pamungkas', 'Deva Mahenra', 'Ernest Prakasa', 'Asmara Abigail', 'Endy Arfian', 'Slamet Rahardjo', 'Dayu Wijanto', 'M. Iqbal Sulaiman', 'Arief Didu', 'Arie Kriting', 'Muhadkly Acho', 'Denny Gitong', 'Asri Welas', 'Elkie Kwee']",97 min
Gundala,2019,Indonesia's preeminent comic book superhero and his alter ego Sancaka enter the cinematic universe to battle the wicked Pengkor and his diabolical squad of orphan assassins.,Action,TV-14,6.5,"3,112",Indonesian,Joko Anwar,"['Abimana Aryasatya', 'Tara Basro', 'Bront Palarae', 'Ario Bayu', 'Lukman Sardi', 'Arswendi Nasution', 'Pritt Timothy', 'Aqi Singgih', 'Donny Alamsyah', 'Tanta Ginting', 'Dhimas Danang', 'Muzakki Ramdhan', 'Marissa Anita', 'Rio Dewanto', 'Putri Ayudya']",123 min
Habibie & Ainun 3,2019,"This movie follows the story of Hasri Ainun Besari Habibie's young life when she was in high school and medical college. She was known as a smart figure who became an idol and admired by many male students, including B.J. Habibie.",Biography,13+,7.0,133,Indonesian,Hanung Bramantyo,"['Maudy Ayunda', 'Jefri Nichol', 'Reza Rahadian', 'Lukman Sardi', 'Marcella Zalianty', 'Arswendi Nasution', 'Jennifer Coppen', 'Rebecca Klopper', 'Teuku Ryzki', 'Eric Febrian', 'Aghniny Haque', 'Arya Saloka', 'Kevin Ardilova', 'Mike Lucock', 'Amaranggana']",121 min
Hayya: The Power of Love 2,2019,"Haunted by the sins in his past, a journalist decides to become a humanitarian volunteer in the Palestinian border refugee camp. In that area, he meets Hayya, an innocent orphaned girl who is a victim of the conflict in Palestine.",Drama,13+,5.0,147,Indonesian,Jastis Arimba,"['Ria Ricis', 'Fauzi Baadila', 'Adhin Abdul Hakim', 'Amna Hasanah Shahab', 'Meyda Sefira', 'Hamas Syahid', 'Humaidi Abas', 'Asma Nadia', 'Fajar Lubis', nan, nan, nan, nan, nan, nan]",101 min
Hiruk-Pikuk Si Al-Kisah,2019,"Siman discovers a foreign crew shooting a moon landing. He gets caught and his tongue is cut off. He goes through life in slow motion, imitating an astronaut in outer space, labeled as crazy.",Drama,,6.5,46,Indonesian,Yosep Anggi Noen,"['Gunawan Maryanto', 'Ecky Lamoh', 'Yudi Ahmad Tajudin', 'Alex Suhendra', 'Lukman Sardi', 'Rusini', 'Asmara Abigail', 'Marissa Anita', 'Rachel Saraswati', 'Pritt Timothy', 'Banyu Bening', 'Tri Sudarsono', 'Sri Widayati', 'Muhammad Nurdiansyah', 'Ernanto Kusuma']",106 min
Hit & Run,2019,"A celebrity policeman who is followed by cameras everywhere because he has his own reality show. He is assigned to arrest a drug kingpin who has just escaped from prison. Unfortunately, this time he must be paired with a conman.",Action,17+,6.2,157,Indonesian,Ody C. Harahap,"['Joe Taslim', 'Chandra Liow', 'Tatjana Saphira', 'Jefri Nichol', 'Nadya Arina', 'Yayan Ruhian', 'Reza Aditya', 'Qausar Harta Yudana', 'Peter Taslim', 'Simone Julia', 'David Hendrawan', 'Novi Rahmat Hidayat', 'Karina Suwandhi', 'Mathias Muchus', 'Caitlin North Lewis']",114 min
Homecoming,2019,"Homecoming (Mudik) In the few days before Eid, a young married couple, Firman (Ibnu JAMIL) and Aida (Putri AYUDYA) like many urban Indonesians are travelling across the country to spend the...",Drama,,7.5,6,Indonesian,Adriyanto Dewo,"['Asmara Abigail', 'Putri Ayudya', 'Ibnu Jamil', 'Yoga Pratama', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",93 min
