Date,Headline,Conflict Type,Country,Region,Description,Sources
1804,Napolean attempts to re-route Rhine River to harm Dutch,Weapon,Germany,Western Europe,"Napoleon orders the construction of a canal between Neuss and Venlo, to connect the Rhine and Meuse rivers, to divert trade from the Batavia Republic to the Southern Netherlands, then under French control. Three-quarters of the canal are completed, but work stops because of lack of funds.",Israel 1997
1841,Reservoir destroyed in Canada,"Trigger, Casualty",Canada,North America,"A reservoir in Ops Township, Upper Canada (now Ontario) is destroyed by neighbors who consider it a hazard to health.",Forkey 1998
1844,Mob destroys reservoir in Ohio,"Trigger, Casualty",United States,North America,"A reservoir in Mercer County, Ohio is destroyed by a mob that considered it a health hazard.",Scheiber 1969
1850s,New Hampshire residents attack dam,"Trigger, Casualty",United States,North America,Attack on a New Hampshire dam that impounds water for factories downstream by local residents unhappy over its effect on water levels.,Steinberg 1990
1853-1861,Mobs destroy canals in Indiana,"Trigger, Casualty",United States,North America,Repeated destruction of the banks and reservoirs of the Wabash and Erie Canal in southern Indiana by mobs regarding it as a health hazard.,Fatout 1972
1860-1865,US Civil War soldiers poison wells,Weapon,United States,North America,General William T. Sherman's memoirs contain an account of Confederate soldiers poisoning ponds by dumping the carcasses of dead animals into them. Other accounts suggest this tactic was used by both sides.,Eitzen and Takafuji 1997
1862,US Civil War Confederates use dams to cut off Union troops,Weapon,United States,North America,"During the US Civil War, Confederate forces near Yorktown use dams to flood the Warwick River and cut off Union troops. ""The enemy is pushed behind a branch of the Warwick River in which they control the depths of water by dams. McClellan did not intend to pass that stream at that time, or at that point where the skirmish took place. But the troops, finding the stream fordable went over (under whose immediate orders does not appear) and the water was then deepened so that they were measurably cut off.""",Hitchcock 1862
1863,"Levees cut in Vicksburg, Virginia","Weapon, Casualty",United States,North America,"General Ulysses S. Grant, during the Civil War campaign against Vicksburg, cut levees in the battle against the Confederates.",Grant 1885
1870s to 1881,Water violence in New Mexico,Trigger,United States,North America,"Recurrent friction and eventual violent conflict over water rights in the vicinity of Tularosa, New Mexico involving villagers, ranchers, and farmers.",Rasch 1968
1883-1884,Cattlemen fight Texan landowners for access to water and pasture,Trigger,United States,North America,"Drought in Texas in the early 1880s lead to growing disputes among ranch and land owners and cattlemen looking for access to grass and water for their stock. Cattlemen begin cutting fences to open access to water and pasture in what became known as the ""Texas Fence Cutters Range War."" At least three men are killed in clashes between fence cutters and ranchmen during this period, until agreements are reached.",Gard 2010
1887,Mob dynamites Ohio reservoir,"Trigger, Casualty",United States,North America,"Dynamiting of a canal reservoir in Paulding County, Ohio by a mob regarding it as a health hazard. State Militia called out to restore order.",Walters 1948
1890,Canal lock destroyed in Canada,Casualty,Canada,North America,"Partly successful attempt to destroy a lock on the Welland Canal in Ontario, Canada either by Fenians protesting English Policy in Ireland or by agents of Buffalo, NY grain handlers unhappy at the diversion of trade through the canal.",Styran and Taylor 2001
1898,France and Britain battle over Nile,Trigger,Mahdist State,Northern Africa,"Military conflict nearly ensues between Britain and France in 1898 when a French expedition attempts to gain control of the headwaters of the White Nile. While the parties ultimately negotiate a settlement of the dispute, the incident is since characterized as having ""dramatized Egypt's vulnerable dependence on the Nile, and fixed the attitude of Egyptian policy-makers ever since.""",Moorehead 1960
1903,"A deathly riot arose over the cost of water in Port of Spain, Trinidad",Trigger,Trinidad,Latin America and the Ca,"In 1903, the government in Port-of-Spain, Trinidad passes an ordinance increasing the price of water following the construction of national waterworks infrastructure. Public meetings are held to protest the increase, culminating in a riot at the seat of government, the Red House. Protestors set the building on fire and during the riot police kill 16 people and injure 42 others.",Mahoney 2013
1904,German colonial troops poison desert water wells,Weapon,German Southwest Africa,Sub-Saharan Africa,"German colonial troops brutally suppress a rebellion by the Herero people of German South-West Africa (modern-day Namibia). General Lothar von Trotha pledges to exterminate the Herero people in what has become known as the Herero and Namaqua Genocide. The Germans drive ethnic Herero and Namaqua populations into the Namib desert leading to massive death from dehydration and starvation; they also reportedly poison desert water wells. Later, the UN estimates that up to 100,000 were killed, or 70% of the Herero population.",Totten Parsons and Charny 2004
1907-1913,Los Angeles aqueduct bombed,"Trigger, Casualty",United States,North America,The Los Angeles Valley aqueduct/pipeline suffers repeated bombings in an effort to prevent diversions of water from the Owens Valley to Los Angeles.,Reisner 1993
1908-1909,Violence over fishing in Tennessee,Trigger,United States,North America,"Violence, including a murder, directed against agents of a land company that claims title to Reelfoot Lake in northwestern Tennessee who attempt to levy charges for fish taken and threaten to drain the lake for agriculture.",Vanderwood 1969
1915,German troops poison South African wells,Casualty,German Southwest Africa,Sub-Saharan Africa,"Union of South African troops capture Windhoek, capital of German Southwest Africa in May 1915. Retreating German troops poison wells - ""a violation of the Hague convention.""",Daniel 1995
1935,Arizona mobilizes troops to protest Parker Dam,Trigger,United States,North America,Arizona calls out the National Guard and militia units to the border with California to protest the construction of Parker Dam and diversions from the Colorado River; dispute ultimately is settled in court.,Reisner 1993
1937,Dams attacked in Spanish Civil War,Casualty,Spain,Southern Europe,"During the Spanish Civil War, two concrete gravity dams, at Burguillo and Ordunte, are attacked by the Nationalist army, with a 2.5-ton charge placed in an inspection gallery at Ordunte. Some limited damage; repaired 1938-1939.",Pagan 2005
1938,China floods Yellow River to defend from Japan,"Weapon, Casualty","China, Japan",Eastern Asia,"Chiang Kai-shek orders the destruction of flood-control dikes of the Huayuankou, Henan section of the Huang He (Yellow) River, in order to flood areas threatened by the Japanese army. West of Kaifeng, dikes are destroyed with dynamite, spilling water across the flat plain. Even though the flood destroys part of the invading army and mires its equipment in mud, Wuhan, the headquarters of the Nationalist government is taken by the Japanese in October. Floodwaters cover an area variously estimated as between 3,000 and 50,000 square kilometers, and kill Chinese estimated in numbers between ""tens of thousands"" and ""one million.""",Hillel 1991
1939-1940,Dutch flood valley to defend from Germany,Weapon,The Netherlands,Western Europe,"During the mobilization of the Dutch at the beginning of World War II, 1939-40, the Dutch attempt to flood the Gelderse Vallei with the New Dutch Water Defence Line, which had been completed in 1885. During the German invasion in May 1940, large areas are inundated.",Information and Documentation Center for the Geography of the Netherlands (IDG) 1996
1939-1942,Japan's Unit 731 poisons wells,Weapon,"China, Japan",Eastern Asia,Japanese chemical and biological weapons activities reportedly include tests by 'Unit 731' against military and civilian targets by lacing water wells and reservoirs with typhoid and other pathogens.,Harris 1994
1940,Finns use canal water against Soviets,Weapon,"Finland, Soviet Union",Northern Europe,Manipulation of the waters of the Saimaa Canal (Finland) by partisan Finns in order to flood surrounding land and hinder Soviet troop movements during the Soviet-Finnish conflict.,Malik 2005
1940-1945,Dams bombed in WWII,Casualty,Germany,Western Europe,Hydroelectric dams routinely bombed as strategic targets during World War II.,Gleick 1993
1941,Soviets create flood to slow German troops,Weapon,Soviet Union,Eastern Europe,"In November 1941, Soviet troops flood the area to the south of the Istra Reservoir near Moscow in an effort to slow the German advance. Just a few weeks later, German troops use the same tactic to create a water barrier to halt advances by the Soviet 16th Army.",Malik 2005
1941,Soviet dam targeted during World War II by Soviets and Germans,Casualty,Soviet Union,Eastern Europe,"The strategically-important Dnieper hydropower plant in Ukraine is targeted by both Soviet and German troops during WWII. On August 18, 1941, the dam and power plant are dynamited by Soviet troops retreating in front of advancing German forces. The facility is bombed again in 1943 by retreating German troops.",Pagan 2005
1941-1943,WWII damages Soviet's hydroelectric dams,Weapon,Soviet Union,Eastern Europe,World War II inflicts enormous harm to hydroelectricity systems in the Soviet Union. Over two-thirds of the hydroelectric power stations are lost.,Malik 2005
1943,German dams destroyed by Allies,Casualty,Germany,Western Europe,"British Royal Air Force bomb dams on the M?hne, Sorpe, and Eder Rivers, Germany (May 16 and 17). M?hne Dam breech kills 1,200, destroys all downstream dams for 50 km. The flood that occurs after breaking the Eder dam reachs a peak discharge of 8,500 mÂ³/s, which is nine times higher than the highest flood observed. Many houses and bridges are destroyed, and 68 are killed.",Kirschner 1949
1944,Germans use Italian rivers against Allies,Weapon,Italy,Western Europe,"German forces use waters from the Isoletta Dam (Liri River, Italy) in January and February to successfully destroy British assault forces crossing the Garigliano River (downstream of Liri River). The German Army then dam the Rapido River, flooding a valley occupied by the American Army.",US Army Corps of Engineers 1953
1944,Germany floods Pontine Marshes,Weapon,Italy,Western Europe,"The German army floods the Pontine Marches, on the coast of Italy southeast of Rome, by stopping pumps and opening dikes, in order to disrupt Allied forces who had established a beachhead at Anzio, Italy. Allied forces are surrounded by German artillery and pinned down for months by heavy shelling. The purpose of the flooding is to bring mosquitoes and malaria, ""deliberately introduced as an act of biological warfare."" This has a limited military impact, but devastates the local population, which the Third Reich had wished to punish for disloyalty.",US Army Corps of Engineers 1953
1944,Germans flood Ay River,Weapon,France,Western Europe,"Germans flood the Ay River in France in July 1944, creating a lake two meters deep and several kilometers wide, slowing an advance on Saint-L?, a German communications center in Normandy.",US Army Corps of Engineers 1953
1944,Germans flood Ill River Valley,Weapon,"France, Germany",Western Europe,"Germans flood the Ill River Valley during the Battle of the Bulge (winter 1944-45) creating a lake 16 kilometers long, 3-6 kilometers wide, and 1-2 meters deep, greatly delaying the American Army's advance toward the Rhine.",US Army Corps of Engineers 1953
1944,US targets Japanese water supplies in bombardment of Saipan,Casualty,Japan,Eastern Asia,"The US bombardment of the Japanese-occupied island in June 1944 targets water supply points, resulting in severe shortages.",Stewart n.d.
1944,Soviets attack Finn-controlled dam near Leningrad,Casualty,"Finland, Soviet Union",Eastern Europe,"In June, the Soviet air force attacked the Svir River Dam near Leningrad, then under the control of the Finnish military.",Orlenko 1981
1945,Germans pollute reservoir in Bohemia,Weapon,"Czechoslovakia, Germany",Eastern Europe,"In one of the few verified German tactical uses of biological warfare, German forces pollute a large reservoir in northwestern Bohemia, Czechoslovakia with sewage in May 1945. See also the entry for the Pontine Marshes in 1944.",Stockholm International Peace Research Institute (SIPRI) 1971
1947-1960s,Indus divided between India and Pakistan,Weapon,"India, Pakistan",Southern Asia,"Partition leaves Indus basin divided between India and Pakistan; disputes over irrigation water ensue, during which India stems flow of water into irrigation canals in Pakistan. Indus Waters Agreement reached in 1960 after 12 years of World Bank-led negotiations.","Bingham, Wolf, and Wohlegenant 1994"
1948,Arabs cut off Jerusalem water,Weapon,"Palestine, Israel",Western Asia,Arab forces cut of West Jerusalem's water supply in first Arab-Israeli war.,Wolf 1995
1948,Water and food supplies cut off during Arab siege of Jerusalem,Weapon,"Palestine, Israel",Western Asia,"Water and food supplies are cut off during Arab siege of Jerusalem from December 1, 1947 to July 10, 1948. Arab forces block the road to Jerusalem, in an attempt to defeat Jewish Jerusalem. Shortages cause Israelis to begin rationing water on May 12, limiting each person to 2 gallons per day (8 L), of which 4 pints (2 L) are for drinking.",Collins and LaPierre 1972
1950s,US attacks North Korean dams,Casualty,North Korea,Eastern Asia,Centralized dams on the Yalu (Amnok) River serving North Korea and China are attacked during Korean War.,Gleick 1993
1951,North Korea floods Pukhan Valley,"Weapon, Casualty",North Korea,Eastern Asia,North Korea releases flood waves from the Hwachon Dam damaging floating bridges operated by UN troops in the Pukhan Valley. The US Navy then sends planes to destroy the spillway crest gates.,US Army Corps of Engineers 1953
1951,Israel and Syria fight over Yarmouk River,"Weapon, Casualty","Israel, Jordan, Syria",Western Asia,Jordan makes public its plans to irrigate the Jordan Valley by tapping the Yarmouk River; Israel responds by commencing drainage of the Huleh swamps located in the demilitarized zone between Israel and Syria; border skirmishes ensue between Israel and Syria.,Wolf 1997
1951,US Bombers Destroy Korea's Hwacheon Dam,"Weapon, Casualty",North Korea,Eastern Asia,"The Hwacheon Dam in Korea, completed in 1944, becomes both a target and a tool of opposing forces during the Korean War. In 1951, North Korea opens the dam to flood downstream areas and slow advancing UN forces. In response, the US Navy sends aircraft to bomb the dam, the last known American use of aerial torpedoes in war.",Calcagno 2004
1953,Israel and Syria clash over Sea of Galilee,Trigger,"Israel, Jordan, Syria",Western Asia,Israel begins construction of its National Water Carrier to transfer water from the north of the Sea of Galilee out of the Jordan basin to the Negev Desert for irrigation. Syrian military actions along the border and international disapproval lead Israel to move its intake to the Sea of Galilee.,Naff and Matson 1984
1958,Egypt and Sudan clash over Nile,Trigger,"Egypt, Sudan",Northern Africa,"Egypt sends an unsuccessful military expedition into disputed territory amidst pending negotiations over the Nile waters, Sudanese general elections, and an Egyptian vote on Sudan-Egypt unification; Nile Water Treaty signed when pro-Egyptian government elected in Sudan.",Wolf 1997
1960s,US bombs irrigation systems in Vietnam,Casualty,North Vietnam,Southeast Asia,Irrigation water supply systems in North Vietnam are bombed during the Vietnam War. An estimated 661 sections of dikes damaged or destroyed.,Kandachi 1967
1962,Israel destroys irrigation ditches in demilitarized zone on Syrian border,Casualty,"Israel, Syria",Western Asia,Israel destroys irrigation ditches in the lower Tarfiq in the demilitarized zone. Syria complains.,Naff and Matson 1984
1962-1967,Brazil and Paraguay clash over Paraná River,Trigger,"Brazil, Paraguay",Latin America and the Ca,"Negotiations between Brazil and Paraguay over the development of the Paran? River are interrupted by a unilateral show of military force by Brazil in 1962, which invades the area and claims control over the Guadalajara Falls site. Military forces are withdrawn in 1967 following an agreement for a joint commission to examine development in the region.",Murphy and Sabadell 1986
1962,Kaptai Dam displaces Jumma people in Eastern Pakistan,Trigger,Eastern Pakistan,Southern Asia,"In 1957, Eastern Pakistan (present-day Bangladesh) begins building the Kaptai Hydroelectric Dam on the Karnaphuli River in the Chittagong Hills Tract in the southeast. Completed in 1962, the dam flooded 655 square kilometers of land and displaced 100,000 people, most of them Jumma, or ethnic minorities in a country ruled by a Bengali majority. The displaced Jumma are offered little land or compensation and many flee to neighboring India. These conditions contributed to 20+ years of conflict.",Chittagong Hill Tracts Commission 1991
1963-1964,Ethiopia and Somali nomads fight for desert water,Trigger,"Ethiopia, Somalia",Sub-Saharan Africa,Creation of boundaries in 1948 leaves Somali nomads under Ethiopian rule; border skirmishes occur over disputed territory in Ogaden desert where critical water and oil resources are located; cease-fire is negotiated only after several hundred are killed.,Wolf 1997
1964,Cuba cuts off water to US at Guantanamo,Weapon,"Cuba, United States",Latin America and the Ca,"On February 6, 1964, the Cuban government cuts off the normal water supply to the US Naval Base at Guantanamo Bay, in retaliation for the US seizure of four Cuban fishing boats days earlier near Florida.",Guantanamo Bay Gazette 1964
1964,Israel drops bombs over Dan River,Casualty,"Israel, Syria",Western Asia,Headwaters of the Dan River on the Jordan River are bombed at Tell El-Qadi in a dispute about sovereignty over the source of the Dan.,Naff and Matson 1984
1965,British defend South African dam,"Trigger, Weapon",Zambia,Sub-Saharan Africa,President Kenneth Kaunda of Zambia calls on British government to send troops to Kariba Dam to protect it from possible saboteurs from Rhodesian government.,Chenje 2001
1965,Palestinians attack Israeli water pumps,Casualty,"Israel, Palestine",Western Asia,First attack ever by the Palestinian National Liberation Movement Al-Fatah is on the diversion pumps for the Israeli National Water Carrier. Attack fails.,Naff and Matson 1984
1965-1966,Israel attacks over Arab water plan,Trigger,"Israel, Jordan, Syria",Western Asia,"Fire is exchanged over ""all-Arab"" plan to divert the Jordan River headwaters (Hasbani and Banias) and presumably preempt Israeli National Water Carrier; Syria halts construction of its diversion in July 1966.",Wolf 1995
1965,Feud over the Buffalo National River turns violent between environmentalists and local populations,Trigger,United States,North America,"Feuding between two groups over the fate of the Buffalo National River in Arkansas and a potential dam project turn violent when a canoe race on Memorial Day, 1965 is disrupted by barbed wire strung across the river and gun shots near the canoes. Small injuries caused by the barbed wire to canoeists are reported.",Schulte 2019
