,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
ACTG,0.89,16.17,10.49,0.81,0.57,0.23,-,7.30%,-17.20%,320.60%,1.40%
ACWI,-,-,-,-,-,-,1.99%,-,-,-,-
ACWX,-,-,-,-,-,-,2.90%,-,-,-,-
ADAP,1.87,-,-,-,0.00,-0.96,-,-44.90%,-113.30%,38.70%,0.10%
ADBE,19.72,60.59,43.07,3.48,0.35,7.94,-,35.40%,20.60%,22.00%,0.10%
ADES,1.15,-,-,-,0.35,-0.64,-,-24.20%,-17.50%,28.60%,0.80%
ADI,4.33,42.86,22.24,3.74,0.43,3.28,1.76%,10.40%,8.20%,39.50%,0.10%
ADIL,3.83,-,-,-,0.00,-0.82,-,-132.80%,-,-46.10%,17.95%
ADILW,,,,,,,,,,,
ADMA,2.46,-,-,-,1.36,-0.87,-,-98.80%,-,0.00%,0.50%
ADMP,1.36,-,-,-,0.19,-0.50,-,-115.90%,-76.90%,20.90%,1.30%
ADMS,-,-,-,-,-,-2.22,-,328.40%,-72.70%,57.70%,0.90%
ADOCU,-,-,-,-,-,-,-,-,-,-,29.60%
ADP,12.66,29.86,27.09,2.70,0.34,5.75,2.17%,44.40%,30.80%,4.70%,0.10%
ADPT,8.27,-,-,-,0.00,-0.95,-,-20.10%,-12.90%,-143.60%,1.30%
ADRE,-,-,-,-,-,-,1.22%,-,-,-,-
ADSK,893.74,140.71,53.82,3.99,24.31,1.97,-,-319.20%,14.00%,144.50%,0.10%
ADTN,1.65,-,29.59,-,0.00,-0.32,2.82%,-4.20%,-16.80%,111.70%,1.00%
ADTX,1.06,-,-,-,0.00,-0.73,-,-596.90%,-,26.20%,4.60%
ADUS,3.14,46.86,28.86,3.12,0.12,2.18,-,7.10%,5.10%,47.90%,1.50%
ADV,1.33,-,14.10,-,0.00,-0.05,-,-0.60%,-,-528.10%,64.01%
ADVM,2.68,-,-,-,0.00,-1.28,-,-32.20%,-39.20%,-25.00%,0.40%
ADVWW,,,,,,,,,,,
ADXN,-,-,-,-,-,-,-,-,-,-,-
ADXS,0.61,-,-,-,0.00,-0.60,-,-81.60%,-49.70%,90.50%,0.09%
AEGN,1.34,-,14.75,-,0.56,-1.33,-,-9.80%,0.60%,-581.00%,3.50%
AEHL,0.11,-,-,-,0.02,-1.10,-,-3.00%,-3.40%,240.10%,49.00%
AEHR,3.06,-,-,-,0.13,-0.10,-,-15.50%,-17.70%,125.10%,8.00%
AEIS,4.99,37.13,18.23,3.71,0.42,2.69,-,14.50%,4.30%,528.40%,0.60%
AEMD,1.68,-,-,-,0.00,-0.79,-,-54.60%,-67.80%,88.70%,1.20%
AEP,2.08,22.22,18.48,3.93,1.59,3.86,3.45%,9.60%,5.30%,1.60%,0.01%
AEPPL,,,,,,,,,,,
AEPPZ,,,,,,,,,,,
AERI,9.73,-,-,-,3.41,-4.19,-,-173.00%,-52.70%,20.60%,0.70%
AESE,0.68,-,-,-,0.17,-1.26,-,-74.10%,-26.80%,5.90%,5.30%
AEY,2.16,-,-,-,0.55,-1.72,-,-82.60%,-13.40%,137.00%,29.30%
AEYE,20.44,-,-,-,0.17,-0.63,-,-236.80%,-434.30%,56.30%,6.40%
AEZS,1.63,-,-,-,0.01,-0.18,-,-125.80%,628.40%,-3.10%,0.60%
AFIB,2.97,-,-,-,0.30,-,-,-,42.60%,-226.20%,2.30%
AFIN,0.52,-,-,-,0.00,-0.40,11.23%,-2.60%,1.60%,-136.90%,0.10%
AFINP,,,,,,,,,,,
AFMD,8.02,-,-,-,0.05,-0.62,-,-100.40%,-77.30%,60.20%,6.55%
AFYA,4.85,36.84,23.56,3.56,0.20,0.69,-,11.70%,7.90%,-4.20%,19.14%
AGBA,,,,,,,,,,,
AGBAR,,,,,,,,,,,
AGBAU,,,,,,,,,,,
AGBAW,,,,,,,,,,,
AGC,,,,,,,,,,,
AGCUU,-,-,-,-,-,-,-,-,-,-,-
AGCWW,,,,,,,,,,,
AGEN,-,-,-,-,-,-1.09,-,82.80%,-,15.30%,9.30%
AGFS,0.44,-,-,-,0.98,-1.48,-,-25.00%,-3.10%,-888.10%,2.00%
AGIO,6.68,-,-,-,0.00,-4.93,-,-57.60%,-,20.70%,0.10%
AGLE,3.79,-,-,-,0.00,-1.91,-,-81.40%,-,55.80%,2.53%
AGMH,28.99,-,-,-,0.00,-0.07,-,-,-11.30%,-,54.51%
AGNC,0.92,-,6.45,-,5.93,-0.52,9.40%,-2.90%,-,-,0.34%
AGNCM,,,,,,,,,,,
AGNCN,,,,,,,,,,,
AGNCO,,,,,,,,,,,
AGNCP,,,,,,,,,,,
AGRX,3.67,-,-,-,0.24,-0.50,-,-56.80%,-,-115.00%,0.90%
AGTC,2.29,-,-,-,0.17,-2.14,-,-73.10%,-58.30%,6.30%,0.30%
AGYS,11.15,-,49.17,-,0.00,-1.12,-,-32.60%,-47.70%,277.30%,2.50%
AGZD,-,-,-,-,-,-,2.37%,-,-,-,-
AHAC,,,,,,,,,,,
AHACU,-,-,-,-,-,-,-,-,-,-,2.95%
AHACW,,,,,,,,,,,
AHCO,4.54,-,40.27,-,1.67,-0.11,-,-,6.60%,-601.90%,0.80%
AHPI,2.21,-,-,-,0.40,-0.64,-,-27.80%,-26.20%,75.00%,2.30%
AIA,-,-,-,-,-,-,1.81%,-,-,-,-
AIH,1.64,-,1.54,-,0.69,-0.54,-,-,-3.60%,-,-
AIHS,10.00,-,-,-,1.90,-0.17,-,-358.10%,-58.60%,-190.30%,32.82%
AIKI,0.73,-,-,-,0.00,-0.75,-,-50.70%,-,95.80%,5.62%
AIMC,1.94,-,17.83,-,0.79,-0.30,0.42%,-1.00%,5.80%,48.30%,0.50%
AINV,0.72,-,7.57,-,1.59,-1.66,11.13%,-10.40%,5.00%,386.80%,0.20%
AIQ,-,-,-,-,-,-,0.50%,-,-,-,-
AIRG,2.72,-,53.59,-,0.00,-0.22,-,-4.50%,0.50%,-93.40%,0.60%
AIRR,-,-,-,-,-,-,0.25%,-,-,-,-
AIRT,1.61,-,-,-,4.60,-1.17,-,-16.10%,9.20%,-27.40%,45.22%
AIRTP,,,,,,,,,,,
AIRTW,,,,,,,,,,,
AKAM,4.10,30.30,18.83,2.90,0.00,3.41,-,14.70%,9.00%,13.70%,2.12%
AKBA,1.40,-,-,-,0.00,-2.97,-,-105.70%,-59.40%,8.90%,0.30%
AKER,0.74,-,-,-,0.00,-2.86,-,-136.30%,-42.30%,74.80%,24.28%
AKRO,3.36,-,-,-,0.00,-2.16,-,-40.90%,-,-13.40%,8.35%
AKTS,8.17,-,-,-,0.70,-1.10,-,-98.20%,-49.50%,-5.80%,9.30%
AKTX,14.82,-,-,-,0.00,-0.91,-,-,-,-8.20%,26.88%
AKU,,,,,,,,,,,
AKUS,0.99,-,-,-,0.00,-,-,-,-,-369.20%,15.30%
ALAC,6.01,2702.52,-,-,0.37,0.00,-,0.60%,-,-194.00%,21.59%
ALACR,,,,,,,,,,,
ALACU,,,,,,,,,,,
ALACW,,,,,,,,,,,
ALBO,2.79,-,-,-,0.00,-6.15,-,-71.20%,-65.60%,-13.30%,0.30%
ALCO,1.16,10.05,-,-,1.07,3.07,1.17%,11.70%,9.10%,-87.10%,15.80%
ALDX,3.66,-,-,-,0.22,-1.30,-,-73.90%,-,66.00%,2.22%
ALEC,3.52,-,-,-,0.00,-2.23,-,-53.90%,-58.80%,-42.40%,0.40%
ALGM,-,-,59.79,-,0.05,-,-,-,5.10%,479.40%,56.40%
ALGN,13.14,22.99,60.97,1.22,0.00,21.99,-,69.00%,32.00%,37.10%,0.40%
ALGS,-,-,-,-,-,-,-,-,-,-,22.70%
ALGT,3.92,-,48.28,-,2.18,-6.05,-,-12.20%,12.60%,-167.40%,16.40%
ALIM,-,-,-,-,-,-0.77,-,10.70%,-124.80%,81.60%,1.80%
ALJJ,2.66,-,-,-,6.60,-1.87,-,-159.30%,-3.00%,66.70%,60.34%
ALKS,2.76,-,40.65,-,0.25,-0.47,-,-6.90%,-12.80%,99.80%,0.20%
ALLK,11.53,-,-,-,0.00,-2.74,-,-29.20%,-,-83.10%,9.47%
ALLO,3.58,-,-,-,0.00,-2.13,-,-27.60%,-,-4.90%,1.60%
ALLT,2.70,-,165.00,-,-,-0.27,-,-,-,-,6.49%
ALNA,2.46,-,-,-,0.54,-1.27,-,-210.80%,-,60.90%,4.28%
ALNY,12.35,-,-,-,0.00,-7.83,-,-66.00%,-65.40%,-13.80%,0.30%
ALOT,1.00,-,33.10,-,0.29,-0.07,-,-0.60%,3.10%,-99.70%,4.50%
ALPN,3.23,-,-,-,0.15,-1.44,-,-80.40%,-126.70%,55.40%,0.50%
ALRM,8.30,50.25,45.68,13.22,0.25,1.48,-,19.30%,10.90%,100.70%,1.10%
ALRN,3.28,-,-,-,0.02,-0.77,-,-170.40%,-,54.20%,1.10%
ALRS,1.33,10.62,16.97,-,0.18,2.35,2.40%,13.60%,16.80%,138.50%,2.00%
ALSK,0.96,17.11,-,-,0.98,0.18,-,5.70%,4.70%,12.60%,0.30%
ALT,1.96,-,-,-,0.00,-2.00,-,-46.40%,-47.00%,27.40%,1.40%
ALTA,1.46,12.00,14.86,1.50,0.00,2.33,2.15%,12.80%,26.90%,2.40%,1.10%
ALTM,2.02,-,15.51,-,7.97,-99.46,-,50.70%,-,123.00%,0.60%
ALTR,10.60,-,234.37,-,0.60,-0.20,-,-4.00%,-0.50%,47.80%,0.70%
ALTY,-,-,-,-,-,-,10.56%,-,-,-,-
ALVR,-,-,-,-,-,-0.44,-,-,51.80%,-,36.40%
ALXN,2.43,28.75,9.48,2.67,0.23,4.27,-,8.60%,16.90%,25.80%,0.10%
ALXO,11.36,-,-,-,0.02,-1.14,-,-,29.40%,-144.60%,2.60%
ALYA,3.04,-,-,-,-,-0.24,-,-,-,-,26.60%
AMAL,0.79,9.41,9.89,-,0.00,1.41,2.41%,8.90%,29.70%,-2.10%,0.26%
AMAT,8.15,21.76,15.95,1.36,0.57,3.92,1.03%,32.90%,20.40%,49.70%,0.10%
AMBA,6.44,-,163.82,-,0.00,-1.76,-,-9.50%,-11.80%,-38.00%,5.00%
AMCA,-,-,-,-,-,-,2.61%,-,-,-,-
AMCI,1.64,-,-,-,0.02,-0.05,-,-0.50%,-,-,-
AMCIU,,,,,,,,,,,
AMCIW,,,,,,,,,,,
AMCX,2.27,12.87,4.17,-,3.88,2.52,-,20.40%,13.90%,-43.60%,0.10%
AMD,28.67,130.74,51.39,3.42,0.00,0.72,-,27.00%,12.40%,198.80%,0.60%
AMED,10.69,49.51,39.38,3.01,0.41,5.00,-,23.80%,15.30%,109.30%,1.40%
AMEH,2.84,19.11,17.85,-,1.03,0.93,-,16.80%,5.60%,354.10%,5.10%
AMGN,12.10,18.27,13.32,2.75,3.13,12.40,2.82%,72.10%,21.20%,5.00%,0.19%
AMHC,,,,,,,,,,,
AMHCU,,,,,,,,,,,
AMHCW,,,,,,,,,,,
AMKR,1.65,11.62,11.78,0.28,0.61,1.29,1.07%,15.00%,5.50%,68.60%,1.00%
AMNB,0.89,10.38,11.69,2.60,0.11,2.60,4.00%,8.80%,20.20%,-15.60%,3.40%
AMOT,2.86,26.69,23.47,0.89,0.93,1.51,0.30%,11.50%,9.90%,-14.10%,12.70%
AMPH,2.09,132.99,15.65,5.32,0.11,0.13,-,1.70%,-3.20%,200.50%,1.60%
AMRB,0.72,10.30,10.34,0.69,0.00,1.10,2.48%,7.30%,24.90%,12.80%,8.60%
AMRH,0.71,-,-,-,0.51,-2.32,-,-62.10%,-43.30%,-565.20%,9.18%
AMRHW,,,,,,,,,,,
AMRK,1.81,3.99,9.54,-,4.93,7.37,-,57.90%,5.50%,17933.60%,1.00%
AMRN,3.14,-,28.98,-,0.02,-0.04,-,-2.70%,-3.80%,-76.70%,1.00%
AMRS,-,-,-,-,-,-1.87,-,242.80%,-,34.40%,0.60%
AMSC,5.87,-,-,-,0.00,-0.92,-,-27.90%,-32.30%,-325.20%,3.30%
AMSF,2.18,11.44,17.92,1.14,0.00,4.76,1.98%,20.30%,21.50%,8.90%,0.70%
AMST,4.94,-,-,-,0.00,-,-,-,-,-192.40%,15.00%
AMSWA,4.36,81.60,54.40,5.10,0.00,0.20,2.70%,5.60%,5.00%,71.00%,1.30%
AMTB,0.79,238.94,30.98,-,0.15,0.07,-,0.40%,22.00%,-85.40%,0.30%
AMTBB,,,,,,,,,,,
AMTI,6.89,-,-,-,0.00,-,-,-,-,-114.10%,2.30%
AMTX,-,-,-,-,-,-1.39,-,17.40%,-18.80%,-90.30%,10.19%
AMWD,2.00,23.12,11.79,2.89,0.75,3.80,-,9.00%,8.20%,-0.10%,1.60%
AMYT,-,-,-,-,-,-,-,-,-,-,-
AMZN,19.39,93.82,70.60,2.58,0.61,34.15,-,24.50%,11.70%,192.00%,10.60%
ANAB,1.87,-,-,-,0.00,-2.71,-,-19.10%,-26.40%,24.10%,0.30%
ANAT,0.38,6.98,-,-,0.11,12.36,3.81%,5.60%,4.40%,85.60%,0.20%
ANCN,2.14,-,-,-,-,-2.03,-,-,-,-,3.89%
ANDA,7.55,86.80,-,-,0.00,0.12,-,-,-,-70.70%,0.50%
ANDAR,,,,,,,,,,,
ANDAU,,,,,,,,,,,
ANDAW,,,,,,,,,,,
ANDE,0.82,-,16.05,-,1.15,-0.06,2.99%,-0.20%,1.20%,75.30%,1.80%
ANGI,4.58,733.12,-,-,0.57,0.02,-,0.60%,2.70%,-74.40%,0.90%
ANGL,-,-,-,-,-,-,5.06%,-,-,-,-
ANGO,1.16,-,94.42,-,0.00,-4.46,-,-31.80%,-33.50%,-231.40%,2.60%
ANIK,1.85,-,85.22,-,0.09,-0.32,-,-1.50%,8.80%,-170.60%,0.30%
ANIP,1.74,-,7.38,-,0.96,-1.98,-,-13.00%,4.80%,-88.90%,0.60%
ANIX,7.86,-,-,-,0.00,-0.46,-,-160.80%,-228.70%,-3.90%,5.40%
ANNX,1.95,-,-,-,0.00,-0.96,-,-649.20%,-,-,-
ANPC,-,-,-,-,-,-1.03,-,-,-386.20%,-,37.84%
ANSS,8.01,75.91,47.49,11.88,0.12,4.41,-,11.20%,11.20%,-16.90%,0.30%
ANTE,0.15,-,-,-,0.13,-12.52,-,-51.40%,-146.80%,74.40%,10.00%
ANY,-,-,-,-,-,-1.32,-,80.30%,-,-272.40%,15.49%
AOSL,2.04,428.62,12.39,25.21,0.56,0.06,-,0.70%,-3.10%,806.20%,19.00%
AOUT,-,-,12.99,-,-,-,-,-,-,-,0.71%
APA,-,-,101.63,-,-,-20.78,0.76%,-,-28.30%,97.70%,0.27%
APDN,3.83,-,-,-,0.27,-4.07,-,-186.00%,-,53.70%,4.80%
APEI,1.55,27.05,20.94,17.57,0.00,1.15,-,6.00%,2.60%,271.60%,3.60%
APEN,8.20,-,-,-,5.49,-1.24,-,-,-43.20%,72.20%,1.30%
APHA,1.55,27.76,-,-,-,0.30,-,-,-,-,0.01%
API,5.65,-,-,-,0.00,-,-,-,5.40%,-,-
APLS,32.45,-,-,-,0.00,-8.31,-,-339.90%,-,-63.80%,2.40%
APLT,4.56,-,-,-,0.00,-5.14,-,-83.40%,-,-112.40%,4.20%
APM,3.83,-,-,-,0.01,-0.54,-,-67.10%,-103.00%,71.00%,26.43%
APOG,1.34,15.03,11.10,1.00,0.32,1.79,2.78%,9.30%,9.50%,-7.70%,1.30%
APOP,3.00,-,-,-,-,-0.85,-,-,-,-,8.03%
APOPW,,,,,,,,,,,
APPF,19.15,34.71,225.75,1.39,0.00,4.58,-,95.30%,21.00%,2665.70%,0.10%
APPN,31.99,-,-,-,0.01,-0.57,-,-15.40%,-24.50%,76.90%,0.40%
APPS,38.01,135.03,50.99,2.70,0.20,0.30,-,34.40%,24.30%,124.40%,3.10%
APRE,5.82,-,-,-,0.00,-2.30,-,-48.00%,-,-78.70%,12.91%
APTO,4.51,-,-,-,0.00,-0.64,-,-49.50%,-,-25.00%,20.40%
APTX,1.60,-,-,-,0.00,-1.26,-,-46.40%,-58.80%,45.10%,3.72%
APVO,70.24,-,-,-,11.45,-10.15,-,-199.50%,-,37.40%,6.19%
APWC,0.20,-,-,-,0.12,-0.05,-,-0.50%,-1.60%,-22.60%,75.40%
APXT,1.76,447.00,-,-,0.00,0.03,-,0.40%,-,-691.00%,-
APXTU,,,,,,,,,,,
APXTW,,,,,,,,,,,
APYX,4.14,-,-,-,0.01,-0.47,-,-23.70%,-28.80%,15.00%,12.39%
AQB,3.79,-,-,-,0.15,-0.48,-,-36.80%,-46.40%,32.90%,0.30%
AQMS,1.78,-,-,-,0.21,-0.37,-,-47.90%,-71.30%,84.80%,2.10%
AQST,-,-,-,-,-,-1.53,-,226.50%,-106.20%,33.10%,5.90%
ARAV,1.89,-,-,-,0.00,-2.05,-,-52.10%,-,-22.00%,30.07%
ARAY,5.57,27.47,52.82,-,2.67,0.15,-,22.00%,9.30%,104.20%,2.60%
ARBGU,,,,,,,,,,,
ARCB,1.36,27.45,11.61,2.80,0.36,1.57,0.74%,5.40%,4.80%,79.50%,0.60%
ARCC,1.03,23.33,10.16,-,-,0.73,9.43%,-,-,152.00%,0.60%
ARCE,6.67,-,6.48,-,0.20,-0.12,-,-3.10%,5.20%,-41.70%,1.03%
ARCT,7.30,-,-,-,0.06,-3.23,-,-52.30%,-,-62.60%,10.00%
ARDS,-,-,-,-,-,-2.48,-,550.10%,-808.00%,25.70%,37.03%
ARDX,4.15,-,-,-,0.39,-1.02,-,-53.90%,-38.70%,45.90%,10.00%
AREC,-,-,6.29,-,-,-1.53,-,123.00%,-,101.60%,54.26%
ARGX,24.09,-,-,-,-,-1.73,-,-,-,-,-
ARKR,1.39,-,-,-,1.24,-0.96,-,-8.30%,5.60%,-164.30%,48.24%
ARLP,0.58,-,13.54,-,0.64,-1.09,-,-28.30%,21.40%,-31.30%,31.89%
ARNA,3.24,-,-,-,0.04,-7.05,-,-33.20%,33.20%,-15.40%,0.10%
AROW,1.43,12.23,11.36,1.77,0.08,2.46,3.45%,12.10%,23.40%,9.40%,3.20%
ARPO,1.54,-,-,-,0.00,-0.10,-,-10.10%,-,-2.70%,16.18%
ARQT,5.62,-,-,-,0.00,-3.45,-,-81.70%,-,-156.00%,2.50%
ARRY,11.96,49.93,42.06,2.52,0.00,0.75,-,-,14.50%,-38.40%,0.40%
ARTL,0.77,-,-,-,0.00,-1.29,-,-118.10%,-,20.50%,11.48%
ARTLW,,,,,,,,,,,
ARTNA,2.18,21.21,21.76,5.30,0.98,1.80,2.70%,9.60%,6.40%,20.30%,4.40%
ARTW,1.04,-,-,-,0.57,-0.42,-,-16.60%,-6.80%,-42.60%,4.50%
ARVN,4.81,-,-,-,0.00,-2.59,-,-47.00%,-,-46.20%,9.60%
ARWR,14.35,-,-,-,0.00,-0.83,-,-17.40%,-20.20%,-508.30%,3.20%
ARYA,39.66,-,-,-,-,-0.08,-,-,-,-,3.23%
ASET,-,-,-,-,-,-,3.34%,-,-,-,-
ASLN,-,-,-,-,-,-1.32,-,-,-284.50%,59.70%,-
ASMB,0.75,-,-,-,0.00,-1.64,-,-18.80%,-37.30%,90.20%,0.60%
ASML,11.53,47.62,39.69,2.16,0.34,9.47,0.63%,25.90%,16.60%,70.40%,0.40%
ASND,7.83,-,-,-,0.03,-8.67,-,-56.00%,-35.70%,-337.60%,0.03%
ASO,-,-,7.86,-,1.24,-,-,-,8.90%,246.80%,2.20%
ASPS,-,-,25.84,-,-,-23.40,-,734.10%,-108.00%,-290.80%,0.50%
ASPU,5.70,-,56.40,-,0.00,-0.22,-,-,-8.20%,61.50%,5.40%
ASRT,0.65,-,8.38,-,1.16,-2.24,-,-259.40%,-39.80%,-292.20%,0.40%
ASRV,0.55,12.46,-,-,0.29,0.27,2.99%,4.50%,22.90%,-35.10%,3.00%
ASRVP,,,,,,,,,,,
ASTC,-,-,-,-,-,-1.24,-,-,-219.30%,26.10%,13.37%
ASTE,2.12,101.72,22.96,10.17,0.00,0.57,0.75%,2.10%,3.70%,-45.90%,0.80%
ASUR,0.94,-,39.64,-,0.18,-2.40,-,-,-16.30%,17.00%,6.60%
ASYS,1.17,-,8.91,-,0.06,-0.28,-,-18.80%,-4.70%,-309.40%,1.80%
ATAX,0.69,17.90,5.39,-,1.96,0.23,5.85%,4.10%,3.30%,-124.40%,0.80%
ATCX,-,-,9.03,-,-,-1.02,-,-88.40%,-,-58.90%,0.60%
ATEC,87.17,-,-,-,8.33,-1.10,-,-282.70%,-48.20%,7.30%,6.10%
ATEX,2.32,-,-,-,0.00,-3.02,-,-21.60%,-16.20%,-102.30%,5.80%
ATHA,0.70,-,-,-,0.00,-,-,-,-,-,4.40%
ATHE,4.24,-,-,-,0.00,-0.66,-,-117.50%,-,2.90%,18.70%
ATHX,8.09,-,-,-,0.00,-0.37,-,-176.60%,-,-45.60%,2.10%
ATIF,3.44,-,-,-,0.00,-0.10,-,-,3.50%,-291.20%,77.84%
ATLC,4.05,5.41,-,0.27,13.73,2.90,-,272.60%,3.40%,106.10%,3.60%
ATLO,0.95,11.00,-,-,0.00,1.96,4.64%,9.20%,21.40%,42.00%,0.10%
ATNF,1.87,-,-,-,0.37,-1.00,-,-70.70%,-,-,17.70%
ATNFW,,,,,,,,,,,
ATNI,1.15,-,80.98,-,0.13,-0.21,1.42%,-0.50%,1.20%,92.10%,3.80%
ATNX,5.01,-,-,-,0.55,-1.45,-,-65.40%,-49.90%,2.20%,7.00%
ATOM,7.63,-,-,-,0.00,-0.80,-,-83.70%,-98.70%,0.70%,4.00%
ATOS,1.66,-,-,-,0.00,-1.38,-,-130.60%,-,4.60%,0.50%
ATRA,5.44,-,-,-,0.00,-4.62,-,-95.00%,-,30.00%,0.90%
ATRC,4.59,-,-,-,0.15,-1.16,-,-14.00%,-10.40%,54.50%,2.50%
ATRI,4.68,34.34,-,-,0.00,17.74,1.15%,13.90%,14.30%,-23.40%,1.40%
ATRO,1.33,-,-,-,0.59,-4.22,-,-40.40%,10.20%,-559.70%,0.50%
ATRS,9.29,98.48,13.00,-,0.00,0.03,-,10.60%,1.00%,193.90%,2.80%
ATSG,2.46,-,16.62,-,2.07,-0.61,-,-2.30%,8.50%,-106.40%,1.60%
ATVI,4.25,27.73,22.37,1.14,0.25,2.85,0.52%,16.40%,9.50%,193.00%,0.70%
ATXI,16.95,-,-,-,0.00,-0.58,-,-192.30%,-,54.50%,1.60%
AUB,0.92,16.21,13.45,2.03,0.19,1.91,3.22%,5.90%,17.10%,13.90%,1.20%
AUBAP,,,,,,,,,,,
AUBN,1.43,18.77,-,-,0.00,2.27,2.40%,7.80%,24.40%,-12.20%,0.60%
AUDC,4.67,93.60,19.64,4.49,0.01,0.30,1.00%,7.40%,6.00%,42.90%,40.50%
AUPH,4.65,-,-,-,-,-1.41,-,-,-,-,13.77%
AUTL,1.99,-,-,-,0.00,-2.74,-,-48.60%,-51.40%,5.70%,31.86%
AUTO,2.28,-,-,-,0.68,-0.69,-,-50.20%,-61.90%,74.30%,25.24%
AUVI,6.12,-,14.86,-,0.07,-0.19,-,-,187.80%,-150.40%,2.90%
AVAV,4.02,61.55,40.49,4.40,0.00,1.42,-,6.80%,8.10%,-41.40%,1.20%
AVCO,17.57,-,-,-,0.00,-0.19,-,-329.20%,-251.70%,20.90%,65.73%
AVCT,10.27,-,-,-,5.62,-0.78,-,-,-,24.00%,0.30%
AVCTW,,,,,,,,,,,
AVDL,2.33,-,-,-,0.00,-0.08,-,17.50%,-23.20%,15.10%,0.50%
AVEO,3.36,-,-,-,0.34,-1.54,-,-103.70%,-1.20%,-131.80%,0.14%
AVGO,6.91,75.68,15.86,9.58,1.87,5.34,3.22%,9.20%,6.80%,-14.80%,0.20%
