,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
AKAM,4.16,30.75,19.16,2.95,0.00,3.41,-,14.70%,9.00%,13.70%,2.12%
AKBA,1.26,-,-,-,0.00,-2.97,-,-105.70%,-59.40%,8.90%,3.18%
AKER,0.72,-,-,-,0.00,-2.86,-,-136.30%,-42.30%,74.80%,16.05%
AKRO,3.06,-,-,-,0.00,-2.16,-,-40.90%,-,-13.40%,2.70%
AKTS,13.29,-,-,-,0.70,-1.10,-,-98.20%,-49.50%,-5.80%,8.70%
AKTX,13.21,-,-,-,0.00,-0.73,-,-880.40%,-,133.10%,26.88%
AKU,,,,,,,,,,,
AKUS,0.95,-,-,-,0.00,-,-,-,-,-369.20%,15.30%
ALAC,6.34,2852.50,-,-,0.37,0.00,-,0.60%,-,-194.00%,21.59%
ALACR,,,,,,,,,,,
ALACU,,,,,,,,,,,
ALACW,,,,,,,,,,,
ALBO,2.78,-,-,-,0.00,-6.15,-,-71.20%,-65.60%,-13.30%,0.30%
ALCO,1.07,9.84,15.13,-,0.69,3.15,2.32%,11.70%,-0.20%,4.00%,27.30%
ALDX,3.75,-,-,-,0.22,-1.30,-,-73.90%,-,66.00%,2.28%
ALEC,3.84,-,-,-,0.00,-2.23,-,-53.90%,-58.80%,-42.40%,0.30%
ALGM,-,-,62.00,-,0.05,-,-,-,5.10%,479.40%,56.40%
ALGN,13.89,24.31,63.97,1.28,0.00,21.99,-,69.00%,32.00%,37.10%,0.40%
ALGS,-,-,-,-,-,-,-,-,-,-,21.90%
ALGT,4.26,-,52.46,-,2.18,-6.05,-,-12.20%,12.60%,-167.40%,14.90%
ALIM,-,-,-,-,-,-0.77,-,10.70%,-124.80%,81.60%,1.80%
ALJJ,2.75,-,-,-,5.99,-1.61,-,-206.00%,-47.80%,110.30%,56.67%
ALKS,2.93,-,40.38,-,0.25,-0.47,-,-6.90%,-12.80%,99.80%,0.20%
ALLK,16.57,-,-,-,0.00,-2.74,-,-29.20%,-,-83.10%,1.20%
ALLO,2.87,-,-,-,0.00,-2.13,-,-27.60%,-,-4.90%,0.50%
ALLT,2.87,-,175.33,-,-,-0.27,-,-,-,-,6.35%
ALNA,2.56,-,-,-,0.54,-1.27,-,-210.80%,-,60.90%,0.90%
ALNY,12.40,-,-,-,0.00,-7.83,-,-66.00%,-65.40%,-13.80%,0.50%
ALOT,1.04,-,42.60,-,0.25,-0.13,-,-1.30%,3.10%,-97.40%,4.60%
ALPN,4.16,-,-,-,0.15,-1.44,-,-80.40%,-126.70%,55.40%,0.50%
ALRM,11.56,69.99,63.62,18.42,0.25,1.48,-,19.30%,10.90%,100.70%,1.10%
ALRN,3.25,-,-,-,0.02,-0.77,-,-170.40%,-,54.20%,31.56%
ALRS,1.46,11.63,16.32,-,0.18,2.35,2.19%,13.60%,16.80%,138.50%,14.73%
ALSK,1.15,20.50,-,-,0.98,0.18,-,5.70%,4.70%,12.60%,12.16%
ALT,1.87,-,-,-,0.00,-2.00,-,-46.40%,-47.00%,27.40%,1.30%
ALTA,1.46,12.01,15.49,1.50,0.00,2.33,2.15%,12.80%,26.90%,2.40%,1.30%
ALTM,2.44,-,11.78,-,7.97,-99.46,12.64%,50.70%,-,123.00%,0.60%
ALTR,11.85,-,263.26,-,0.60,-0.20,-,-4.00%,-0.50%,47.80%,0.70%
ALTUU,-,-,-,-,-,-,-,-,-,-,-
ALTY,-,-,-,-,-,-,10.61%,-,-,-,-
ALVR,-,-,-,-,-,-0.44,-,-,51.80%,-,36.40%
ALXN,3.09,36.59,12.06,3.33,0.23,4.27,-,8.60%,16.90%,25.80%,0.30%
ALXO,12.70,-,-,-,0.02,-1.14,-,-,29.40%,-144.60%,2.50%
ALYA,2.57,-,-,-,-,-0.24,-,-,-,-,26.60%
AMAL,0.82,9.74,10.16,-,0.00,1.41,2.33%,8.90%,29.70%,-2.10%,0.26%
AMAT,7.47,22.00,16.10,1.38,0.52,3.92,1.02%,38.30%,23.80%,63.80%,0.60%
AMBA,6.91,-,167.55,-,0.00,-1.76,-,-13.20%,-11.80%,-279.10%,4.70%
AMCA,,,,,,,,,,,
AMCI,2.12,-,-,-,0.02,-0.05,-,-0.50%,-,-,-
AMCIU,,,,,,,,,,,
AMCIW,,,,,,,,,,,
AMCX,2.50,14.19,4.70,-,3.88,2.52,-,20.40%,13.90%,-43.60%,0.10%
AMD,28.05,127.91,50.17,3.35,0.00,0.72,-,27.00%,12.40%,198.80%,0.60%
AMED,12.67,58.69,46.69,3.57,0.41,5.00,-,23.80%,15.30%,109.30%,1.30%
AMEH,2.91,19.56,18.09,-,1.03,0.93,-,16.80%,5.60%,354.10%,1.40%
AMGN,12.28,18.54,13.51,2.79,3.13,12.40,3.06%,72.10%,21.20%,5.00%,0.19%
AMHC,,,,,,,,,,,
AMHCU,,,,,,,,,,,
AMHCW,,,,,,,,,,,
AMKR,1.66,11.73,11.89,0.28,0.61,1.29,1.06%,15.00%,5.50%,68.60%,25.00%
AMNB,0.87,10.07,11.33,2.52,0.11,2.60,4.12%,8.80%,20.20%,-15.60%,3.50%
AMOT,3.62,33.80,29.71,1.13,0.93,1.51,0.23%,11.50%,9.90%,-14.10%,12.00%
AMPH,2.36,150.07,17.66,6.00,0.11,0.13,-,1.70%,-3.20%,200.50%,0.60%
AMRB,0.84,11.99,12.03,0.80,0.00,1.10,2.13%,7.30%,24.90%,12.80%,3.20%
AMRK,1.58,3.48,8.33,-,4.93,7.37,-,57.90%,5.50%,17933.60%,3.40%
AMRN,3.18,-,99.80,-,0.02,-0.04,-,-2.70%,-3.80%,-76.70%,1.00%
AMRS,-,-,-,-,-,-1.87,-,242.80%,-,34.40%,0.60%
AMSC,7.70,-,-,-,0.00,-0.92,-,-27.90%,-32.30%,-325.20%,3.20%
AMSF,2.30,12.07,18.89,1.21,0.00,4.76,1.88%,20.30%,21.50%,8.90%,0.40%
AMST,4.85,-,-,-,0.00,-,-,-,-,-192.40%,21.20%
AMSWA,4.69,85.85,57.23,5.37,0.00,0.20,2.56%,5.50%,5.00%,-61.30%,1.30%
AMTB,0.76,230.30,29.29,-,0.15,0.07,-,0.40%,22.00%,-85.40%,36.13%
AMTBB,,,,,,,,,,,
AMTI,7.17,-,-,-,0.00,-,-,-,-,-114.10%,2.30%
AMTX,-,-,-,-,-,-1.39,-,17.40%,-18.80%,-90.30%,10.19%
AMWD,2.14,24.72,12.35,3.09,0.75,3.80,-,9.00%,8.20%,-0.10%,0.70%
AMYT,-,-,-,-,-,-,-,-,-,-,-
AMZN,19.71,95.38,71.72,2.62,0.61,34.15,-,24.50%,11.70%,192.00%,10.60%
ANAB,1.63,-,-,-,0.00,-2.71,-,-19.10%,-26.40%,24.10%,0.30%
ANAT,0.42,7.78,-,-,0.11,12.36,3.41%,5.60%,4.40%,85.60%,0.20%
ANCN,2.40,-,-,-,-,-2.03,-,-,-,-,3.82%
ANDA,0.59,463.48,-,-,0.00,0.02,-,0.10%,-,-71.40%,0.50%
ANDAR,,,,,,,,,,,
ANDAU,,,,,,,,,,,
ANDAW,,,,,,,,,,,
ANDE,0.86,-,16.79,-,1.15,-0.06,2.86%,-0.20%,1.20%,75.30%,2.20%
ANGI,5.15,824.69,-,-,0.57,0.02,-,0.60%,2.70%,-74.40%,0.80%
ANGL,-,-,-,-,-,-,4.83%,-,-,-,-
ANGO,1.28,-,104.29,-,0.00,-4.46,-,-31.80%,-33.50%,-231.40%,2.50%
ANIK,2.26,-,119.11,-,0.09,-0.32,-,-1.50%,8.80%,-170.60%,0.30%
ANIP,1.78,-,7.57,-,0.96,-1.98,-,-13.00%,4.80%,-88.90%,0.60%
ANIX,8.30,-,-,-,0.00,-0.46,-,-160.80%,-228.70%,-3.90%,5.40%
ANNX,1.95,-,-,-,0.00,-0.96,-,-649.20%,-,-,-
ANPC,15.59,-,-,-,0.24,-,-,-,-388.20%,-83.20%,37.84%
ANSS,8.70,82.46,51.59,12.91,0.12,4.41,-,11.20%,11.20%,-16.90%,0.40%
ANTE,0.27,-,-,-,0.13,-12.52,-,-51.40%,-146.80%,74.40%,10.00%
ANY,-,-,-,-,-,-1.32,-,80.30%,-,-272.40%,15.49%
AOSL,1.94,407.59,11.78,23.98,0.56,0.06,-,0.70%,-3.10%,806.20%,19.60%
AOUT,0.89,-,10.71,-,0.00,-,-,-,-45.10%,-,1.50%
APA,-,-,54.79,-,-,-20.78,0.70%,-,-28.30%,97.70%,0.27%
APDN,4.59,-,-,-,0.40,-3.43,-,-179.70%,-156.70%,44.30%,4.30%
APEI,1.51,26.48,21.02,17.20,0.00,1.15,-,6.00%,2.60%,271.60%,3.50%
APEN,7.56,-,-,-,5.49,-1.24,-,-,-43.20%,72.20%,1.40%
APHA,1.29,23.14,-,-,-,0.30,-,-,-,-,0.01%
API,5.99,-,-,-,0.00,-,-,-,5.40%,-,-
APLS,40.86,-,-,-,0.00,-8.31,-,-339.90%,-,-63.80%,2.50%
APLT,4.80,-,-,-,0.00,-5.14,-,-83.40%,-,-112.40%,3.90%
APM,3.74,-,-,-,0.01,-0.54,-,-67.10%,-103.00%,71.00%,26.43%
APOG,1.57,11.97,12.22,0.80,0.32,2.65,2.37%,9.60%,9.50%,-7.70%,1.20%
APOP,3.13,-,-,-,-,-0.85,-,-,-,-,8.03%
APOPW,,,,,,,,,,,
APPF,21.69,39.32,229.06,1.57,0.00,4.58,-,95.30%,21.00%,2665.70%,4.38%
APPN,38.05,-,-,-,0.01,-0.57,-,-15.40%,-24.50%,76.90%,0.40%
APPS,52.37,186.05,66.70,3.72,0.20,0.30,-,34.40%,24.30%,124.40%,2.80%
APRE,1.17,-,-,-,0.00,-2.30,-,-48.00%,-,-78.70%,12.91%
APTO,2.92,-,-,-,0.00,-0.64,-,-49.50%,-,-25.00%,20.40%
APTX,1.48,-,-,-,0.00,-1.26,-,-46.40%,-58.80%,45.10%,3.72%
APVO,53.90,-,-,-,11.45,-10.15,-,-199.50%,-,37.40%,6.19%
APWC,0.21,-,-,-,0.12,-0.05,-,-0.50%,-1.60%,-22.60%,75.40%
APXT,1.97,500.33,-,-,0.00,0.03,-,0.40%,-,-691.00%,1.84%
APXTU,,,,,,,,,,,
APXTW,,,,,,,,,,,
APYX,3.83,-,-,-,0.01,-0.47,-,-23.70%,-28.80%,15.00%,12.39%
AQB,5.84,-,-,-,0.15,-0.48,-,-36.80%,-46.40%,32.90%,0.30%
AQMS,4.41,-,-,-,0.21,-0.37,-,-47.90%,-71.30%,84.80%,1.90%
AQST,-,-,-,-,-,-1.53,-,226.50%,-106.20%,33.10%,5.10%
ARAV,1.84,-,-,-,0.00,-2.05,-,-52.10%,-,-22.00%,1.20%
ARAY,5.64,27.80,53.46,-,2.67,0.15,-,22.00%,9.30%,104.20%,3.80%
ARBGU,-,-,-,-,-,-,-,-,-,-,-
ARCB,1.35,27.25,11.45,2.65,0.36,1.57,0.75%,5.40%,4.80%,79.50%,0.80%
ARCC,1.03,23.23,10.11,-,-,0.73,9.47%,-,-,152.00%,0.60%
ARCE,6.24,-,7.03,-,0.20,-0.12,-,-3.10%,5.20%,-41.70%,1.03%
ARCT,3.80,-,219.09,-,0.06,-3.23,-,-52.30%,-,-62.60%,11.20%
ARDS,-,-,-,-,-,-2.48,-,550.10%,-808.00%,25.70%,37.03%
ARDX,4.40,-,-,-,0.39,-1.02,-,-53.90%,-38.70%,45.90%,1.40%
AREC,-,-,6.96,-,-,-1.53,-,123.00%,-,101.60%,31.20%
ARGX,24.60,-,-,-,-,-1.73,-,-,-,-,-
ARKO,,,,,,,,,,,
ARKOW,,,,,,,,,,,
ARKR,1.86,-,-,-,1.24,-1.34,-,-12.00%,-4.20%,-240.30%,48.24%
ARLP,0.55,-,12.80,-,0.64,-1.09,-,-28.30%,21.40%,-31.30%,0.50%
ARNA,3.79,-,-,-,0.04,-7.05,-,-33.20%,33.20%,-15.40%,0.10%
AROW,1.42,12.15,11.29,1.76,0.08,2.46,3.48%,12.10%,23.40%,9.40%,2.30%
ARPO,0.88,-,-,-,0.00,-0.10,-,-10.10%,-,-2.70%,16.18%
ARQT,6.14,-,-,-,0.00,-3.45,-,-81.70%,-,-156.00%,2.50%
ARRY,13.72,57.29,47.67,2.89,0.00,0.75,-,-,14.50%,-38.40%,0.40%
ARTL,0.86,-,-,-,0.00,-1.29,-,-118.10%,-,20.50%,11.48%
ARTLW,,,,,,,,,,,
ARTNA,2.09,20.66,21.19,5.16,1.01,1.80,2.78%,10.30%,6.40%,13.00%,4.40%
ARTW,1.24,-,-,-,0.57,-0.42,-,-16.60%,-6.80%,-42.60%,3.70%
ARVN,16.18,-,-,-,0.00,-2.59,-,-47.00%,-,-46.20%,8.00%
ARWR,17.01,-,-,-,0.00,-0.83,-,-17.40%,-20.20%,-508.30%,3.30%
ARYA,41.57,-,-,-,-,-0.08,-,-,-,-,3.23%
ASET,-,-,-,-,-,-,3.31%,-,-,-,-
ASLE,-,-,25.79,-,-,-,-,-,-,-,20.80%
ASLEW,,,,,,,,,,,
ASLN,-,-,-,-,-,-1.33,-,-,-283.30%,59.70%,-
ASMB,0.79,-,-,-,0.00,-1.64,-,-18.80%,-37.30%,90.20%,0.60%
ASML,12.19,50.35,41.52,2.44,0.34,9.69,0.58%,25.90%,16.60%,70.40%,0.40%
ASND,7.58,-,-,-,0.03,-8.87,-,-56.00%,-35.70%,-337.60%,0.03%
ASO,1.62,-,8.88,-,1.45,-,-,-,8.90%,94.40%,2.30%
ASPS,-,-,25.25,-,-,-23.40,-,734.10%,-108.00%,-290.80%,0.50%
ASPU,4.86,-,68.70,-,0.00,-0.38,-,-18.40%,-8.20%,-35.90%,5.50%
ASRT,0.56,-,3.25,-,1.16,-2.24,-,-259.40%,-39.80%,-292.20%,0.90%
ASRV,0.52,11.68,-,-,0.29,0.27,3.19%,4.50%,22.90%,-35.10%,2.70%
ASRVP,,,,,,,,,,,
ASTC,-,-,-,-,-,-1.24,-,-,-219.30%,26.10%,13.36%
ASTE,2.10,100.84,22.61,10.08,0.00,0.57,0.76%,2.10%,3.70%,-45.90%,0.80%
ASUR,0.87,-,36.41,-,0.18,-2.40,-,-,-16.30%,17.00%,5.10%
ASYS,1.10,-,8.36,-,0.06,-0.28,-,-18.80%,-4.70%,-309.40%,1.80%
ATAX,0.71,18.56,5.59,-,1.96,0.23,5.65%,4.10%,3.30%,-124.40%,0.80%
ATCX,-,-,10.65,-,-,-1.02,-,-88.40%,-,-58.90%,2.80%
ATEC,121.00,-,-,-,8.33,-1.10,-,-282.70%,-48.20%,7.30%,3.40%
ATEX,2.87,-,-,-,0.00,-3.02,-,-21.60%,-16.20%,-102.30%,3.90%
ATHA,1.00,-,-,-,0.00,-,-,-,-,-,4.40%
ATHE,3.83,-,-,-,0.00,-0.68,-,-117.50%,-,2.90%,18.70%
ATHX,7.95,-,-,-,0.00,-0.37,-,-176.60%,-,-45.60%,1.80%
ATIF,4.23,-,-,-,0.00,-0.10,-,-,3.50%,-291.20%,77.84%
ATLC,6.35,8.48,-,0.42,13.73,2.90,-,272.60%,3.40%,106.10%,6.60%
ATLO,1.06,12.27,-,-,0.00,1.96,4.16%,9.20%,21.40%,42.00%,0.10%
ATNF,2.01,-,-,-,0.37,-1.00,-,-70.70%,-,-,22.90%
ATNFW,,,,,,,,,,,
ATNI,1.00,-,73.65,-,0.13,-0.21,1.63%,-0.50%,1.20%,92.10%,3.40%
ATNX,4.10,-,-,-,0.55,-1.45,-,-65.40%,-49.90%,2.20%,7.00%
ATOM,12.57,-,-,-,0.00,-0.80,-,-83.70%,-98.70%,0.70%,2.80%
ATOS,1.04,-,-,-,0.00,-1.38,-,-130.60%,-,4.60%,0.12%
ATRA,4.50,-,-,-,0.00,-4.62,-,-95.00%,-,30.00%,0.60%
ATRC,5.87,-,-,-,0.15,-1.16,-,-14.00%,-10.40%,54.50%,2.40%
ATRI,4.93,36.21,-,-,0.00,17.74,1.09%,13.90%,14.30%,-23.40%,1.40%
ATRO,1.40,-,-,-,0.59,-4.22,-,-40.40%,10.20%,-559.70%,5.70%
ATRS,10.23,70.00,15.96,-,0.63,0.06,-,16.50%,1.00%,375.80%,0.40%
ATSG,2.59,-,17.52,-,2.07,-0.61,-,-2.30%,8.50%,-106.40%,1.30%
ATVI,4.98,32.53,26.21,1.33,0.25,2.85,0.44%,16.40%,9.50%,193.00%,0.70%
ATXI,29.75,-,-,-,0.00,-0.58,-,-192.30%,-,54.50%,0.30%
AUB,0.97,17.21,14.19,2.15,0.19,1.91,3.04%,5.90%,17.10%,13.90%,1.20%
AUBAP,,,,,,,,,,,
AUBN,1.40,18.40,-,-,0.00,2.27,2.45%,7.80%,24.40%,-12.20%,0.60%
AUDC,4.58,91.83,19.27,4.40,0.01,0.30,1.02%,7.40%,6.00%,42.90%,40.50%
AUPH,4.38,-,-,-,-,-1.41,-,-,-,-,13.88%
AUTL,1.80,-,-,-,0.00,-2.74,-,-48.60%,-51.40%,5.70%,31.86%
AUTO,1.93,-,-,-,0.68,-0.69,-,-50.20%,-61.90%,74.30%,25.24%
AUVI,5.40,-,-,-,0.07,-0.19,-,-,187.80%,-150.40%,2.90%
