year,institution_type,facility_type_a,public_private,no_of_facilities,no_beds
2015,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,101
2015,Residential Long-Term,Inpatient Hospices,Private,0,0
2016,Hospital,Acute,Public,9,8561
2016,Hospital,Acute,Not-for-Profit,1,316
2016,Hospital,Acute,Private,9,1441
2016,Hospital,Psychiatric Hospitals,Public,1,1950
2016,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0
2016,Hospital,Psychiatric Hospitals,Private,0,0
2016,Hospital,Community Hospitals,Public,3,690
2016,Hospital,Community Hospitals,Not-for-Profit,4,961
2016,Hospital,Community Hospitals,Private,1,12
2016,Residential Long-Term,Nursing Homes,Public,13,3110
2016,Residential Long-Term,Nursing Homes,Not-for-Profit,26,6058
2016,Residential Long-Term,Nursing Homes,Private,30,3854
2016,Residential Long-Term,Inpatient Hospices,Public,0,24
2016,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,149
2016,Residential Long-Term,Inpatient Hospices,Private,0,0
2017,Hospital,Acute,Public,9,8623
2017,Hospital,Acute,Not-for-Profit,1,271
2017,Hospital,Acute,Private,8,1446
2017,Hospital,Psychiatric Hospitals,Public,1,1950
2017,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0
2017,Hospital,Psychiatric Hospitals,Private,0,0
2017,Hospital,Community Hospitals,Public,3,690
2017,Hospital,Community Hospitals,Not-for-Profit,4,969
2017,Hospital,Community Hospitals,Private,1,4
2017,Residential Long-Term,Nursing Homes,Public,20,5281
2017,Residential Long-Term,Nursing Homes,Not-for-Profit,23,5872
2017,Residential Long-Term,Nursing Homes,Private,30,3765
2017,Residential Long-Term,Inpatient Hospices,Public,0,24
2017,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,155
2017,Residential Long-Term,Inpatient Hospices,Private,0,0
2018,Hospital,Acute,Public,10,9071
2018,Hospital,Acute,Not-for-Profit,1,273
2018,Hospital,Acute,Private,8,1482
2018,Hospital,Psychiatric Hospitals,Public,1,1950
2018,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0
2018,Hospital,Psychiatric Hospitals,Private,0,0
2018,Hospital,Community Hospitals,Public,4,799
2018,Hospital,Community Hospitals,Not-for-Profit,4,979
2018,Hospital,Community Hospitals,Private,0,0
2018,Residential Long-Term,Nursing Homes,Public,21,5581
2018,Residential Long-Term,Nursing Homes,Not-for-Profit,23,5953
2018,Residential Long-Term,Nursing Homes,Private,28,3671
2018,Residential Long-Term,Inpatient Hospices,Public,0,24
2018,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,155
2018,Residential Long-Term,Inpatient Hospices,Private,0,0
2019,Hospital,Acute,Public,10,9404
2019,Hospital,Acute,Not-for-Profit,1,288
2019,Hospital,Acute,Private,8,1629
2019,Hospital,Psychiatric Hospitals,Public,1,1950
2019,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0
2019,Hospital,Psychiatric Hospitals,Private,0,0
2019,Hospital,Community Hospitals,Public,5,974
2019,Hospital,Community Hospitals,Not-for-Profit,4,1012
2019,Hospital,Community Hospitals,Private,0,0
2019,Residential Long-Term,Nursing Homes,Public,23,6238
2019,Residential Long-Term,Nursing Homes,Not-for-Profit,23,5963
2019,Residential Long-Term,Nursing Homes,Private,31,3858
2019,Residential Long-Term,Inpatient Hospices,Public,0,24
2019,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,155
2019,Residential Long-Term,Inpatient Hospices,Private,0,0
