MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating
2017-11-01,31,32,Female,C28,Master,65189,2017-07-04,,3,3,0,2
2017-12-01,31,32,Female,C28,Master,65189,2017-07-04,,3,3,950940,2
2017-08-01,34,28,Female,C14,Bachelor,65813,2017-07-31,,2,2,285830,2
2017-09-01,34,28,Female,C14,Bachelor,65813,2017-07-31,,2,2,190180,2
2017-10-01,34,28,Female,C14,Bachelor,65813,2017-07-31,,2,2,0,1
2017-11-01,34,28,Female,C14,Bachelor,65813,2017-07-31,2017-11-14,2,2,0,1
2017-03-01,35,32,Male,C5,Bachelor,68070,2017-03-07,,3,3,300000,1
2017-04-01,35,32,Male,C5,Bachelor,68070,2017-03-07,,3,3,0,1
2017-05-01,35,32,Male,C5,Bachelor,68070,2017-03-07,2017-05-05,3,3,0,1
2016-07-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,0,2
2016-08-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,0,2
2016-09-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,722390,2
2016-10-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,821020,2
2016-11-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,-19350,2
2016-12-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,145400,2
2017-01-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,0,1
2017-02-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,400000,1
2017-03-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,-50000,1
2017-04-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,1460000,3
2017-05-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,0,3
2017-06-01,36,41,Female,C18,Bachelor,32865,2016-07-01,,2,2,139080,3
2017-07-01,36,41,Female,C18,Bachelor,32865,2016-07-01,,2,2,984330,2
2017-08-01,36,41,Female,C18,Bachelor,32865,2016-07-01,2017-07-29,2,2,-325140,2
2017-05-01,37,33,Female,C14,Bachelor,57375,2017-05-16,,2,2,0,1
2017-06-01,37,33,Female,C14,Bachelor,57375,2017-05-16,,2,2,300000,1
2017-07-01,37,33,Female,C14,Bachelor,57375,2017-05-16,,2,2,350020,1
2017-08-01,37,33,Female,C14,Bachelor,57375,2017-05-16,,2,2,0,1
2017-09-01,37,33,Female,C14,Bachelor,57375,2017-05-16,,2,2,0,1
2017-10-01,37,33,Female,C14,Bachelor,57375,2017-05-16,2017-10-16,2,2,0,1
2016-12-01,38,22,Male,C27,College,13427,2016-12-06,,1,1,0,1
2017-01-01,38,22,Male,C27,College,13427,2016-12-06,,1,1,0,1
2017-02-01,38,22,Male,C27,College,13427,2016-12-06,,1,1,155610,1
2017-03-01,38,22,Male,C27,College,13427,2016-12-06,2017-03-15,1,1,-155610,1
2017-08-01,39,32,Male,C26,College,72888,2017-08-08,,2,2,966340,3
2017-09-01,39,32,Male,C26,College,72888,2017-08-08,,2,2,554010,3
2017-10-01,39,32,Male,C26,College,72888,2017-08-08,,2,2,600440,2
2017-11-01,39,32,Male,C26,College,72888,2017-08-08,,2,2,150470,2
2017-12-01,39,32,Male,C26,College,72888,2017-08-08,,2,2,150970,2
2016-11-01,40,32,Male,C15,College,59182,2016-11-08,,2,2,0,1
2016-12-01,40,32,Male,C15,College,59182,2016-11-08,,2,2,0,1
2017-01-01,40,32,Male,C15,College,59182,2016-11-08,,2,2,0,1
2017-02-01,40,32,Male,C15,College,59182,2016-11-08,2017-02-14,2,2,0,1
2016-07-01,41,33,Male,C29,Master,92372,2016-07-04,,4,4,0,1
2016-08-01,41,33,Male,C29,Master,92372,2016-07-04,,4,4,0,1
2016-09-01,41,33,Male,C29,Master,92372,2016-07-04,,4,4,1061060,1
2016-10-01,41,33,Male,C29,Master,92372,2016-07-04,,4,4,1357440,3
2016-11-01,41,33,Male,C29,Master,92372,2016-07-04,,4,4,1000000,3
2016-12-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,2240810,3
2017-01-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,1002760,3
2017-02-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,2600330,3
2017-03-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,6718850,3
2017-04-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,0,2
2017-05-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,811400,2
2017-06-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,1071890,2
2017-07-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,1358260,1
2017-08-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,306820,1
2017-09-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,0,1
2017-10-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,775520,2
2017-11-01,41,34,Male,C29,Master,92372,2016-07-04,,4,4,180770,2
2017-12-01,41,35,Male,C29,Master,92372,2016-07-04,,4,4,1270000,2
2016-01-01,42,44,Female,C28,College,45988,2015-10-20,,2,2,147900,1
2016-02-01,42,44,Female,C28,College,45988,2015-10-20,,2,2,189020,1
2016-03-01,42,44,Female,C28,College,45988,2015-10-20,,2,2,657770,1
2016-04-01,42,44,Female,C28,College,45988,2015-10-20,,2,2,0,1
2016-05-01,42,44,Female,C28,College,45988,2015-10-20,2016-05-16,2,2,0,1
2016-01-01,43,27,Female,C15,College,12906,2015-07-13,,1,1,359890,1
2016-02-01,43,27,Female,C15,College,12906,2015-07-13,2016-02-20,1,1,0,1
2017-09-01,44,28,Male,C17,Master,62100,2017-09-25,,1,1,0,1
2017-10-01,44,28,Male,C17,Master,62100,2017-09-25,,1,1,150110,1
2017-11-01,44,28,Male,C17,Master,62100,2017-09-25,2017-11-24,1,1,0,1
2017-06-01,45,35,Male,C8,Master,77544,2017-05-29,,3,3,0,1
2017-07-01,45,35,Male,C8,Master,77544,2017-05-29,,3,3,1262040,3
2017-08-01,45,35,Male,C8,Master,77544,2017-05-29,,3,3,1202980,3
2017-09-01,45,35,Male,C8,Master,77544,2017-05-29,,3,3,-58440,3
2017-10-01,45,35,Male,C8,Master,77544,2017-05-29,,3,3,964680,3
2017-11-01,45,35,Male,C8,Master,77544,2017-05-29,,3,3,334320,3
2017-12-01,45,35,Male,C8,Master,77544,2017-05-29,,3,3,1521760,3
2016-01-01,46,36,Female,C25,Master,42171,2015-10-28,,1,1,231860,1
2016-02-01,46,36,Female,C25,Master,42171,2015-10-28,,1,1,106430,1
2016-03-01,46,36,Female,C25,Master,42171,2015-10-28,2016-02-27,1,1,0,1
2017-10-01,47,30,Male,C21,Bachelor,28000,2017-10-09,,1,1,0,2
2017-11-01,47,30,Male,C21,Bachelor,28000,2017-10-09,,1,1,484060,2
2017-12-01,47,30,Male,C21,Bachelor,28000,2017-10-09,,1,1,382210,2
2016-01-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,171760,1
2016-02-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,0,1
2016-03-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,392890,1
2016-04-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,106160,1
2016-05-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,124190,1
2016-06-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,0,1
2016-07-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,503500,2
2016-08-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,300300,2
2016-09-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,0,2
2016-10-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,0,1
2016-11-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,0,1
2016-12-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,200000,1
2017-01-01,49,22,Male,C20,College,53039,2015-05-25,2017-01-21,1,2,0,1
2016-01-01,50,49,Female,C5,College,89367,2015-11-20,,3,3,110310,1
2016-02-01,50,49,Female,C5,College,89367,2015-11-20,2016-02-20,3,3,0,1
2016-01-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,0,1
2016-02-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,0,1
2016-03-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,0,1
2016-06-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,0,1
2016-07-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,200000,2
2016-08-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,845500,2
2016-09-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,742500,2
2016-10-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,250000,2
2016-11-01,51,34,Male,C14,College,131347,2014-05-22,,4,4,570000,2
2016-12-01,51,34,Male,C14,College,131347,2014-05-22,2016-12-23,4,4,582010,2
2017-07-01,52,36,Male,C19,College,48687,2017-06-28,,3,3,0,1
2017-08-01,52,36,Male,C19,College,48687,2017-06-28,,3,3,0,1
2017-09-01,52,36,Male,C19,College,48687,2017-06-28,,3,3,493300,1
2017-10-01,52,37,Male,C19,College,48687,2017-06-28,,3,3,502020,2
2017-11-01,52,37,Male,C19,College,48687,2017-06-28,,3,3,556710,2
2017-12-01,52,37,Male,C19,College,48687,2017-06-28,,3,3,300560,2
2016-07-01,54,33,Male,C29,Bachelor,117993,2016-07-11,,4,4,0,2
2016-08-01,54,33,Male,C29,Bachelor,117993,2016-07-11,,4,4,0,2
2016-09-01,54,33,Male,C29,Bachelor,117993,2016-07-11,,4,4,2000000,2
2016-10-01,54,33,Male,C29,Bachelor,117993,2016-07-11,,4,4,0,3
2016-11-01,54,33,Male,C29,Bachelor,117993,2016-07-11,,4,4,1950000,3
2016-12-01,54,34,Male,C29,Bachelor,117993,2016-07-11,,4,4,1455010,3
2017-01-01,54,34,Male,C29,Bachelor,117993,2016-07-11,,4,4,3398000,4
2017-02-01,54,34,Male,C29,Bachelor,117993,2016-07-11,,4,4,6062470,4
2017-03-01,54,34,Male,C29,Bachelor,117993,2016-07-11,,4,4,14620880,4
2017-04-01,54,34,Male,C29,Bachelor,117993,2016-07-11,,4,4,0,2
2017-05-01,54,34,Male,C29,Bachelor,117993,2016-07-11,,4,4,1380000,2
2017-06-01,54,34,Male,C29,Bachelor,127826,2016-07-11,,4,5,1449260,3
2017-07-01,54,34,Male,C29,Bachelor,127826,2016-07-11,,4,5,193240,1
2017-08-01,54,34,Male,C29,Bachelor,127826,2016-07-11,,4,5,350000,1
2017-09-01,54,34,Male,C29,Bachelor,127826,2016-07-11,,4,5,0,1
2017-10-01,54,34,Male,C29,Bachelor,127826,2016-07-11,,4,5,0,1
2017-11-01,54,34,Male,C29,Bachelor,127826,2016-07-11,,4,5,0,1
2017-12-01,54,35,Male,C29,Bachelor,127826,2016-07-11,,4,5,964430,1
2016-11-01,55,30,Female,C8,College,29985,2016-11-21,,1,1,0,1
2016-12-01,55,30,Female,C8,College,29985,2016-11-21,,1,1,0,1
2017-01-01,55,30,Female,C8,College,29985,2016-11-21,,1,1,0,1
2017-02-01,55,30,Female,C8,College,29985,2016-11-21,,1,1,0,1
2017-03-01,55,30,Female,C8,College,29985,2016-11-21,2017-03-15,1,1,0,1
2016-01-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,402040,3
2016-02-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,358980,3
2016-03-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,1111110,3
2016-04-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,0,2
2016-05-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,428450,2
2016-06-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,0,2
2016-07-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,717580,4
2016-08-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,500000,4
2016-09-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,936760,4
2016-10-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,1125300,3
2016-11-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,500000,3
2016-12-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,0,3
2017-01-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,156710,2
2017-02-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,0,2
2017-03-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,1198140,2
2017-04-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,0,3
2017-05-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,438580,3
2017-06-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,838040,3
2017-07-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,504690,2
2017-08-01,56,35,Female,C19,Master,80223,2015-07-20,,1,1,300960,2
2017-09-01,56,36,Female,C19,Master,80223,2015-07-20,,1,1,0,2
2017-10-01,56,36,Female,C19,Master,80223,2015-07-20,,1,1,1490080,4
2017-11-01,56,36,Female,C19,Master,80223,2015-07-20,,1,1,257330,4
2017-12-01,56,36,Female,C19,Master,80223,2015-07-20,,1,1,458720,4
2016-01-01,57,36,Female,C1,Bachelor,84318,2014-07-26,,1,2,414260,3
2016-02-01,57,36,Female,C1,Bachelor,84318,2014-07-26,,1,2,1322870,3
